Date,Open,High,Low,Close,Adj Close,Volume,3M,5M
2000-01-04,6000,6110,5660,6110,4651.738281,74195000,,
2000-01-05,5800,6060,5520,5580,4248.231934,74680000,,
2000-01-06,5750,5780,5580,5620,4278.685547,54390000,4392.885254,
2000-01-07,5560,5670,5360,5540,4217.779297,40305000,4248.232259,
2000-01-10,5600,5770,5580,5770,4392.884277,46880000,4296.449707,4357.863867
2000-01-11,5820,6100,5770,5770,4392.884277,59745000,4334.51595,4306.093066
2000-01-12,5610,5740,5600,5720,4354.817871,29220000,4380.195475,4327.410254
2000-01-13,5600,5740,5560,5710,4347.20459,41190000,4364.968913,4341.114062
2000-01-14,5720,5880,5680,5830,4438.564941,49375000,4380.195801,4385.271191
2000-01-17,6000,6180,5920,6100,4644.123535,63505000,4476.631022,4435.519043
2000-01-18,6160,6160,5980,6100,4644.123535,45260000,4575.604004,4485.766894
2000-01-19,6000,6040,5960,5960,4537.539063,40205000,4608.595378,4522.311133
2000-01-20,5860,6040,5820,6040,4598.446289,37315000,4593.369629,4572.559473
2000-01-21,5950,5980,5880,5880,4476.632324,32535000,4537.539225,4580.172949
2000-01-24,5800,5900,5700,5700,4339.59375,34355000,4471.557454,4519.266992
2000-01-25,5520,5640,5440,5440,4141.64502,44250000,4319.290365,4418.771289
2000-01-26,5500,5520,5410,5480,4172.098145,29285000,4217.778972,4345.683106
2000-01-27,5480,5620,5430,5520,4202.551758,27900000,4172.098308,4266.504199
2000-01-28,5640,5880,5540,5820,4430.950684,38315000,4268.533529,4257.367871
2000-01-31,5640,5730,5560,5580,4248.231934,39630000,4293.911459,4239.095508
2000-02-01,5600,5680,5260,5320,4050.286621,71470000,4243.156413,4220.823828
2000-02-02,5220,5370,5110,5250,3996.99292,64105000,4098.503825,4185.802783
2000-02-03,5250,5460,4970,5130,3905.633789,142765000,3984.304443,4126.41919
2000-02-04,5130,5130,5130,5130,3905.633789,0,3936.086833,4021.355811
2000-02-07,5140,5330,5040,5240,3989.379639,64140000,3933.549072,3969.585352
2000-02-08,5340,5480,5310,5430,4134.031738,58460000,4009.681722,3986.334375
2000-02-09,5560,5720,5480,5720,4354.817871,51050000,4159.409749,4057.899365
2000-02-10,5660,5880,5600,5760,4385.272461,61845000,4291.374023,4153.8271
2000-02-11,5960,5960,5680,5700,4339.59375,34660000,4359.894694,4240.619092
2000-02-14,5600,5660,5340,5380,4095.965332,44140000,4273.610514,4261.93623
2000-02-15,5380,5420,5140,5200,3958.926758,38315000,4131.49528,4226.915234
2000-02-16,5180,5200,4780,5000,3806.65918,73115000,3953.850423,4117.283496
2000-02-17,4940,5100,4910,5080,3867.56665,65185000,3877.717529,4013.742334
2000-02-18,5370,5630,5160,5300,4035.057617,108750000,3903.094482,3952.835107
2000-02-21,5200,5260,5030,5070,3859.952881,26485000,3920.859049,3905.632617
2000-02-22,5000,5240,5000,5120,3898.019043,24180000,3931.009847,3893.451074
2000-02-23,5220,5260,5100,5140,3913.246338,27720000,3890.406087,3914.768506
2000-02-24,5120,5240,5060,5070,3859.952881,26075000,3890.406087,3913.245752
2000-02-25,5080,5150,4980,5120,3898.019043,27875000,3890.406087,3885.838037
2000-02-28,5000,5050,4800,4800,3654.394043,30140000,3804.121989,3844.72627
2000-02-29,4900,5140,4840,5120,3898.019043,51820000,3816.81071,3844.72627
2000-03-01,5120,5120,5120,5120,3898.019043,0,3816.81071,3841.680811
2000-03-02,5880,5880,5520,5880,4476.632324,117750000,4090.890137,3965.016699
2000-03-03,6200,6250,5880,6000,4567.991211,140990000,4314.214193,4099.011133
2000-03-06,6000,6050,5600,5640,4293.911133,39150000,4446.178223,4226.914551
2000-03-07,5600,5640,5480,5620,4278.685547,30070000,4380.195964,4303.047852
2000-03-08,5520,6000,5500,5920,4507.084961,32460000,4359.89388,4424.861035
2000-03-09,5970,5980,5620,5620,4278.685547,55890000,4354.818685,4385.27168
2000-03-10,5790,5800,5520,5540,4217.779297,28605000,4334.516602,4315.229297
2000-03-13,5480,5490,5160,5180,3943.699707,32215000,4146.721517,4245.187012
2000-03-14,5170,5380,5160,5210,3966.539307,30060000,4042.67277,4182.757764
2000-03-15,5200,5400,5120,5400,4111.191895,46105000,4007.143636,4103.579151
2000-03-16,5480,5520,5360,5400,4111.191895,28795000,4062.974366,4070.08042
2000-03-17,5540,5560,5400,5480,4172.098145,24080000,4131.493978,4060.94419
2000-03-20,5600,5710,5530,5660,4309.13916,26365000,4197.4764,4134.03208
2000-03-21,5700,5940,5610,5880,4476.632324,44925000,4319.289876,4236.050684
2000-03-22,5960,6300,5880,6200,4720.257324,86975000,4502.009603,4357.86377
2000-03-23,6480,6580,6200,6200,4720.257324,64950000,4639.048991,4479.676855
2000-03-24,6320,7120,6180,6800,5177.057617,90260000,4872.524088,4680.66875
2000-03-27,6960,7040,6700,6800,5177.057617,67730000,5024.790853,4854.252441
2000-03-28,6900,7260,6820,7030,5352.164551,74425000,5235.426595,5029.358887
2000-03-29,7030,7680,6980,7660,5831.803223,78090000,5453.67513,5251.668066
2000-03-30,7520,7560,7050,7050,5367.390137,74645000,5517.119304,5381.094629
2000-03-31,6800,7070,6650,6700,5100.923828,63855000,5433.372396,5365.867871
2000-04-03,6920,7320,6860,7100,5405.456055,56805000,5291.256673,5411.547559
2000-04-04,7000,7290,6660,6800,5177.057617,58340000,5227.8125,5376.526172
2000-04-05,6800,6800,6800,6800,5177.057617,0,5253.19043,5245.577051
2000-04-06,6860,6960,6680,6680,5085.697266,47235000,5146.604167,5189.238477
2000-04-07,6860,7260,6780,7200,5481.590332,42355000,5248.115072,5265.371777
2000-04-10,7500,7500,7200,7300,5557.723633,35885000,5375.003744,5295.825293
2000-04-11,7200,7200,6950,7100,5405.456055,29075000,5481.590007,5341.504981
2000-04-12,6960,7030,6860,6910,5260.803223,35250000,5407.994304,5358.254102
2000-04-13,6910,6910,6910,6910,5260.803223,0,5309.020834,5393.275293
2000-04-14,6600,6680,6260,6260,4765.937988,62365000,5095.848145,5250.144824
2000-04-17,5420,5750,5340,5520,4202.551758,78050000,4743.097656,4979.110449
