title,author,publisher,date,price
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2019년 06월,"16,920"
만들면서 배우는 파이썬과 40개의 작품들,장문철,앤써북,2022년 02월,"16,920"
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2020년 12월,"23,400"
1일 1로그 100일 완성 IT 지식,브라이언 W. 커니핸,인사이트(insight),2021년 12월,"18,000"
이것이 취업을 위한 코딩 테스트다 with 파이썬 ,나동빈,한빛미디어,2020년 08월,"30,600"
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",포스코인재창조원,한빛미디어,2022년 05월,"21,600"
혼자 공부하는 파이썬,윤인성,한빛미디어,2022년 06월,"19,800"
밑바닥부터 시작하는 딥러닝 ,사이토 고키,한빛미디어,2017년 01월,"21,600"
플로우가 보이는 머신러닝 프로젝트,임선집,루비페이퍼,2022년 05월,"28,800"
나는 파이썬으로 머신러닝한다 1,최정원,씨마스,2022년 06월,"19,800"
이기적 빅데이터분석기사 실기 기본서,나홍석,영진닷컴,2022년 05월,"28,800"
핸즈온 머신러닝,오렐리앙 제롱,한빛미디어,2020년 05월,"49,500"
파이썬 알고리즘 인터뷰,박상길,책만,2020년 07월,"34,200"
파이썬 머신러닝 완벽 가이드,권철민,위키북스,2022년 04월,"36,000"
Do it! 점프 투 파이썬 라이브러리 예제 편,박응용,이지스퍼블리싱,2022년 05월,"23,400"
파이썬 한권으로 끝내기,데싸라면,시대고시기획 시대교육,2022년 06월,"24,300"
Do it! 첫 파이썬,엘리스 코딩,이지스퍼블리싱,2020년 04월,"12,600"
Do it! 점프 투 파이썬 -전면 개정판,박응용,이지스퍼블리싱,2019년 06월,"13,000"
혼자 공부하는 첫 프로그래밍 with 파이썬 ,문현일,한빛미디어,2020년 06월,"15,300"
미국 주식으로 시작하는 슬기로운 퀀트투자 (무료특별판),김용환,한빛미디어,2021년 10월,0
엑셀이 편해지는 파이썬,펠릭스 춤슈타인,한빛미디어,2022년 04월,"25,200"
모두의 인공지능 기초 수학,서지영,길벗,2020년 08월,"22,500"
Do it! 파이썬 생활 프로그래밍,김창현,이지스퍼블리싱,2020년 07월,"18,000"
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,시바타 보요,이지스퍼블리싱,2020년 07월,"19,800"
