No,store,address,phone,address2,addr3,경도,위도,상태
1,학동역 DT점,서울시 강남구 학동로 211 1층  ,02-3444-9973,서울특별시 강남구 학동로 211 1층,서울특별시 강남구 학동로 211 1층,127.032052480207,37.5146783674783,정좌표
2,수서점,서울시 강남구 광평로 280 수서동 724호  ,02-3412-2326,서울특별시 강남구 광평로 280 수서동 724호,서울특별시 강남구 광평로 280 수서동 724호,127.103108075643,37.4873186442131,정좌표
3,차병원점,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층,서울특별시 강남구 논현로 566 강남차병원1층,127.034824313484,37.5064397339232,정좌표
4,강남대로점,서울시 서초구 강남대로 369 1층  ,02-588-5778,서울특별시 서초구 강남대로 369 1층,서울특별시 서초구 강남대로 369 1층,127.028216662926,37.4956614022321,정좌표
5,메가박스점,서울 강남구 삼성동 159 코엑스몰 지하2층  ,02-6002-3320,서울특별시 강남구 삼성동 159 코엑스몰 지하2층,서울특별시 강남구 삼성동 159 코엑스몰 지하2층,127.058794970892,37.5125118333676,정좌표
6,압구정에스점,서울시 강남구 압구정로 46길 3  ,02-541-5832,서울특별시 강남구 압구정로 46길 3,서울특별시 강남구 압구정로 46길 3,127.036904860838,37.5282787593524,정좌표
7,강남에스점,서울시 서초구 서초 1306-3호  ,02-593-5095,서울특별시 서초구 서초 1306-3호,서울특별시 서초구 서초 1306-3호,127.013501345624,37.4768809947035,인근좌표
8,청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",02-548-6052,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호","서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호",127.047232824336,37.5252552798862,정좌표
9,신사점,서울시 강남구 도산대로 126  ,02-548-2741,서울특별시 강남구 도산대로 126,서울특별시 강남구 도산대로 126,127.022411135765,37.516968700505,정좌표
10,압구정역점,서울시 강남구 논현로 842 압구정빌딩1층  ,02-544-6823,서울특별시 강남구 논현로 842 압구정빌딩1층,서울특별시 강남구 논현로 842 압구정빌딩1층,127.02873118599,37.5240392622953,정좌표
