title,author,publisher,date,price,rating
식물학자의 노트,신혜우 글그림,김영사,2021년 04월,"17,820",9.8
가드닝을 위한 식물학,제프 호지 저 / 김정은 역,따비,2021년 11월,"19,800",X
이일하 교수의 식물학 산책,이일하 저,궁리출판,2022년 05월,"19,800",X
재밌어서 밤새 읽는 식물학 이야기,이나가키 히데히로 저/박현아 역/류충민 감수,더숲,2019년 08월,"10,800",9.3
식물학자의 노트 (큰글자책),신혜우 글그림,김영사,2021년 09월,"22,000",10.0
식물학 수업,이나가키 히데히로 저/장은정 역,키라북스,2021년 02월,"13,050",10.0
시체를 보는 식물학자,마크 스펜서 저/김성훈 역,더퀘스트,2021년 10월,"14,400",9.5
見てびっくり野菜の植物學,盛口 滿 저.그림,少年寫眞新聞社,2012년 02월,"23,390",X
식물학자의 정원 산책,레나토 브루니 저/장혜경 역,초사흘달,2020년 07월,"16,200",9.7
자원식물학,"류수노, 이봉호, 이병윤 공저",한국방송통신대학교출판문화원,2018년 01월,"26,600",X
컨테이너에 들어간 식물학자,최성화 저,바이오스펙테이터,2019년 12월,"9,000",X
최신조경식물학,김용식 저,광일문화사,2018년 02월,"32,000",X
사고 일반식물학,임경빈 등저,향문사,2000년 01월,"33,000",6.0
술 취한 식물학자,에이미 스튜어트 저 / 구계원 역,문학동네,2016년 08월,"20,700",8.6
자원식물학,"류수노, 이봉호, 이병윤 공저",한국방송통신대학교출판문화원,2018년 02월,"23,000",X
어린이를 위한 식물학,지니 K. 풀브라이트 글 / 명지대학교 창조과학연구소 역,꿈을이루는사람들,2014년 07월,"22,500",10.0
식물학,James D. Mauseth 저,월드사이언스,2019년 02월,"42,000",X
베란다 식물학,이완주 저,지오북,2012년 05월,"13,500",8.0
식물학 수업,이나가키 히데히로 저/장은정 역,키라북스,2021년 02월,"10,000",X
약용 식물학 ,채영암 /김성민,향문사,2007년 01월,"33,000",X
식물학,"James E. Bidlack, Shelley H. Jansky 공저 / 김성하, 강혜순 등역",라이프사이언스,2014년 03월,"38,000",X
응용 식물학,한태진 저,월드사이언스,2011년 08월,"18,000",X
한약자원 식물학,장상문 등저,학문출판사,1996년 04월,"33,250",X
자원식물학,강병화 외,향문사,2009년 03월,"42,000",X
관상식물학,안영희 저,태림문화사,2010년 03월,"32,000",X
약용식물학,"나호정, 박진한, 임종필, 최인영, 홍승헌 공저",신일(신일북스),2007년 09월,"9,000",X
자원식물학개론,안상득,선진문화사,1996년 02월,"16,000",X
약용자원식물학,주영승,영림사,2005년 03월,"35,000",X
식물학ㆍ재배학 동양의학ㆍ식품학 용어해설 ,강병화 등저,한국학술정보,2012년 06월,"72,000",X
원예 자원식물학,"박석근, 정미나 공저",이담북스(이담Books),2012년 02월,"19,800",X
자원식물학,"BERL B. SIMPSON, MOLLY C. OGORZALY 공저 / 박기룡, 홍석표, 김무열 공역",교보문고,2011년 03월,"33,000",X
민족전통식물학,김현 저,월드사이언스,2008년 09월,"20,000",X
우리의 고전과 옛 교과서 629책. 148 식물학(중)교과서 식물학(중)교과서 부도,참빛아카이브 저,한국학술정보,2021년 10월,"42,000",X
우리의 고전과 옛 교과서 629책. 455 중등식물학,참빛아카이브 저,한국학술정보,2021년 10월,"25,000",X
해산식물학,Glinton J. Dawes 저 오윤식 역저,월드사이언스,2006년 03월,"30,000",X
자원식물의 이용을 위한 식물학·재배학·동양의학·식품학 용어 해설,강병화 등저,한국학술정보,2016년 05월,"48,000",X
원예자원식물학,"박석근, 정미나 공저",이담북스(이담Books),2016년 05월,"13,200",X
한방식용식물학,고성권 저,진영사(박진영),2016년 04월,"16,000",X
식물학자의 식탁,스쥔 저/류춘톈 그림/박소정 역,현대지성,2019년 06월,"15,750",9.2
식물학자의 식탁,스쥔 저/류춘톈 그림/박소정 역,현대지성,2019년 06월,"12,000",X
시체를 보는 식물학자,마크 스펜서 저,길벗,2021년 11월,"12,800",10.0
식물학자 윤경은 교수와  우리집 정원 만들기,윤경은 저,김영사,2007년 04월,"13,500",8.0
술 취한 식물학자,에이미 스튜어트 저 / 구계원 역,문학동네,2016년 11월,"17,300",X
"[너울나비]직업페이퍼토이 12탄 _ 식물학자, 아쿠아리스트, 곤충학자, 사육사","너울나비,페이퍼토이,종이만들기,키덜트",너울나비,X,"10,000",X
"[너울나비]직업페이퍼토이 12탄 _ 식물학자, 아쿠아리스트, 곤충학자, 사육사","너울나비,페이퍼토이,종이만들기,키덜트",너울나비,X,"10,000",X
식물학자가 본 성경속의 식물 ,윤의수 글사진,진솔,2017년 07월,"30,000",X
식물조직배양의 생물학,강영희 등역,지구문화사,2000년 01월,"12,000",X
식물학자 윤정은 교수의 우리집 용기정원 만들기,윤경은 저,김영사,2008년 02월,"12,600",7.5
