date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,1.20,-7.30,-2.95,48.12,29.00,0.00,2301060,0.00
2021-01-02,-2.20,-7.50,-4.83,42.21,31.00,0.00,2301060,0.00
2021-01-03,-2.10,-6.50,-4.60,36.38,25.00,0.00,2301060,0.00
2021-01-04,0.20,-6.00,-2.20,55.50,33.00,0.00,2301060,0.00
2021-01-05,-4.10,-10.40,-7.46,44.29,29.00,0.00,2301060,0.00
2021-01-06,-2.60,-15.10,-8.28,53.29,16.00,2.10,2301060,0.00
2021-01-07,-12.30,-17.40,-14.80,44.58,33.00,0.00,2301060,2.10
2021-01-08,-11.00,-15.60,-13.63,42.42,33.00,0.00,2301060,2.10
2021-01-09,-8.10,-11.40,-10.20,46.17,34.00,0.00,2301060,2.10
2021-01-10,-3.60,-8.40,-6.05,52.50,33.00,0.00,2301060,0.00
2021-01-11,-3.60,-6.70,-5.12,58.96,43.00,0.00,2301060,0.00
2021-01-12,1.00,-2.80,-0.69,85.12,58.00,1.10,2301060,0.00
2021-01-13,7.30,-2.50,2.12,62.12,42.00,0.00,2301060,1.10
2021-01-14,7.40,0.20,4.92,39.25,17.00,0.00,2301060,1.10
2021-01-15,9.20,-6.40,0.71,77.08,59.00,0.00,2301060,1.10
2021-01-16,-2.90,-9.00,-6.36,50.54,41.00,0.00,2301060,0.00
2021-01-17,-1.70,-6.80,-2.76,64.00,26.00,0.50,2301060,0.00
2021-01-18,0.50,-11.10,-5.85,45.62,33.00,0.00,2301060,0.50
2021-01-19,-2.10,-7.90,-4.67,33.71,11.00,0.00,2301060,0.50
2021-01-20,7.00,-1.30,4.16,29.33,15.00,0.00,2301060,0.50
2021-01-21,7.50,3.00,4.79,85.54,40.00,14.40,2301060,0.00
2021-01-22,6.10,3.70,5.00,87.62,75.00,0.00,2301060,14.40
2021-01-23,10.80,2.70,7.37,57.75,47.00,0.00,2301060,14.40
2021-01-24,11.00,5.00,7.26,61.25,44.00,0.00,2301060,14.40
2021-01-25,12.20,5.00,7.52,63.83,43.00,0.00,2301060,0.00
2021-01-26,5.60,-0.10,2.75,71.50,29.00,0.20,2301060,0.00
2021-01-27,4.70,0.00,1.38,41.62,16.00,0.00,2301060,0.20
2021-01-28,1.20,-10.60,-6.22,46.75,31.00,2.50,2301060,0.20
2021-01-29,-1.90,-9.30,-6.07,46.00,27.00,0.00,2301060,2.70
2021-01-30,4.50,-1.90,0.77,62.42,42.00,0.00,2301060,2.50
2021-01-31,9.70,3.00,7.83,62.21,27.00,0.00,2301060,2.50
2021-02-01,6.80,-7.30,-0.07,61.12,34.00,0.00,2301060,0.00
2021-02-02,-3.50,-8.50,-5.99,50.08,28.00,0.00,2301060,0.00
2021-02-03,0.90,-6.20,-1.79,61.96,33.00,3.40,2301060,0.00
2021-02-04,-0.10,-5.10,-2.30,50.92,23.00,0.00,2301060,3.40
