date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,1.50,-6.20,-2.69,60.17,35.00,0.00,1123053,0.00
2021-01-02,-1.40,-8.40,-4.47,50.71,28.00,0.00,1123053,0.00
2021-01-03,-1.30,-8.20,-4.77,58.17,27.00,0.00,1123053,0.00
2021-01-04,0.40,-5.10,-1.65,58.08,35.00,0.00,1123053,0.00
2021-01-05,-2.90,-11.30,-6.96,51.29,25.00,0.00,1123053,0.00
2021-01-06,-2.50,-14.70,-7.74,51.29,19.00,4.00,1123053,0.00
2021-01-07,-11.50,-16.70,-14.00,44.62,35.00,0.00,1123053,4.00
2021-01-08,-9.90,-15.50,-13.13,53.54,34.00,0.00,1123053,4.00
2021-01-09,-7.30,-13.40,-10.49,61.17,33.00,0.00,1123053,4.00
2021-01-10,-2.90,-9.80,-6.38,66.54,34.00,0.00,1123053,0.00
2021-01-11,-3.10,-8.30,-5.30,72.58,46.00,0.00,1123053,0.00
2021-01-12,0.40,-3.20,-1.35,85.58,63.00,3.00,1123053,0.00
2021-01-13,8.20,-11.40,-0.09,78.00,61.00,0.00,1123053,3.00
2021-01-14,7.70,0.50,3.68,55.08,23.00,0.00,1123053,3.00
2021-01-15,10.40,-5.10,1.78,74.62,66.00,0.00,1123053,3.00
2021-01-16,-2.10,-9.60,-5.66,59.25,42.00,0.00,1123053,0.00
2021-01-17,-0.90,-5.10,-2.36,68.38,26.00,0.00,1123053,0.00
2021-01-18,1.80,-10.60,-4.81,52.08,33.00,0.00,1123053,0.00
2021-01-19,-1.60,-7.30,-4.90,59.33,21.00,0.00,1123053,0.00
2021-01-20,7.30,-0.30,3.69,49.29,19.00,0.00,1123053,0.00
2021-01-21,8.20,3.60,5.30,87.75,41.00,13.00,1123053,0.00
2021-01-22,6.90,2.90,5.70,90.71,69.00,0.00,1123053,13.00
2021-01-23,11.90,1.70,7.78,62.79,50.00,0.00,1123053,13.00
2021-01-24,12.10,2.40,6.33,73.50,40.00,0.00,1123053,13.00
2021-01-25,14.10,3.80,6.94,70.12,34.00,0.00,1123053,0.00
2021-01-26,5.70,-1.40,2.52,84.50,62.00,0.00,1123053,0.00
2021-01-27,5.30,-0.90,1.40,55.46,19.00,0.00,1123053,0.00
2021-01-28,1.60,-9.80,-5.48,47.42,32.00,2.00,1123053,0.00
2021-01-29,-1.80,-7.90,-5.59,50.33,25.00,0.00,1123053,2.00
2021-01-30,5.40,-3.80,-0.04,77.25,37.00,0.00,1123053,2.00
2021-01-31,9.70,2.80,7.15,64.33,35.00,0.50,1123053,2.00
2021-02-01,7.50,-6.60,0.62,61.04,32.00,0.00,1123053,0.50
2021-02-02,-2.80,-8.80,-5.59,55.92,28.00,0.00,1123053,0.50
2021-02-03,1.20,-5.90,-1.65,61.58,40.00,4.00,1123053,0.50
2021-02-04,0.00,-4.10,-2.50,61.42,28.00,0.00,1123053,4.00
2021-02-05,6.20,0.20,3.40,68.88,60.00,0.00,1123053,4.00
2021-02-06,8.20,1.40,5.76,83.17,72.00,0.00,1123053,4.00
2021-02-07,6.70,-4.30,0.14,52.33,30.00,0.00,1123053,0.00
2021-02-08,0.60,-5.50,-2.77,49.42,27.00,0.00,1123053,0.00
2021-02-09,3.30,-2.00,0.38,64.46,28.00,0.00,1123053,0.00
2021-02-10,7.10,0.20,3.43,82.79,61.00,0.00,1123053,0.00
2021-02-11,9.00,-0.70,3.71,79.38,44.00,0.00,1123053,0.00
2021-02-12,11.20,-1.90,3.98,73.96,27.00,0.00,1123053,0.00
2021-02-13,10.60,0.00,5.57,74.38,35.00,0.00,1123053,0.00
2021-02-14,11.50,2.30,6.83,63.50,34.00,0.00,1123053,0.00
2021-02-15,2.60,-6.30,-2.22,56.46,35.00,0.00,1123053,0.00
2021-02-16,-1.50,-9.00,-5.59,50.46,31.00,1.00,1123053,0.00
2021-02-17,-5.40,-9.20,-7.52,43.04,33.00,0.00,1123053,1.00
2021-02-18,-0.80,-6.70,-3.69,55.21,31.00,0.00,1123053,1.00
2021-02-19,8.50,0.10,4.90,73.04,50.00,0.00,1123053,1.00
2021-02-20,12.10,4.70,7.68,63.00,20.00,0.00,1123053,0.00
2021-02-21,16.40,5.00,10.18,67.08,42.00,0.00,1123053,0.00
2021-02-22,11.20,-2.30,3.72,41.67,25.00,0.00,1123053,0.00
2021-02-23,3.20,-2.70,0.20,34.58,22.00,0.00,1123053,0.00
2021-02-24,6.70,-0.80,2.09,54.79,18.00,0.00,1123053,0.00
2021-02-25,7.40,-0.80,3.37,53.75,27.00,0.00,1123053,0.00
2021-02-26,14.50,1.10,8.00,42.21,16.00,0.00,1123053,0.00
2021-02-27,14.70,1.30,8.69,51.71,30.00,0.00,1123053,0.00
2021-02-28,10.00,5.10,7.30,61.12,36.00,18.50,1123053,0.00
2021-03-01,7.50,0.30,2.72,86.88,70.00,41.50,1123053,18.50
2021-03-02,6.70,-1.10,2.26,76.42,46.00,0.00,1123053,60.00
2021-03-03,8.90,1.10,4.54,68.75,36.00,0.00,1123053,60.00
2021-03-04,12.00,2.10,7.02,74.08,44.00,0.00,1123053,41.50
2021-03-05,13.60,2.70,7.40,76.12,45.00,0.00,1123053,0.00
2021-03-06,11.70,2.70,6.36,61.62,49.00,0.00,1123053,0.00
2021-03-07,9.90,-0.10,4.45,75.83,49.00,0.00,1123053,0.00
