date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.20,-4.60,-2.18,66.29,46.00,0.00,2332035,0.00
2021-01-02,-1.10,-6.00,-3.32,51.92,32.00,0.00,2332035,0.00
2021-01-03,-1.70,-5.60,-3.57,59.75,45.00,0.00,2332035,0.00
2021-01-04,0.20,-4.10,-1.45,67.21,46.00,0.00,2332035,0.00
2021-01-05,-2.70,-8.10,-5.42,54.42,38.00,0.00,2332035,0.00
2021-01-06,-1.30,-12.60,-6.88,64.29,40.00,0.00,2332035,0.00
2021-01-07,-10.50,-14.40,-12.22,62.21,53.00,0.00,2332035,0.00
2021-01-08,-10.20,-13.20,-11.20,57.83,47.00,0.00,2332035,0.00
2021-01-09,-5.80,-10.90,-8.40,59.00,46.00,0.00,2332035,0.00
2021-01-10,-3.00,-7.90,-5.36,59.96,47.00,0.00,2332035,0.00
2021-01-11,-0.70,-5.80,-3.64,71.79,51.00,0.00,2332035,0.00
2021-01-12,5.80,-0.10,2.20,66.58,52.00,0.50,2332035,0.00
2021-01-13,9.00,-4.20,3.04,65.38,48.00,0.00,2332035,0.50
2021-01-14,8.50,0.00,3.60,61.83,28.00,0.00,2332035,0.50
2021-01-15,10.10,-4.80,1.18,76.21,66.00,0.00,2332035,0.50
2021-01-16,-2.60,-5.90,-4.79,55.12,44.00,0.00,2332035,0.00
2021-01-17,2.90,-3.90,-0.82,58.71,36.00,0.00,2332035,0.00
2021-01-18,3.60,-8.90,-4.33,50.96,39.00,0.00,2332035,0.00
2021-01-19,-1.40,-7.60,-5.29,53.33,34.00,0.00,2332035,0.00
2021-01-20,5.10,0.00,3.00,58.62,42.00,0.00,2332035,0.00
2021-01-21,5.80,3.70,4.47,91.62,62.00,13.00,2332035,0.00
2021-01-22,6.40,3.90,4.79,89.08,80.00,0.00,2332035,13.00
2021-01-23,8.70,2.10,6.06,68.67,60.00,0.00,2332035,13.00
2021-01-24,10.40,3.50,6.22,67.08,51.00,0.00,2332035,13.00
2021-01-25,10.10,2.90,6.07,71.58,54.00,0.00,2332035,0.00
2021-01-26,6.10,0.10,3.18,68.21,32.00,0.00,2332035,0.00
2021-01-27,3.80,-1.70,1.10,47.46,18.00,1.50,2332035,0.00
2021-01-28,2.00,-8.30,-4.79,49.75,37.00,0.50,2332035,1.50
2021-01-29,5.50,-8.10,-4.04,68.42,49.00,0.00,2332035,2.00
2021-01-30,6.20,-2.90,0.67,72.88,55.00,0.00,2332035,2.00
2021-01-31,8.20,3.60,6.98,76.12,50.00,0.00,2332035,0.50
2021-02-01,7.50,-5.80,0.49,60.50,38.00,0.00,2332035,0.00
2021-02-02,-2.50,-8.60,-5.42,63.38,36.00,0.00,2332035,0.00
2021-02-03,2.60,-4.60,-0.55,67.21,40.00,3.50,2332035,0.00
2021-02-04,3.40,-3.00,0.25,62.62,33.00,0.00,2332035,3.50
2021-02-05,7.00,2.80,4.96,85.96,74.00,0.00,2332035,3.50
2021-02-06,8.90,1.10,5.35,90.58,82.00,0.00,2332035,3.50
2021-02-07,4.70,-3.50,0.28,48.83,27.00,0.00,2332035,0.00
2021-02-08,0.30,-5.30,-2.45,46.62,32.00,0.00,2332035,0.00
2021-02-09,3.30,0.10,1.94,68.71,32.00,0.00,2332035,0.00
2021-02-10,5.20,0.40,3.62,88.96,79.00,0.00,2332035,0.00
2021-02-11,7.50,0.00,2.70,82.58,58.00,0.00,2332035,0.00
2021-02-12,8.50,-2.60,1.89,82.92,62.00,0.00,2332035,0.00
2021-02-13,6.40,1.70,4.01,71.62,50.00,0.00,2332035,0.00
2021-02-14,9.30,0.40,5.54,73.62,48.00,0.50,2332035,0.00
2021-02-15,1.10,-6.00,-2.20,56.17,45.00,0.00,2332035,0.50
2021-02-16,-2.40,-8.20,-5.21,53.50,38.00,1.00,2332035,0.50
2021-02-17,-4.90,-7.90,-6.74,48.71,44.00,0.00,2332035,1.50
2021-02-18,0.50,-6.70,-3.23,59.42,37.00,0.00,2332035,1.00
2021-02-19,8.30,1.90,5.75,80.42,71.00,0.00,2332035,1.00
2021-02-20,9.30,5.50,7.30,79.04,45.00,0.00,2332035,0.00
2021-02-21,11.40,4.70,8.47,78.58,63.00,0.00,2332035,0.00
2021-02-22,8.90,-1.50,2.76,48.21,33.00,0.00,2332035,0.00
2021-02-23,1.60,-3.10,-0.33,39.75,32.00,0.00,2332035,0.00
2021-02-24,4.70,-1.20,0.80,47.58,21.00,0.00,2332035,0.00
2021-02-25,4.90,0.90,3.31,41.38,27.00,0.00,2332035,0.00
2021-02-26,11.40,2.80,7.28,40.33,20.00,0.00,2332035,0.00
2021-02-27,12.90,2.40,7.70,50.96,35.00,0.00,2332035,0.00
2021-02-28,7.50,3.80,5.52,67.29,43.00,27.50,2332035,0.00
2021-03-01,5.30,0.40,2.20,85.21,62.00,31.00,2332035,27.50
2021-03-02,4.60,-2.20,1.30,74.46,56.00,0.00,2332035,58.50
2021-03-03,6.90,0.30,3.50,72.88,61.00,0.00,2332035,58.50
2021-03-04,11.30,2.20,5.89,70.42,51.00,0.00,2332035,31.00
2021-03-05,11.70,3.50,7.02,73.42,45.00,0.00,2332035,0.00
2021-03-06,8.20,1.20,4.52,72.08,61.00,0.00,2332035,0.00
2021-03-07,8.00,0.10,3.90,75.08,57.00,0.00,2332035,0.00
2021-03-08,7.90,0.10,3.46,65.75,54.00,0.00,2332035,0.00
2021-03-09,8.80,0.00,4.78,66.79,28.00,0.00,2332035,0.00
2021-03-10,12.00,1.20,5.28,67.71,45.00,0.00,2332035,0.00
2021-03-11,11.20,6.70,9.00,61.38,42.00,0.00,2332035,0.00
2021-03-12,12.70,4.70,8.25,63.83,45.00,0.00,2332035,0.00
2021-03-13,11.70,2.40,6.63,73.04,50.00,0.00,2332035,0.00
2021-03-14,6.70,0.90,3.21,93.75,81.00,0.00,2332035,0.00
2021-03-15,11.90,5.40,9.10,66.17,41.00,0.00,2332035,0.00
2021-03-16,8.40,0.60,5.05,48.29,29.00,0.00,2332035,0.00
2021-03-17,10.00,2.10,5.58,56.12,30.00,0.00,2332035,0.00
2021-03-18,12.70,6.00,8.55,55.33,36.00,0.00,2332035,0.00
2021-03-19,15.10,7.10,10.42,58.25,42.00,0.50,2332035,0.00
2021-03-20,8.70,4.80,5.76,82.54,71.00,0.50,2332035,0.50
2021-03-21,6.80,2.50,4.93,59.17,47.00,0.00,2332035,1.00
2021-03-22,8.60,4.50,6.47,72.58,25.00,0.00,2332035,1.00
2021-03-23,12.40,5.70,8.17,75.71,48.00,0.00,2332035,0.50
2021-03-24,11.60,7.00,9.19,78.43,61.00,0.00,2332035,0.00
2021-03-25,12.00,2.00,5.30,89.54,71.00,0.00,2332035,0.00
2021-03-26,12.90,4.60,8.53,71.67,49.00,0.00,2332035,0.00
2021-03-27,10.80,6.60,8.68,92.50,64.00,37.00,2332035,0.00
2021-03-28,8.60,6.10,7.45,90.58,69.00,0.50,2332035,37.00
2021-03-29,12.00,2.90,7.14,60.71,27.00,0.00,2332035,37.50
2021-03-30,15.30,4.20,9.69,42.54,20.00,0.00,2332035,37.50
2021-03-31,17.30,9.10,13.06,37.25,16.00,0.00,2332035,0.50
2021-04-01,20.80,12.10,15.97,29.62,20.00,0.00,2332035,0.00
2021-04-02,19.10,10.70,15.08,50.62,31.00,10.50,2332035,0.00
2021-04-03,12.90,8.20,10.04,92.67,72.00,56.00,2332035,10.50
2021-04-04,14.10,4.30,9.59,63.75,47.00,0.00,2332035,66.50
2021-04-05,14.80,5.80,9.75,46.92,20.00,0.00,2332035,66.50
2021-04-06,16.50,5.80,11.63,51.92,31.00,0.00,2332035,56.00
2021-04-07,16.90,7.60,12.14,40.08,23.00,0.00,2332035,0.00
2021-04-08,15.10,6.10,10.72,39.79,21.00,0.00,2332035,0.00
2021-04-09,15.20,5.70,10.97,51.75,37.00,0.00,2332035,0.00
2021-04-10,14.20,5.20,9.10,74.08,52.00,0.00,2332035,0.00
2021-04-11,17.90,10.00,12.92,44.25,21.00,0.00,2332035,0.00
2021-04-12,15.50,9.20,10.95,85.79,49.00,16.50,2332035,0.00
2021-04-13,9.60,3.60,6.84,58.00,42.00,0.00,2332035,16.50
2021-04-14,10.30,4.50,7.87,74.21,38.00,0.00,2332035,16.50
2021-04-15,13.60,5.30,9.25,71.58,53.00,0.50,2332035,16.50
2021-04-16,12.90,4.60,8.83,65.50,44.00,0.00,2332035,0.50
2021-04-17,12.20,7.30,9.02,62.21,37.00,0.00,2332035,0.50
2021-04-18,12.50,7.20,9.90,61.92,45.00,0.00,2332035,0.50
2021-04-19,14.80,6.70,10.83,76.71,55.00,0.00,2332035,0.00
2021-04-20,17.00,7.80,11.48,64.04,24.00,0.00,2332035,0.00
2021-04-21,23.30,11.40,16.52,40.58,22.00,0.00,2332035,0.00
2021-04-22,21.60,15.30,18.10,41.62,29.00,0.00,2332035,0.00
2021-04-23,19.50,14.00,16.80,42.54,27.00,0.00,2332035,0.00
2021-04-24,19.10,11.00,14.74,62.38,48.00,0.00,2332035,0.00
2021-04-25,20.50,10.60,15.28,63.21,42.00,0.00,2332035,0.00
