date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.40,-10.00,-4.35,54.17,37.00,0.00,2308086,0.00
2021-01-02,-1.30,-10.30,-6.28,48.04,27.00,0.00,2308086,0.00
2021-01-03,-2.00,-9.40,-5.98,49.71,28.00,0.00,2308086,0.00
2021-01-04,-0.10,-7.80,-2.92,61.29,42.00,0.00,2308086,0.00
2021-01-05,-3.00,-13.70,-8.84,49.25,29.00,0.00,2308086,0.00
2021-01-06,-2.40,-16.40,-8.82,54.50,24.00,0.50,2308086,0.00
2021-01-07,-12.30,-19.10,-15.57,47.46,36.00,0.00,2308086,0.50
2021-01-08,-10.60,-18.30,-14.88,50.08,38.00,0.00,2308086,0.50
2021-01-09,-7.70,-14.30,-11.51,55.25,36.00,0.00,2308086,0.50
2021-01-10,-3.70,-11.20,-7.35,59.25,34.00,0.00,2308086,0.00
2021-01-11,-3.70,-10.10,-6.52,67.83,49.00,0.00,2308086,0.00
2021-01-12,1.30,-4.20,-2.19,93.29,67.00,2.50,2308086,0.00
2021-01-13,7.50,-5.70,0.41,73.67,49.00,0.00,2308086,2.50
2021-01-14,7.80,-0.30,4.17,55.67,27.00,0.00,2308086,2.50
2021-01-15,9.50,-7.60,0.27,79.42,68.00,0.00,2308086,2.50
2021-01-16,-2.30,-12.40,-7.62,55.42,44.00,0.00,2308086,0.00
2021-01-17,-2.10,-6.60,-4.01,73.25,33.00,0.00,2308086,0.00
2021-01-18,1.00,-13.40,-6.54,49.88,29.00,0.00,2308086,0.00
2021-01-19,-1.90,-10.10,-6.69,46.46,18.00,0.00,2308086,0.00
2021-01-20,7.60,-2.50,3.16,46.04,23.00,0.00,2308086,0.00
2021-01-21,7.40,3.10,4.20,89.58,45.00,9.50,2308086,0.00
2021-01-22,6.70,3.40,4.75,90.12,78.00,0.00,2308086,9.50
2021-01-23,10.00,0.90,5.33,71.96,57.00,0.00,2308086,9.50
2021-01-24,11.70,0.70,5.71,77.67,46.00,0.00,2308086,9.50
2021-01-25,12.50,3.20,6.12,76.25,50.00,0.00,2308086,0.00
2021-01-26,6.20,-3.30,1.52,73.42,35.00,0.00,2308086,0.00
2021-01-27,5.50,-2.40,0.37,48.50,20.00,0.00,2308086,0.00
2021-01-28,1.00,-11.50,-6.62,49.04,37.00,2.50,2308086,0.00
2021-01-29,-3.40,-9.50,-6.47,47.04,30.00,0.00,2308086,2.50
2021-01-30,4.50,-5.20,-0.76,76.42,46.00,0.00,2308086,2.50
2021-01-31,9.90,1.30,7.05,70.96,39.00,0.00,2308086,2.50
2021-02-01,7.70,-8.50,-0.38,63.38,37.00,0.00,2308086,0.00
2021-02-02,-2.70,-10.70,-6.59,53.29,31.00,0.00,2308086,0.00
2021-02-03,0.60,-10.80,-2.79,69.12,42.00,3.00,2308086,0.00
2021-02-04,-0.20,-5.20,-3.33,60.00,33.00,0.00,2308086,3.00
2021-02-05,5.50,1.50,4.01,79.88,71.00,0.00,2308086,3.00
2021-02-06,8.40,1.50,5.46,90.92,76.00,0.00,2308086,3.00
2021-02-07,7.10,-5.50,-0.16,49.08,23.00,0.00,2308086,0.00
2021-02-08,0.20,-6.90,-3.90,46.92,29.00,0.00,2308086,0.00
2021-02-09,3.40,-2.00,-0.03,65.12,31.00,0.00,2308086,0.00
2021-02-10,6.50,0.30,2.90,88.96,72.00,0.00,2308086,0.00
2021-02-11,9.80,-2.00,2.73,80.38,55.00,0.00,2308086,0.00
2021-02-12,12.30,-2.60,3.45,73.46,34.00,0.00,2308086,0.00
2021-02-13,12.20,2.80,5.86,63.75,31.00,0.00,2308086,0.00
2021-02-14,12.00,0.80,6.20,70.71,38.00,1.00,2308086,0.00
2021-02-15,2.20,-8.30,-3.55,56.83,31.00,0.00,2308086,1.00
2021-02-16,-0.60,-10.40,-6.38,50.46,29.00,1.00,2308086,1.00
2021-02-17,-5.30,-10.10,-8.13,43.46,30.00,0.00,2308086,2.00
2021-02-18,-0.60,-7.60,-4.52,51.38,33.00,0.00,2308086,1.00
2021-02-19,7.60,0.00,5.14,79.46,56.00,0.00,2308086,1.00
2021-02-20,11.90,2.80,6.85,65.21,25.00,0.00,2308086,0.00
2021-02-21,14.90,3.70,9.56,75.21,56.00,0.00,2308086,0.00
