date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.20,-10.20,-4.23,57.62,37.00,0.00,2331032,0.00
2021-01-02,-1.80,-10.60,-6.09,52.25,36.00,0.00,2331032,0.00
2021-01-03,-2.30,-10.30,-6.83,51.50,28.00,0.00,2331032,0.00
2021-01-04,-0.70,-6.30,-2.90,54.71,35.00,0.00,2331032,0.00
2021-01-05,-3.30,-13.60,-8.87,55.17,29.00,0.00,2331032,0.00
2021-01-06,-3.00,-16.00,-8.66,57.17,27.00,1.00,2331032,0.00
2021-01-07,-12.10,-17.50,-14.92,47.54,40.00,0.00,2331032,1.00
2021-01-08,-11.30,-17.70,-14.07,47.79,38.00,0.00,2331032,1.00
2021-01-09,-7.60,-14.50,-11.52,58.46,35.00,0.00,2331032,1.00
2021-01-10,-3.80,-10.80,-7.56,62.04,39.00,0.00,2331032,0.00
2021-01-11,-3.50,-10.60,-6.90,67.67,47.00,0.00,2331032,0.00
2021-01-12,1.20,-6.10,-2.85,89.12,63.00,0.70,2331032,0.00
2021-01-13,8.30,-6.90,0.95,67.62,43.00,0.00,2331032,0.70
2021-01-14,7.50,-1.30,2.86,45.71,26.00,0.00,2331032,0.70
2021-01-15,9.80,-8.60,-0.02,80.33,67.00,0.10,2331032,0.70
2021-01-16,-2.50,-12.90,-7.85,58.88,43.00,0.00,2331032,0.10
2021-01-17,-2.00,-6.90,-4.60,73.62,36.00,0.00,2331032,0.10
2021-01-18,1.60,-13.50,-6.64,48.83,24.00,0.10,2331032,0.10
2021-01-19,-2.50,-10.20,-7.38,47.08,25.00,0.00,2331032,0.10
2021-01-20,6.30,-3.20,2.37,37.96,21.00,0.00,2331032,0.10
2021-01-21,5.90,2.80,3.71,88.79,43.00,8.10,2331032,0.10
2021-01-22,6.40,2.40,5.10,87.25,70.00,0.00,2331032,8.10
2021-01-23,9.30,3.50,5.86,66.08,57.00,0.00,2331032,8.10
2021-01-24,11.70,0.60,4.89,76.42,50.00,0.00,2331032,8.10
2021-01-25,11.80,2.50,5.71,72.33,46.00,0.00,2331032,0.00
2021-01-26,6.30,-1.10,2.12,66.46,21.00,0.00,2331032,0.00
2021-01-27,5.20,-2.40,0.48,45.96,14.00,0.00,2331032,0.00
2021-01-28,0.90,-11.90,-6.92,48.12,37.00,3.00,2331032,0.00
2021-01-29,-3.30,-10.00,-6.68,50.96,29.00,0.00,2331032,3.00
2021-01-30,4.90,-5.30,-1.56,65.38,45.00,0.00,2331032,3.00
2021-01-31,9.30,-1.00,5.85,71.75,39.00,0.50,2331032,3.00
2021-02-01,7.70,-9.00,-0.91,60.79,34.00,0.00,2331032,0.50
2021-02-02,-2.70,-11.10,-7.06,55.58,29.00,0.00,2331032,0.50
2021-02-03,0.60,-9.10,-2.66,67.17,40.00,3.50,2331032,0.50
2021-02-04,0.00,-6.00,-3.78,62.38,32.00,0.00,2331032,3.50
2021-02-05,5.30,1.30,3.37,80.54,73.00,0.00,2331032,3.50
2021-02-06,8.70,-0.70,4.52,90.38,77.00,0.00,2331032,3.50
2021-02-07,7.10,-6.10,-0.62,50.88,27.00,0.00,2331032,0.00
2021-02-08,0.60,-7.50,-4.05,48.38,26.00,0.00,2331032,0.00
