date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.70,-7.60,-3.43,60.04,44.00,0.00,2331042,0.00
2021-01-02,-0.80,-7.20,-4.63,51.00,39.00,0.00,2331042,0.00
2021-01-03,-2.40,-6.40,-4.80,48.67,40.00,0.00,2331042,0.00
2021-01-04,-0.50,-6.80,-2.65,58.67,39.00,0.00,2331042,0.00
2021-01-05,-2.80,-10.40,-7.32,55.88,41.00,0.00,2331042,0.00
2021-01-06,-2.70,-15.80,-8.46,64.38,24.00,0.50,2331042,0.00
2021-01-07,-10.80,-17.40,-14.43,54.83,47.00,0.00,2331042,0.50
2021-01-08,-9.90,-14.50,-13.09,52.96,43.00,0.00,2331042,0.50
2021-01-09,-7.20,-11.40,-9.74,57.79,38.00,0.00,2331042,0.50
2021-01-10,-4.30,-8.80,-6.52,65.33,41.00,0.00,2331042,0.00
2021-01-11,-3.40,-6.00,-4.90,69.67,52.00,0.00,2331042,0.00
2021-01-12,2.10,-2.80,0.16,80.46,61.00,0.00,2331042,0.00
2021-01-13,6.10,-3.80,0.65,74.79,55.00,0.00,2331042,0.00
2021-01-14,6.60,-0.10,3.62,53.38,28.00,0.00,2331042,0.00
2021-01-15,7.00,-7.80,-0.73,81.75,70.00,0.00,2331042,0.00
2021-01-16,-2.30,-9.70,-6.67,57.71,44.00,0.00,2331042,0.00
2021-01-17,0.90,-4.80,-2.36,69.08,33.00,0.00,2331042,0.00
2021-01-18,1.40,-11.90,-6.36,52.71,39.00,0.00,2331042,0.00
2021-01-19,-2.60,-7.90,-5.31,46.17,19.00,0.00,2331042,0.00
2021-01-20,4.90,-1.40,2.39,48.04,29.00,0.00,2331042,0.00
2021-01-21,4.90,1.70,2.81,92.46,53.00,7.50,2331042,0.00
2021-01-22,6.90,1.80,3.49,96.04,80.00,0.00,2331042,7.50
2021-01-23,8.40,1.80,4.89,73.88,63.00,0.00,2331042,7.50
2021-01-24,11.90,2.20,5.22,75.71,49.00,0.00,2331042,7.50
2021-01-25,11.60,2.50,5.57,78.08,55.00,0.00,2331042,0.00
2021-01-26,4.70,-1.80,1.57,78.54,43.00,0.00,2331042,0.00
2021-01-27,5.20,-0.80,1.64,60.79,24.00,0.00,2331042,0.00
2021-01-28,0.80,-11.00,-6.35,54.71,39.00,0.00,2331042,0.00
2021-01-29,-1.70,-7.30,-4.84,58.38,34.00,0.00,2331042,0.00
2021-01-30,5.10,-2.30,-0.07,71.38,51.00,0.00,2331042,0.00
2021-01-31,8.30,1.50,5.87,75.79,45.00,0.00,2331042,0.00
2021-02-01,5.60,-8.10,-1.20,69.83,38.00,0.00,2331042,0.00
2021-02-02,-2.10,-8.90,-5.83,61.38,36.00,0.00,2331042,0.00
2021-02-03,1.30,-6.80,-1.76,74.67,48.00,0.50,2331042,0.00
2021-02-04,2.20,-3.20,-0.70,67.50,32.00,0.00,2331042,0.50
2021-02-05,5.50,2.00,3.93,92.04,79.00,0.00,2331042,0.50
2021-02-06,5.80,-0.30,3.59,99.21,94.00,0.00,2331042,0.50
2021-02-07,7.30,-6.00,-0.43,60.50,34.00,0.00,2331042,0.00
2021-02-08,1.60,-5.30,-2.24,50.21,33.00,0.00,2331042,0.00
2021-02-09,2.50,0.70,1.65,74.92,42.00,0.00,2331042,0.00
2021-02-10,5.60,1.80,3.54,93.25,82.00,0.00,2331042,0.00
2021-02-11,8.40,-0.60,3.02,87.92,63.00,0.00,2331042,0.00
2021-02-12,9.20,-1.60,2.51,88.46,60.00,0.00,2331042,0.00
2021-02-13,7.70,2.30,3.82,87.83,75.00,0.00,2331042,0.00
2021-02-14,9.40,-0.20,4.85,82.08,56.00,0.00,2331042,0.00
2021-02-15,1.00,-6.60,-3.13,58.83,33.00,0.00,2331042,0.00
2021-02-16,-0.10,-10.20,-6.18,58.08,36.00,0.00,2331042,0.00
2021-02-17,-4.10,-9.70,-7.52,51.17,38.00,0.00,2331042,0.00
2021-02-18,1.00,-5.90,-2.96,57.29,32.00,0.00,2331042,0.00
2021-02-19,5.20,-0.30,3.67,90.33,73.00,0.00,2331042,0.00
2021-02-20,7.80,2.80,5.46,89.33,79.00,0.00,2331042,0.00
2021-02-21,10.40,5.70,7.58,83.92,70.00,0.00,2331042,0.00
2021-02-22,11.70,-3.90,2.22,53.46,34.00,0.00,2331042,0.00
2021-02-23,3.90,-3.10,-0.53,42.75,26.00,0.00,2331042,0.00
2021-02-24,7.00,-0.60,1.46,58.50,20.00,0.50,2331042,0.00
2021-02-25,5.70,0.00,2.50,47.96,32.00,0.00,2331042,0.50
2021-02-26,15.10,1.00,6.90,50.88,19.00,0.00,2331042,0.50
2021-02-27,14.30,1.90,7.78,56.12,35.00,0.00,2331042,0.50
2021-02-28,9.20,3.80,5.77,73.33,47.00,21.50,2331042,0.00
2021-03-01,5.10,-0.10,1.64,92.58,70.00,19.00,2331042,21.50
2021-03-02,6.40,0.40,2.79,80.00,56.00,0.00,2331042,40.50
2021-03-03,6.20,1.70,3.62,77.92,61.00,0.00,2331042,40.50
2021-03-04,10.80,3.00,6.47,76.29,58.00,0.00,2331042,19.00
2021-03-05,11.60,2.10,6.59,84.21,59.00,0.00,2331042,0.00
2021-03-06,10.80,0.60,4.27,72.29,57.00,0.00,2331042,0.00
2021-03-07,9.40,0.20,4.24,79.67,51.00,0.00,2331042,0.00
2021-03-08,9.00,1.20,4.45,75.79,54.00,0.00,2331042,0.00
2021-03-09,8.00,1.50,4.79,83.62,55.00,0.00,2331042,0.00
2021-03-10,10.30,2.80,5.80,82.54,59.00,0.00,2331042,0.00
2021-03-11,10.90,6.30,8.00,70.33,49.00,0.00,2331042,0.00
2021-03-12,14.60,4.70,8.92,69.46,49.00,0.00,2331042,0.00
2021-03-13,10.70,3.30,6.78,84.67,58.00,0.00,2331042,0.00
2021-03-14,6.50,1.60,3.69,99.42,95.00,0.00,2331042,0.00
2021-03-15,11.40,3.60,8.02,74.83,44.00,0.00,2331042,0.00
2021-03-16,12.20,1.80,6.01,48.29,30.00,0.00,2331042,0.00
2021-03-17,11.60,3.80,6.83,65.50,36.00,0.00,2331042,0.00
2021-03-18,12.00,5.90,8.55,73.38,50.00,0.00,2331042,0.00
2021-03-19,14.40,7.20,10.49,67.21,53.00,0.00,2331042,0.00
2021-03-20,8.50,4.60,6.10,90.33,82.00,2.00,2331042,0.00
2021-03-21,8.40,3.10,5.24,63.25,50.00,0.00,2331042,2.00
2021-03-22,8.90,4.30,6.38,81.38,52.00,0.00,2331042,2.00
2021-03-23,10.20,6.60,7.98,85.08,75.00,0.00,2331042,2.00
2021-03-24,12.00,6.90,8.96,84.43,65.00,0.00,2331042,0.00
2021-03-25,8.80,2.70,5.10,98.08,90.00,0.00,2331042,0.00
2021-03-26,12.30,5.80,8.92,80.71,59.00,0.00,2331042,0.00
2021-03-27,11.60,6.90,9.40,97.00,70.00,28.50,2331042,0.00
2021-03-28,10.80,7.00,8.22,96.88,80.00,0.50,2331042,28.50
2021-03-29,10.50,3.50,7.18,80.46,46.00,0.00,2331042,29.00
2021-03-30,13.10,5.90,8.91,72.62,41.00,0.00,2331042,29.00
2021-03-31,19.40,9.50,12.65,56.75,22.00,0.00,2331042,0.50
2021-04-01,23.30,11.10,16.01,46.42,20.00,0.00,2331042,0.00
2021-04-02,19.00,10.80,15.17,61.71,32.00,2.00,2331042,0.00
2021-04-03,12.40,8.90,10.35,93.67,68.00,44.50,2331042,2.00
2021-04-04,16.40,6.20,10.56,69.54,45.00,0.00,2331042,46.50
2021-04-05,14.10,7.40,10.53,64.92,37.00,0.00,2331042,46.50
2021-04-06,15.90,7.60,11.24,71.83,48.00,0.00,2331042,44.50
2021-04-07,14.10,6.20,10.84,64.54,48.00,0.00,2331042,0.00
2021-04-08,18.40,6.30,11.28,53.17,29.00,0.00,2331042,0.00
2021-04-09,17.10,8.70,12.39,53.29,24.00,0.00,2331042,0.00
2021-04-10,13.10,7.40,9.85,84.50,59.00,0.00,2331042,0.00
2021-04-11,18.00,11.10,13.92,55.08,27.00,0.00,2331042,0.00
2021-04-12,16.20,9.30,11.35,90.50,53.00,26.00,2331042,0.00
2021-04-13,11.30,4.60,7.67,62.75,49.00,0.00,2331042,26.00
2021-04-14,10.30,7.20,8.63,81.62,50.00,0.00,2331042,26.00
2021-04-15,11.40,6.90,9.60,80.21,70.00,0.00,2331042,26.00
2021-04-16,13.80,7.50,10.30,74.92,49.00,0.00,2331042,0.00
2021-04-17,12.60,6.70,9.43,64.92,32.00,0.00,2331042,0.00
2021-04-18,13.70,7.80,10.37,74.38,54.00,0.00,2331042,0.00
2021-04-19,13.20,8.80,10.80,87.17,75.00,0.00,2331042,0.00
2021-04-20,16.00,8.70,11.64,83.21,62.00,0.00,2331042,0.00
2021-04-21,22.30,12.90,16.56,56.12,35.00,0.00,2331042,0.00
2021-04-22,21.90,14.80,17.70,55.00,36.00,0.00,2331042,0.00
2021-04-23,21.20,13.30,16.52,60.25,39.00,0.00,2331042,0.00
2021-04-24,21.30,10.80,14.84,74.75,47.00,0.00,2331042,0.00
2021-04-25,23.50,12.70,16.95,59.17,36.00,0.00,2331042,0.00
2021-04-26,16.10,10.80,13.02,81.75,69.00,0.00,2331042,0.00
2021-04-27,16.60,9.80,12.12,87.58,62.00,1.00,2331042,0.00
2021-04-28,13.10,9.90,11.23,89.04,73.00,0.00,2331042,1.00
2021-04-29,19.00,8.30,12.61,78.75,40.00,14.00,2331042,1.00
2021-04-30,13.00,8.20,10.47,86.08,63.00,0.50,2331042,15.00
2021-05-01,14.10,6.90,9.79,83.38,59.00,4.00,2331042,14.50
2021-05-02,14.90,8.50,11.83,82.08,63.00,0.00,2331042,18.50
2021-05-03,14.90,10.30,12.26,74.42,54.00,3.00,2331042,4.50
2021-05-04,13.50,9.50,12.11,97.83,79.00,62.50,2331042,7.00
2021-05-05,14.80,11.20,12.81,71.71,52.00,0.00,2331042,65.50
2021-05-06,16.60,13.50,14.85,61.33,49.00,0.00,2331042,65.50
2021-05-07,15.20,10.80,12.65,77.71,59.00,0.00,2331042,62.50
2021-05-08,15.50,11.30,13.52,72.75,54.00,0.00,2331042,0.00
2021-05-09,19.70,11.80,14.41,64.88,39.00,0.50,2331042,0.00
2021-05-10,17.20,10.30,12.26,89.04,67.00,0.00,2331042,0.50
2021-05-11,24.20,16.50,19.90,44.58,34.00,0.00,2331042,0.50
2021-05-12,25.40,14.50,19.14,64.96,34.00,0.00,2331042,0.50
2021-05-13,24.10,14.50,18.83,81.17,55.00,0.00,2331042,0.00
2021-05-14,25.20,15.70,19.19,82.12,66.00,0.00,2331042,0.00
