date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.50,-9.30,-3.87,53.88,37.00,0.00,2331038,0.00
2021-01-02,-1.30,-10.20,-6.04,47.79,32.00,0.00,2331038,0.00
2021-01-03,-2.20,-9.40,-6.79,48.04,28.00,0.00,2331038,0.00
2021-01-04,-0.90,-7.90,-3.23,55.38,36.00,0.00,2331038,0.00
2021-01-05,-3.40,-13.50,-8.70,52.96,30.00,0.00,2331038,0.00
2021-01-06,-3.30,-16.40,-9.13,56.50,18.00,0.50,2331038,0.00
2021-01-07,-12.40,-17.50,-15.15,48.21,40.00,0.00,2331038,0.50
2021-01-08,-11.20,-16.20,-13.98,47.38,37.00,0.00,2331038,0.50
2021-01-09,-8.00,-14.70,-11.58,56.75,34.00,0.00,2331038,0.50
2021-01-10,-4.30,-11.90,-8.01,64.12,39.00,0.00,2331038,0.00
2021-01-11,-4.10,-10.50,-6.75,67.79,47.00,0.00,2331038,0.00
2021-01-12,1.40,-5.20,-1.95,76.17,52.00,0.00,2331038,0.00
2021-01-13,7.60,-7.00,0.36,63.71,47.00,0.00,2331038,0.00
2021-01-14,9.30,-1.60,3.38,49.25,33.00,0.00,2331038,0.00
2021-01-15,9.40,-7.90,-0.45,76.00,62.00,0.00,2331038,0.00
2021-01-16,-2.20,-12.80,-7.74,55.17,40.00,0.00,2331038,0.00
2021-01-17,-0.10,-7.00,-3.94,67.79,25.00,0.00,2331038,0.00
2021-01-18,0.90,-13.30,-6.75,46.83,25.00,0.00,2331038,0.00
2021-01-19,-4.00,-9.40,-7.39,45.54,21.00,0.00,2331038,0.00
2021-01-20,3.30,-4.60,0.45,49.21,30.00,0.00,2331038,0.00
2021-01-21,3.70,1.20,2.40,87.17,54.00,5.00,2331038,0.00
2021-01-22,6.50,0.20,2.93,90.00,69.00,0.00,2331038,5.00
2021-01-23,8.10,1.60,5.03,65.12,56.00,0.00,2331038,5.00
2021-01-24,11.40,0.50,4.31,73.50,42.00,0.00,2331038,5.00
2021-01-25,10.70,2.00,4.77,75.58,53.00,0.00,2331038,0.00
2021-01-26,6.70,-1.50,2.11,65.83,28.00,0.00,2331038,0.00
2021-01-27,5.30,-2.90,0.69,51.17,15.00,1.00,2331038,0.00
2021-01-28,0.80,-11.20,-6.52,45.50,34.00,0.50,2331038,1.00
2021-01-29,-3.60,-9.90,-6.33,48.00,26.00,0.00,2331038,1.50
2021-01-30,4.10,-5.20,-1.94,63.75,47.00,0.00,2331038,1.50
2021-01-31,9.70,0.30,7.07,66.58,36.00,0.00,2331038,0.50
2021-02-01,6.10,-8.40,-1.20,59.88,30.00,0.00,2331038,0.00
2021-02-02,-3.00,-10.90,-7.05,56.83,26.00,0.00,2331038,0.00
2021-02-03,1.20,-7.60,-2.24,67.33,40.00,6.00,2331038,0.00
2021-02-04,-1.40,-5.90,-3.95,66.38,31.00,0.00,2331038,6.00
2021-02-05,6.30,2.30,4.87,81.79,72.00,0.00,2331038,6.00
2021-02-06,7.00,0.50,4.35,91.00,83.00,0.00,2331038,6.00
2021-02-07,5.80,-5.30,-0.54,49.17,23.00,0.00,2331038,0.00
2021-02-08,0.10,-6.90,-3.48,47.00,25.00,0.00,2331038,0.00
2021-02-09,2.70,-1.70,0.80,67.42,32.00,0.00,2331038,0.00
2021-02-10,6.70,1.90,3.96,83.83,70.00,0.00,2331038,0.00
2021-02-11,7.40,-2.30,1.68,82.75,58.00,0.00,2331038,0.00
2021-02-12,10.80,-4.00,2.12,76.58,45.00,0.00,2331038,0.00
2021-02-13,10.20,0.70,4.57,71.96,44.00,0.00,2331038,0.00
2021-02-14,10.70,-0.40,5.40,70.21,39.00,0.50,2331038,0.00
2021-02-15,1.40,-8.00,-3.37,52.33,27.00,0.00,2331038,0.50
2021-02-16,-1.10,-9.90,-6.11,45.50,28.00,0.00,2331038,0.50
2021-02-17,-5.20,-9.30,-7.61,40.25,28.00,0.00,2331038,0.50
2021-02-18,-0.10,-8.50,-4.54,49.08,29.00,0.00,2331038,0.00
2021-02-19,7.10,0.30,4.79,78.83,56.00,0.00,2331038,0.00
2021-02-20,10.50,0.90,5.58,73.79,32.00,0.00,2331038,0.00
2021-02-21,13.20,5.00,8.97,73.25,58.00,0.00,2331038,0.00
2021-02-22,11.70,-3.40,2.70,40.67,23.00,0.00,2331038,0.00
2021-02-23,3.10,-3.60,-0.82,38.04,19.00,0.00,2331038,0.00
2021-02-24,6.20,-2.70,0.74,47.67,14.00,0.00,2331038,0.00
2021-02-25,5.60,-1.90,1.57,42.25,22.00,0.00,2331038,0.00
2021-02-26,13.10,1.80,6.18,44.62,18.00,0.00,2331038,0.00
2021-02-27,15.20,-0.50,6.77,53.46,28.00,0.00,2331038,0.00
2021-02-28,8.70,4.10,6.11,65.83,42.00,24.50,2331038,0.00
2021-03-01,5.60,0.40,2.00,84.54,69.00,23.50,2331038,24.50
2021-03-02,6.20,-2.60,1.79,75.29,50.00,0.00,2331038,48.00
2021-03-03,6.70,-1.40,2.62,70.79,44.00,0.00,2331038,48.00
2021-03-04,11.50,0.60,5.28,76.50,50.00,0.00,2331038,23.50
2021-03-05,12.20,1.70,7.04,76.96,49.00,0.00,2331038,0.00
2021-03-06,8.40,0.60,4.03,65.79,55.00,0.00,2331038,0.00
2021-03-07,9.70,-0.40,3.85,73.33,46.00,0.00,2331038,0.00
2021-03-08,10.10,-0.90,3.63,63.79,19.00,0.00,2331038,0.00
2021-03-09,9.40,-0.30,4.20,73.38,33.00,0.00,2331038,0.00
2021-03-10,12.40,0.10,5.53,71.17,45.00,0.00,2331038,0.00
2021-03-11,12.80,6.60,8.60,61.71,34.00,0.00,2331038,0.00
2021-03-12,14.40,3.20,8.78,63.17,44.00,0.00,2331038,0.00
2021-03-13,12.80,2.10,6.62,78.29,46.00,0.00,2331038,0.00
2021-03-14,9.60,2.20,5.42,83.75,69.00,0.00,2331038,0.00
2021-03-15,12.80,4.50,8.82,65.33,38.00,0.00,2331038,0.00
2021-03-16,12.60,-0.50,5.29,45.17,22.00,0.00,2331038,0.00
2021-03-17,12.50,2.50,6.39,56.46,24.00,0.00,2331038,0.00
2021-03-18,14.20,6.80,9.96,59.29,38.00,0.00,2331038,0.00
2021-03-19,16.90,8.80,11.60,60.00,39.00,0.50,2331038,0.00
2021-03-20,8.80,4.10,6.39,85.12,80.00,3.50,2331038,0.50
2021-03-21,9.00,-0.10,4.77,58.04,41.00,0.00,2331038,4.00
2021-03-22,10.70,2.10,6.50,66.42,34.00,0.00,2331038,4.00
2021-03-23,11.40,7.30,9.27,67.67,61.00,0.00,2331038,3.50
2021-03-24,12.90,7.40,9.77,73.57,53.00,0.00,2331038,0.00
2021-03-25,11.10,3.30,6.23,88.96,73.00,0.00,2331038,0.00
2021-03-26,16.60,6.60,9.92,66.75,42.00,0.00,2331038,0.00
2021-03-27,12.00,7.60,9.98,89.58,53.00,35.50,2331038,0.00
2021-03-28,12.10,7.30,8.84,88.04,76.00,0.50,2331038,35.50
2021-03-29,12.90,1.10,7.26,64.88,47.00,0.00,2331038,36.00
2021-03-30,15.20,2.80,9.01,58.04,33.00,0.00,2331038,36.00
2021-03-31,19.80,8.00,13.28,44.33,20.00,0.00,2331038,0.50
2021-04-01,22.80,12.00,16.74,40.08,18.00,0.00,2331038,0.00
2021-04-02,20.30,11.80,16.21,55.08,29.00,1.00,2331038,0.00
2021-04-03,12.90,9.90,11.16,87.33,60.00,46.50,2331038,1.00
2021-04-04,15.50,3.80,10.15,68.79,47.00,0.00,2331038,47.50
2021-04-05,15.40,6.30,10.62,61.00,31.00,0.00,2331038,47.50
2021-04-06,18.60,5.30,11.57,63.88,36.00,0.00,2331038,46.50
2021-04-07,15.80,4.50,11.26,55.62,39.00,0.00,2331038,0.00
2021-04-08,17.40,4.60,11.10,45.42,23.00,0.00,2331038,0.00
2021-04-09,16.90,5.60,11.61,52.25,19.00,0.00,2331038,0.00
2021-04-10,15.10,5.60,10.17,75.33,40.00,0.00,2331038,0.00
2021-04-11,18.50,10.80,13.89,51.58,22.00,0.00,2331038,0.00
2021-04-12,17.60,10.30,12.20,84.88,42.00,31.50,2331038,0.00
2021-04-13,12.10,2.90,7.68,61.92,42.00,0.00,2331038,31.50
2021-04-14,11.80,6.80,9.10,74.04,42.00,0.00,2331038,31.50
2021-04-15,12.90,5.80,10.40,69.71,46.00,0.00,2331038,31.50
2021-04-16,15.80,6.00,10.55,69.08,43.00,0.00,2331038,0.00
2021-04-17,14.50,4.50,9.39,59.92,29.00,0.50,2331038,0.00
2021-04-18,16.80,6.00,11.04,67.04,30.00,0.00,2331038,0.50
2021-04-19,14.00,6.90,11.32,79.38,62.00,0.00,2331038,0.50
2021-04-20,16.40,7.90,11.96,75.17,48.00,0.00,2331038,0.50
2021-04-21,24.40,13.90,17.71,48.83,36.00,0.00,2331038,0.00
2021-04-22,23.70,14.00,18.41,53.08,31.00,0.00,2331038,0.00
2021-04-23,20.80,13.20,16.83,57.67,38.00,0.00,2331038,0.00
2021-04-24,21.30,9.80,15.28,67.42,40.00,0.00,2331038,0.00
