date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.40,-4.90,-1.72,64.08,45.00,0.00,2332037,0.00
2021-01-02,-1.30,-4.80,-2.69,47.96,40.00,0.00,2332037,0.00
2021-01-03,-1.30,-3.90,-2.58,53.46,43.00,0.00,2332037,0.00
2021-01-04,0.30,-4.20,-1.44,66.92,48.00,0.00,2332037,0.00
2021-01-05,-2.70,-7.90,-5.45,56.04,40.00,0.00,2332037,0.00
2021-01-06,-0.60,-12.30,-6.38,62.67,41.00,0.00,2332037,0.00
2021-01-07,-10.80,-15.00,-12.67,57.00,50.00,0.00,2332037,0.00
2021-01-08,-10.30,-13.80,-11.89,54.50,47.00,0.00,2332037,0.00
2021-01-09,-6.90,-10.30,-8.38,59.92,44.00,0.00,2332037,0.00
2021-01-10,-3.90,-6.30,-5.00,59.92,51.00,0.00,2332037,0.00
2021-01-11,-2.40,-5.20,-3.57,70.46,49.00,0.00,2332037,0.00
2021-01-12,2.60,-2.20,0.92,87.33,68.00,1.00,2332037,0.00
2021-01-13,6.70,-1.10,2.74,72.04,53.00,0.00,2332037,1.00
2021-01-14,5.80,0.70,3.94,57.33,36.00,0.00,2332037,1.00
2021-01-15,8.70,-4.60,1.41,81.46,68.00,0.00,2332037,1.00
2021-01-16,-2.60,-6.10,-4.58,57.42,46.00,0.00,2332037,0.00
2021-01-17,3.30,-4.20,-0.52,63.71,38.00,0.00,2332037,0.00
2021-01-18,3.60,-9.10,-4.25,51.04,38.00,0.00,2332037,0.00
2021-01-19,-2.50,-6.30,-3.58,48.25,31.00,0.00,2332037,0.00
2021-01-20,4.60,-0.90,3.10,57.67,44.00,0.00,2332037,0.00
2021-01-21,5.70,3.70,4.87,92.29,55.00,10.00,2332037,0.00
2021-01-22,6.50,4.00,5.27,92.21,81.00,0.00,2332037,10.00
2021-01-23,10.30,3.90,7.05,68.92,59.00,0.00,2332037,10.00
2021-01-24,9.40,5.10,6.70,70.25,59.00,0.00,2332037,10.00
2021-01-25,10.70,3.60,6.14,79.71,53.00,0.00,2332037,0.00
2021-01-26,5.00,1.60,3.29,73.62,27.00,0.50,2332037,0.00
2021-01-27,3.90,1.00,2.33,51.58,23.00,0.50,2332037,0.50
2021-01-28,2.40,-8.50,-4.55,53.38,47.00,1.50,2332037,1.00
2021-01-29,0.70,-7.50,-4.32,63.38,45.00,0.00,2332037,2.50
2021-01-30,5.80,-0.20,1.87,77.79,66.00,0.00,2332037,2.00
2021-01-31,7.20,2.20,5.45,80.58,56.00,1.50,2332037,1.50
2021-02-01,6.30,-5.50,0.67,69.21,40.00,0.00,2332037,1.50
2021-02-02,-3.00,-6.80,-4.65,62.92,38.00,0.00,2332037,1.50
2021-02-03,3.00,-4.40,-0.57,67.92,39.00,4.50,2332037,1.50
2021-02-04,1.30,-3.20,-0.60,63.92,35.00,0.00,2332037,4.50
2021-02-05,5.50,2.00,4.03,84.38,75.00,0.00,2332037,4.50
2021-02-06,6.70,1.30,4.76,97.12,92.00,0.00,2332037,4.50
2021-02-07,4.90,-3.20,0.32,58.00,41.00,0.00,2332037,0.00
2021-02-08,-0.10,-2.40,-1.49,47.08,35.00,0.00,2332037,0.00
2021-02-09,3.80,0.90,2.08,70.96,42.00,0.00,2332037,0.00
2021-02-10,5.70,1.60,3.69,93.79,80.00,0.00,2332037,0.00
2021-02-11,7.30,1.50,4.03,87.21,70.00,0.00,2332037,0.00
2021-02-12,8.70,-0.90,2.95,88.54,62.00,0.00,2332037,0.00
2021-02-13,8.10,0.10,3.87,86.67,65.00,0.00,2332037,0.00
2021-02-14,8.90,1.50,5.49,81.96,56.00,0.50,2332037,0.00
2021-02-15,1.40,-4.20,-1.63,59.67,47.00,0.00,2332037,0.50
2021-02-16,-1.70,-7.90,-4.88,58.54,43.00,1.50,2332037,0.50
2021-02-17,-5.00,-7.80,-6.64,52.33,45.00,0.00,2332037,2.00
2021-02-18,-0.70,-4.30,-2.33,58.88,42.00,0.00,2332037,1.50
2021-02-19,6.90,0.70,5.18,85.50,72.00,0.00,2332037,1.50
2021-02-20,8.80,2.80,5.91,90.04,78.00,0.00,2332037,0.00
2021-02-21,11.00,5.10,8.21,81.67,66.00,0.00,2332037,0.00
2021-02-22,7.90,-1.30,2.85,55.08,37.00,0.00,2332037,0.00
2021-02-23,1.60,-1.20,0.00,42.50,36.00,0.00,2332037,0.00
