date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.30,-6.50,-2.78,60.71,40.00,0.00,2301063,0.00
2021-01-02,-2.30,-7.50,-4.22,48.88,43.00,0.00,2301063,0.00
2021-01-03,-2.30,-6.70,-4.21,48.04,36.00,0.00,2301063,0.00
2021-01-04,-0.10,-4.80,-2.02,61.38,38.00,0.00,2301063,0.00
2021-01-05,-4.10,-11.10,-7.00,55.29,37.00,0.00,2301063,0.00
2021-01-06,-2.10,-13.50,-7.76,59.88,36.00,1.00,2301063,0.00
2021-01-07,-12.00,-15.90,-13.65,52.54,46.00,0.00,2301063,1.00
2021-01-08,-11.20,-15.00,-12.65,49.96,40.00,0.00,2301063,1.00
2021-01-09,-7.40,-11.70,-9.81,57.04,38.00,0.00,2301063,1.00
2021-01-10,-4.60,-8.90,-6.15,59.42,43.00,0.00,2301063,0.00
2021-01-11,-3.10,-6.40,-4.58,70.88,52.00,0.00,2301063,0.00
2021-01-12,1.40,-2.70,-0.29,86.79,71.00,1.00,2301063,0.00
2021-01-13,7.80,-2.70,2.29,65.83,41.00,0.00,2301063,1.00
2021-01-14,5.70,0.00,4.01,46.08,30.00,0.00,2301063,1.00
2021-01-15,9.30,-5.40,0.80,78.04,63.00,0.00,2301063,1.00
2021-01-16,-3.30,-8.00,-5.81,56.17,43.00,0.00,2301063,0.00
2021-01-17,2.50,-5.50,-1.90,64.38,36.00,0.00,2301063,0.00
2021-01-18,1.60,-10.60,-5.30,48.67,26.00,0.00,2301063,0.00
2021-01-19,-1.80,-7.70,-5.00,47.96,34.00,0.00,2301063,0.00
2021-01-20,5.00,-1.30,3.07,39.12,27.00,0.00,2301063,0.00
2021-01-21,5.40,3.90,4.40,89.25,43.00,13.50,2301063,0.00
2021-01-22,6.00,3.50,4.94,88.08,73.00,0.00,2301063,13.50
2021-01-23,9.20,3.40,5.84,68.96,58.00,0.00,2301063,13.50
2021-01-24,9.80,3.90,6.32,66.92,49.00,0.00,2301063,13.50
2021-01-25,11.10,3.80,6.31,69.75,48.00,0.00,2301063,0.00
2021-01-26,5.70,0.50,2.91,68.54,32.00,0.00,2301063,0.00
2021-01-27,3.10,-0.80,1.34,50.12,21.00,0.00,2301063,0.00
2021-01-28,1.50,-9.60,-5.47,51.25,38.00,0.50,2301063,0.00
2021-01-29,0.00,-8.20,-5.48,60.12,34.00,0.00,2301063,0.50
2021-01-30,4.00,-2.60,0.33,72.17,56.00,0.00,2301063,0.50
