date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.30,-8.50,-3.46,60.29,42.00,0.00,2301064,0.00
2021-01-02,-0.60,-9.40,-5.06,50.75,38.00,0.00,2301064,0.00
2021-01-03,-0.90,-8.30,-5.17,50.71,32.00,0.00,2301064,0.00
2021-01-04,0.10,-6.70,-2.28,62.50,41.00,0.00,2301064,0.00
2021-01-05,-2.50,-12.40,-7.72,54.29,35.00,0.00,2301064,0.00
2021-01-06,-1.90,-15.30,-7.99,57.00,23.00,0.00,2301064,0.00
2021-01-07,-10.50,-17.30,-14.20,49.04,40.00,0.00,2301064,0.00
2021-01-08,-9.40,-16.10,-13.44,49.88,40.00,0.00,2301064,0.00
2021-01-09,-6.60,-13.40,-10.57,56.04,38.00,0.00,2301064,0.00
2021-01-10,-3.80,-9.70,-6.66,63.25,44.00,0.00,2301064,0.00
2021-01-11,-3.50,-8.60,-5.59,70.38,54.00,0.00,2301064,0.00
2021-01-12,0.00,-2.40,-1.36,91.46,72.00,0.50,2301064,0.00
2021-01-13,6.80,-4.50,1.08,75.46,60.00,0.00,2301064,0.50
2021-01-14,7.20,-0.80,3.48,54.67,32.00,0.00,2301064,0.50
2021-01-15,10.20,-6.90,0.33,85.42,67.00,0.00,2301064,0.50
2021-01-16,-1.80,-10.90,-6.54,59.46,49.00,0.00,2301064,0.00
2021-01-17,-1.20,-5.00,-2.83,73.79,28.00,0.00,2301064,0.00
2021-01-18,1.70,-12.10,-5.79,53.46,38.00,0.00,2301064,0.00
2021-01-19,-1.80,-9.20,-6.01,48.54,17.00,0.00,2301064,0.00
2021-01-20,6.30,-1.70,2.73,43.21,23.00,0.00,2301064,0.00
2021-01-21,7.00,2.60,3.59,87.46,48.00,7.50,2301064,0.00
2021-01-22,6.20,2.80,4.53,93.12,85.00,0.00,2301064,7.50
2021-01-23,11.90,1.00,5.70,75.33,56.00,0.00,2301064,7.50
2021-01-24,12.80,0.80,5.86,76.04,49.00,0.00,2301064,7.50
2021-01-25,13.30,3.60,6.50,78.54,49.00,0.00,2301064,0.00
2021-01-26,5.20,-0.80,1.98,78.21,33.00,0.00,2301064,0.00
2021-01-27,5.80,-1.20,1.36,54.67,24.00,0.00,2301064,0.00
2021-01-28,1.30,-10.60,-5.99,53.21,43.00,2.50,2301064,0.00
2021-01-29,-1.70,-9.00,-5.52,55.21,36.00,0.00,2301064,2.50
2021-01-30,5.50,-4.90,-0.45,76.96,54.00,0.00,2301064,2.50
2021-01-31,9.70,2.90,6.91,71.58,37.00,0.00,2301064,2.50
2021-02-01,7.60,-7.50,-0.02,67.58,39.00,0.00,2301064,0.00
2021-02-02,-1.90,-9.60,-5.82,58.54,33.00,0.00,2301064,0.00
2021-02-03,1.30,-7.80,-1.97,71.92,45.00,2.50,2301064,0.00
2021-02-04,-0.20,-4.60,-2.09,62.96,36.00,0.00,2301064,2.50
2021-02-05,5.60,-0.10,3.39,83.54,75.00,0.00,2301064,2.50
2021-02-06,7.50,0.80,4.80,93.71,90.00,0.00,2301064,2.50
2021-02-07,6.90,-5.30,-0.28,58.67,33.00,0.00,2301064,0.00
2021-02-08,1.20,-6.30,-3.01,50.17,31.00,0.00,2301064,0.00
2021-02-09,3.30,-1.00,0.68,71.58,36.00,0.00,2301064,0.00
2021-02-10,7.10,0.90,3.18,90.21,74.00,0.00,2301064,0.00
2021-02-11,9.70,-1.40,3.10,84.17,59.00,0.00,2301064,0.00
2021-02-12,11.60,-2.70,3.50,79.42,56.00,0.00,2301064,0.00
2021-02-13,12.00,0.50,5.54,73.25,43.00,0.00,2301064,0.00
2021-02-14,10.30,1.00,6.08,74.67,51.00,0.00,2301064,0.00
2021-02-15,2.50,-7.10,-2.72,59.08,40.00,0.00,2301064,0.00
2021-02-16,-0.70,-9.60,-5.92,56.21,40.00,0.00,2301064,0.00
2021-02-17,-4.40,-9.70,-7.45,48.54,37.00,0.00,2301064,0.00
2021-02-18,0.00,-7.20,-3.60,54.46,33.00,0.00,2301064,0.00
2021-02-19,7.60,1.10,4.69,83.88,61.00,0.00,2301064,0.00
2021-02-20,11.40,4.60,7.06,80.79,38.00,0.00,2301064,0.00
2021-02-21,14.00,4.20,8.66,82.67,64.00,0.00,2301064,0.00
2021-02-22,12.30,-4.00,3.30,49.29,37.00,0.00,2301064,0.00
2021-02-23,4.00,-3.50,-0.48,41.67,28.00,0.00,2301064,0.00
2021-02-24,7.30,-1.60,1.40,53.12,19.00,0.00,2301064,0.00
2021-02-25,7.10,0.00,3.12,40.92,30.00,0.00,2301064,0.00
2021-02-26,15.70,-0.50,6.91,49.00,15.00,0.00,2301064,0.00
2021-02-27,16.20,2.80,9.06,48.42,31.00,0.00,2301064,0.00
2021-02-28,9.30,4.10,6.52,67.54,47.00,17.50,2301064,0.00
2021-03-01,5.90,-0.30,1.65,91.50,80.00,27.00,2301064,17.50
2021-03-02,6.60,-0.90,2.11,80.92,53.00,0.00,2301064,44.50
2021-03-03,7.70,1.10,3.93,75.96,44.00,0.00,2301064,44.50
2021-03-04,12.20,2.30,6.55,77.08,55.00,0.00,2301064,27.00
2021-03-05,13.90,4.10,7.64,80.58,52.00,0.00,2301064,0.00
2021-03-06,11.50,0.20,4.59,74.58,56.00,0.00,2301064,0.00
2021-03-07,10.00,0.00,4.45,79.75,56.00,0.00,2301064,0.00
2021-03-08,10.60,-0.60,4.59,74.50,52.00,0.00,2301064,0.00
2021-03-09,10.60,0.40,4.61,80.54,34.00,0.00,2301064,0.00
2021-03-10,14.40,1.70,6.77,73.96,47.00,0.00,2301064,0.00
2021-03-11,14.20,6.80,8.99,61.58,35.00,0.00,2301064,0.00
2021-03-12,14.00,4.10,8.57,72.00,48.00,0.00,2301064,0.00
2021-03-13,13.60,3.00,6.91,78.92,48.00,0.00,2301064,0.00
2021-03-14,9.70,2.10,5.11,92.58,84.00,0.00,2301064,0.00
2021-03-15,13.70,4.80,9.30,73.12,49.00,0.50,2301064,0.00
2021-03-16,11.90,1.10,5.86,51.88,35.00,0.00,2301064,0.50
2021-03-17,13.50,2.40,6.81,63.38,38.00,0.00,2301064,0.50
2021-03-18,15.00,7.10,9.95,66.67,47.00,0.00,2301064,0.50
2021-03-19,17.60,8.60,12.25,60.79,44.00,0.00,2301064,0.00
2021-03-20,8.50,3.00,6.15,93.00,86.00,3.50,2301064,0.00
