date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.40,-5.90,-1.95,62.96,43.00,0.00,2332036,0.00
2021-01-02,-0.90,-4.00,-2.55,46.04,37.00,0.00,2332036,0.00
2021-01-03,-1.30,-5.00,-3.01,53.17,41.00,0.00,2332036,0.00
2021-01-04,0.10,-4.10,-1.51,63.46,41.00,0.00,2332036,0.00
2021-01-05,-2.50,-9.40,-5.58,55.21,39.00,0.00,2332036,0.00
2021-01-06,-1.10,-12.20,-6.55,61.75,29.00,0.00,2332036,0.00
2021-01-07,-10.60,-14.30,-12.28,59.17,52.00,0.00,2332036,0.00
2021-01-08,-10.30,-13.60,-11.36,55.17,45.00,0.00,2332036,0.00
2021-01-09,-6.80,-11.10,-8.76,58.75,45.00,0.00,2332036,0.00
2021-01-10,-3.70,-7.50,-5.18,56.38,46.00,0.00,2332036,0.00
2021-01-11,-1.50,-6.20,-3.90,69.75,48.00,0.00,2332036,0.00
2021-01-12,3.90,-0.70,1.36,77.29,54.00,0.50,2332036,0.00
2021-01-13,7.70,-3.40,2.73,69.00,54.00,0.00,2332036,0.50
2021-01-14,7.80,0.90,4.18,51.67,30.00,0.00,2332036,0.50
2021-01-15,9.20,-4.70,1.33,76.33,65.00,0.00,2332036,0.50
2021-01-16,-2.60,-6.00,-4.75,54.75,43.00,0.00,2332036,0.00
2021-01-17,3.10,-4.30,-0.82,60.08,33.00,0.00,2332036,0.00
2021-01-18,3.50,-10.00,-4.38,51.42,42.00,0.00,2332036,0.00
2021-01-19,-2.00,-6.60,-5.13,45.62,27.00,0.00,2332036,0.00
2021-01-20,5.00,-0.80,3.57,40.62,30.00,0.00,2332036,0.00
2021-01-21,5.90,4.30,5.02,87.25,45.00,2.00,2332036,0.00
2021-01-22,6.30,3.70,4.87,88.12,78.00,0.00,2332036,2.00
2021-01-23,9.40,3.70,6.35,67.83,57.00,0.00,2332036,2.00
2021-01-24,9.60,2.20,6.50,64.67,52.00,0.00,2332036,2.00
2021-01-25,11.20,3.10,6.20,71.21,48.00,0.00,2332036,0.00
2021-01-26,5.50,0.20,3.11,70.46,30.00,0.00,2332036,0.00
2021-01-27,3.60,-0.60,1.26,52.62,26.00,1.00,2332036,0.00
2021-01-28,2.10,-8.30,-4.61,50.71,41.00,0.00,2332036,1.00
2021-01-29,2.90,-7.70,-4.51,64.38,45.00,0.00,2332036,1.00
2021-01-30,5.80,-2.20,1.17,71.83,61.00,0.00,2332036,1.00
2021-01-31,8.00,2.00,6.16,75.50,44.00,0.00,2332036,0.00
2021-02-01,6.60,-5.70,0.44,64.92,41.00,0.00,2332036,0.00
2021-02-02,-2.80,-9.10,-5.27,61.42,39.00,0.00,2332036,0.00
2021-02-03,2.70,-4.50,-0.59,67.04,38.00,1.00,2332036,0.00
2021-02-04,2.70,-3.50,-0.25,63.75,28.00,0.00,2332036,1.00
2021-02-05,6.30,3.00,4.60,83.04,72.00,0.00,2332036,1.00
2021-02-06,7.10,0.60,4.72,92.62,88.00,0.00,2332036,1.00
2021-02-07,5.30,-3.50,0.25,55.79,38.00,0.00,2332036,0.00
2021-02-08,0.20,-3.80,-1.72,44.83,33.00,0.00,2332036,0.00
2021-02-09,3.20,-0.60,1.63,69.33,39.00,0.00,2332036,0.00
2021-02-10,6.40,-0.10,3.02,89.62,76.00,0.00,2332036,0.00
2021-02-11,7.00,-0.90,3.14,80.88,67.00,0.00,2332036,0.00
2021-02-12,9.20,-3.20,2.37,81.50,55.00,0.00,2332036,0.00
2021-02-13,8.30,1.60,4.17,77.50,59.00,0.00,2332036,0.00
2021-02-14,8.80,0.80,5.45,74.67,54.00,0.00,2332036,0.00
2021-02-15,1.00,-6.50,-2.18,56.58,42.00,0.00,2332036,0.00
2021-02-16,-2.00,-7.90,-5.04,56.42,39.00,0.00,2332036,0.00
2021-02-17,-4.60,-7.60,-6.51,50.75,44.00,0.00,2332036,0.00
2021-02-18,0.10,-5.90,-2.84,58.96,41.00,0.00,2332036,0.00
2021-02-19,6.90,1.40,5.20,82.21,68.00,0.00,2332036,0.00
2021-02-20,9.60,3.90,6.22,81.83,61.00,0.00,2332036,0.00
2021-02-21,11.80,4.00,8.25,76.88,62.00,0.00,2332036,0.00
2021-02-22,8.80,-1.60,2.85,52.17,37.00,0.00,2332036,0.00
2021-02-23,1.40,-2.40,-0.23,40.54,32.00,0.00,2332036,0.00
2021-02-24,4.60,-1.00,1.57,54.50,27.00,0.00,2332036,0.00
2021-02-25,5.40,2.40,3.58,45.96,29.00,0.00,2332036,0.00
2021-02-26,11.50,4.00,7.52,42.04,22.00,0.00,2332036,0.00
2021-02-27,12.50,3.90,7.96,49.00,39.00,0.00,2332036,0.00
2021-02-28,8.50,4.10,5.97,65.83,38.00,24.00,2332036,0.00
2021-03-01,5.50,0.50,2.25,86.46,67.00,33.50,2332036,24.00
2021-03-02,4.60,-1.20,1.32,77.42,58.00,0.00,2332036,57.50
2021-03-03,6.00,0.70,3.55,75.33,57.00,0.00,2332036,57.50
2021-03-04,11.80,2.60,6.31,70.54,48.00,0.00,2332036,33.50
2021-03-05,11.60,3.50,6.43,78.88,50.00,0.00,2332036,0.00
2021-03-06,9.00,2.70,5.44,67.50,58.00,0.00,2332036,0.00
2021-03-07,8.50,0.30,4.48,76.71,56.00,0.00,2332036,0.00
2021-03-08,7.80,0.00,3.11,78.33,51.00,0.00,2332036,0.00
2021-03-09,9.10,0.40,4.74,75.71,28.00,0.00,2332036,0.00
2021-03-10,11.90,0.80,4.78,72.79,47.00,0.00,2332036,0.00
2021-03-11,12.30,6.30,8.10,63.25,44.00,0.00,2332036,0.00
2021-03-12,11.70,4.70,7.73,67.12,51.00,0.00,2332036,0.00
2021-03-13,11.00,2.30,6.26,73.96,51.00,0.00,2332036,0.00
2021-03-14,6.10,1.10,3.21,92.83,88.00,0.00,2332036,0.00
2021-03-15,12.20,5.60,8.47,69.92,46.00,0.00,2332036,0.00
2021-03-16,8.80,0.40,5.01,52.75,31.00,0.00,2332036,0.00
2021-03-17,10.20,1.60,5.25,59.96,34.00,0.00,2332036,0.00
2021-03-18,13.60,6.20,8.66,52.92,32.00,0.00,2332036,0.00
2021-03-19,14.90,7.30,10.83,55.92,42.00,0.00,2332036,0.00
2021-03-20,8.40,5.00,5.88,84.04,78.00,2.00,2332036,0.00
2021-03-21,7.40,3.80,5.47,57.38,50.00,0.00,2332036,2.00
2021-03-22,9.30,2.30,6.26,75.62,52.00,0.00,2332036,2.00
2021-03-23,10.90,5.40,7.96,76.38,66.00,0.00,2332036,2.00
2021-03-24,12.60,5.70,9.12,77.35,58.00,0.00,2332036,0.00
2021-03-25,10.80,2.60,5.55,89.88,74.00,0.00,2332036,0.00
2021-03-26,13.40,6.30,9.03,66.08,40.00,0.00,2332036,0.00
2021-03-27,12.70,6.70,9.32,88.50,46.00,30.50,2332036,0.00
2021-03-28,9.20,5.70,7.57,91.12,84.00,0.50,2332036,30.50
2021-03-29,10.30,2.60,6.42,73.33,33.00,0.00,2332036,31.00
2021-03-30,12.90,3.70,8.68,52.79,22.00,0.00,2332036,31.00
2021-03-31,16.90,7.90,12.95,38.62,12.00,0.00,2332036,0.50
2021-04-01,21.60,13.90,16.74,24.58,17.00,0.00,2332036,0.00
2021-04-02,18.70,11.10,15.54,48.12,26.00,2.50,2332036,0.00
2021-04-03,14.50,8.60,10.45,90.75,72.00,48.00,2332036,2.50
2021-04-04,14.30,4.80,9.47,66.38,47.00,0.00,2332036,50.50
2021-04-05,13.90,5.90,9.92,52.25,18.00,0.00,2332036,50.50
2021-04-06,15.20,5.60,10.60,60.42,34.00,0.00,2332036,48.00
2021-04-07,14.60,7.30,11.20,52.71,24.00,0.00,2332036,0.00
2021-04-08,14.30,5.20,10.36,49.25,30.00,0.00,2332036,0.00
2021-04-09,15.20,8.10,11.28,51.88,35.00,0.00,2332036,0.00
2021-04-10,13.40,5.60,9.32,74.62,50.00,0.00,2332036,0.00
2021-04-11,17.30,10.10,13.41,42.29,20.00,0.00,2332036,0.00
2021-04-12,15.20,8.90,10.96,84.83,46.00,20.00,2332036,0.00
2021-04-13,9.90,5.70,7.58,57.62,45.00,0.00,2332036,20.00
2021-04-14,11.30,5.70,8.38,75.00,42.00,0.00,2332036,20.00
2021-04-15,12.10,6.10,9.50,73.08,57.00,0.50,2332036,20.00
2021-04-16,13.80,4.50,8.63,72.75,35.00,0.00,2332036,0.50
2021-04-17,12.60,7.50,9.34,62.33,53.00,0.00,2332036,0.50
2021-04-18,12.30,5.40,9.35,69.50,43.00,0.00,2332036,0.50
2021-04-19,14.70,6.30,10.29,78.12,59.00,0.00,2332036,0.00
2021-04-20,16.40,8.10,11.93,63.62,23.00,0.00,2332036,0.00
2021-04-21,23.30,12.60,16.60,41.46,27.00,0.00,2332036,0.00
2021-04-22,22.50,15.20,18.25,40.79,24.00,0.00,2332036,0.00
2021-04-23,22.90,15.10,18.20,35.29,18.00,0.00,2332036,0.00
2021-04-24,18.70,11.40,14.88,63.12,45.00,0.00,2332036,0.00
2021-04-25,20.30,11.40,15.59,57.67,41.00,0.00,2332036,0.00
2021-04-26,17.10,9.10,12.67,74.33,61.00,0.00,2332036,0.00
2021-04-27,15.30,9.10,12.12,79.67,55.00,1.50,2332036,0.00
2021-04-28,12.30,9.30,10.73,80.75,62.00,0.00,2332036,1.50
2021-04-29,17.40,8.80,11.90,76.88,38.00,21.50,2332036,1.50
2021-04-30,13.50,7.30,10.10,82.25,65.00,0.50,2332036,23.00
2021-05-01,13.10,7.90,10.06,76.58,65.00,4.50,2332036,22.00
2021-05-02,15.80,6.70,10.59,78.38,58.00,0.00,2332036,26.50
2021-05-03,14.60,9.10,12.02,71.00,55.00,2.00,2332036,5.00
2021-05-04,16.40,9.20,12.83,89.62,75.00,21.00,2332036,6.50
2021-05-05,15.70,8.60,12.11,69.12,57.00,0.00,2332036,23.00
2021-05-06,18.20,12.60,15.07,55.46,37.00,0.00,2332036,23.00
2021-05-07,15.10,9.00,12.15,70.00,51.00,0.00,2332036,21.00
2021-05-08,17.20,7.90,13.66,62.25,44.00,0.00,2332036,0.00
2021-05-09,18.30,9.20,13.18,62.54,29.00,16.00,2332036,0.00
2021-05-10,15.70,10.90,12.70,80.58,59.00,4.00,2332036,16.00
2021-05-11,21.80,16.40,18.34,42.58,29.00,0.00,2332036,20.00
2021-05-12,23.80,13.30,18.90,49.33,27.00,0.00,2332036,20.00
2021-05-13,25.30,13.40,18.33,71.38,42.00,0.00,2332036,4.00
2021-05-14,26.70,14.80,18.70,72.96,46.00,0.00,2332036,0.00
2021-05-15,21.00,14.80,18.07,93.12,75.00,17.50,2332036,0.00
2021-05-16,16.00,12.80,14.34,94.75,92.00,26.00,2332036,17.50
2021-05-17,16.70,11.70,13.80,89.36,78.00,1.00,2332036,43.50
2021-05-18,18.70,10.80,14.35,79.25,61.00,0.00,2332036,44.50
2021-05-19,21.30,14.10,17.45,62.17,48.00,0.00,2332036,27.00
2021-05-20,21.40,13.50,15.64,82.39,42.00,16.50,2332036,1.00
2021-05-21,17.40,11.00,14.27,83.38,64.00,2.00,2332036,16.50
2021-05-22,19.00,11.60,14.98,81.00,61.00,0.00,2332036,18.50
2021-05-23,21.50,13.40,16.79,74.58,52.00,0.00,2332036,18.50
2021-05-24,20.60,11.80,14.98,80.79,54.00,5.00,2332036,2.00
2021-05-25,18.00,10.90,14.57,80.75,61.00,0.00,2332036,5.00
2021-05-26,20.30,13.30,16.47,69.71,44.00,6.00,2332036,5.00
2021-05-27,17.50,11.80,14.28,86.83,74.00,27.00,2332036,11.00
2021-05-28,18.30,11.50,15.21,79.50,61.00,0.50,2332036,33.00
2021-05-29,18.10,12.50,15.41,74.08,58.00,0.00,2332036,33.50
2021-05-30,25.30,15.30,18.18,70.96,32.00,6.00,2332036,27.50
2021-05-31,21.10,14.80,17.93,72.45,62.00,4.00,2332036,6.50
2021-06-01,21.30,15.60,18.83,74.04,62.00,0.00,2332036,10.00
2021-06-02,27.60,16.70,20.86,69.62,41.00,0.00,2332036,10.00
2021-06-03,18.30,11.90,15.09,91.96,82.00,10.00,2332036,4.00
2021-06-04,20.00,15.30,17.63,77.75,68.00,0.00,2332036,10.00
2021-06-05,20.50,16.60,18.41,85.17,74.00,0.00,2332036,10.00
2021-06-06,22.40,16.70,19.25,81.29,69.00,0.00,2332036,10.00
2021-06-07,22.60,16.40,18.87,76.38,55.00,0.00,2332036,0.00
2021-06-08,23.60,16.80,19.57,85.71,73.00,0.00,2332036,0.00
2021-06-09,27.00,18.90,22.22,69.38,49.00,0.00,2332036,0.00
2021-06-10,24.40,16.50,20.11,84.42,66.00,10.00,2332036,0.00
2021-06-11,21.20,16.00,18.04,91.29,79.00,0.00,2332036,10.00
2021-06-12,24.50,15.30,19.50,84.96,65.00,0.00,2332036,10.00
2021-06-13,21.90,14.60,17.03,89.46,70.00,0.00,2332036,10.00
2021-06-14,22.30,17.00,18.93,84.83,69.00,0.00,2332036,0.00
2021-06-15,25.20,19.70,22.29,72.00,63.00,0.50,2332036,0.00
2021-06-16,28.80,20.10,23.70,59.83,45.00,0.00,2332036,0.50
2021-06-17,22.50,16.90,18.85,88.71,67.00,4.00,2332036,0.50
2021-06-18,19.20,16.50,17.97,95.58,93.00,0.50,2332036,4.50
2021-06-19,21.30,16.30,18.53,90.39,74.00,0.00,2332036,4.50
2021-06-20,23.50,16.10,19.04,88.92,72.00,0.00,2332036,4.50
2021-06-21,22.80,16.90,19.53,86.17,75.00,0.00,2332036,0.50
2021-06-22,24.30,17.10,20.58,77.25,51.00,0.00,2332036,0.00
2021-06-23,24.90,17.60,21.19,78.54,62.00,0.00,2332036,0.00
2021-06-24,25.10,16.20,19.91,84.79,60.00,0.00,2332036,0.00
2021-06-25,26.00,19.70,21.74,84.83,62.00,0.50,2332036,0.00
2021-06-26,24.40,18.70,21.56,86.08,71.00,0.00,2332036,0.50
2021-06-27,27.70,18.60,22.66,77.92,56.00,0.00,2332036,0.50
2021-06-28,28.00,20.00,23.11,75.08,55.00,0.00,2332036,0.50
2021-06-29,26.00,19.60,22.57,82.08,67.00,0.00,2332036,0.00
2021-06-30,27.00,19.60,22.86,81.08,58.00,0.00,2332036,0.00
2021-07-01,27.30,21.00,24.48,71.96,60.00,0.00,2332036,0.00
2021-07-02,30.50,23.60,26.44,60.17,47.00,0.00,2332036,0.00
2021-07-03,25.90,20.50,21.91,88.25,61.00,67.00,2332036,0.00
2021-07-04,22.00,17.90,19.95,95.54,89.00,0.00,2332036,67.00
2021-07-05,25.10,20.50,22.18,87.17,70.00,0.00,2332036,67.00
2021-07-06,25.70,21.20,23.27,87.62,70.00,0.00,2332036,67.00
2021-07-07,25.70,20.40,22.81,93.62,81.00,0.50,2332036,0.00
2021-07-08,25.40,20.80,22.21,91.71,74.00,0.50,2332036,0.50
2021-07-09,26.10,21.00,22.89,89.88,72.00,8.50,2332036,1.00
2021-07-10,25.50,21.80,23.12,93.50,83.00,0.00,2332036,9.50
2021-07-11,24.60,22.40,23.37,95.67,93.00,0.00,2332036,9.00
2021-07-12,29.70,24.30,26.17,87.74,70.00,0.00,2332036,8.50
2021-07-13,28.40,23.30,25.98,83.21,70.00,0.00,2332036,0.00
2021-07-14,30.40,23.80,26.35,84.04,66.00,0.00,2332036,0.00
2021-07-15,29.60,22.70,26.30,84.83,67.00,0.00,2332036,0.00
2021-07-16,31.20,22.10,25.80,80.96,61.00,22.00,2332036,0.00
2021-07-17,30.10,22.50,26.01,79.58,61.00,0.00,2332036,22.00
