date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id,aqua_3d
2021-01-01,0.50,-9.60,-4.13,56.00,30.00,0.00,2307056,0.00
2021-01-02,-1.10,-10.10,-5.95,49.92,32.00,0.00,2307056,0.00
2021-01-03,-1.50,-4.00,-2.36,33.88,28.00,0.00,2307056,0.00
2021-01-04,0.00,-6.80,-2.38,61.38,40.00,0.00,2307056,0.00
2021-01-05,-2.30,-13.10,-8.43,49.25,27.00,0.00,2307056,0.00
2021-01-06,-1.90,-16.10,-8.33,55.67,24.00,0.50,2307056,0.00
2021-01-07,-10.90,-18.80,-14.90,46.12,39.00,0.00,2307056,0.50
2021-01-08,-10.10,-17.50,-14.33,49.38,41.00,0.00,2307056,0.50
2021-01-09,-6.80,-14.00,-11.04,57.08,34.00,0.00,2307056,0.50
2021-01-10,-3.50,-11.60,-7.34,64.88,35.00,0.00,2307056,0.00
2021-01-11,-3.40,-8.40,-5.92,69.83,47.00,0.00,2307056,0.00
2021-01-12,1.30,-2.60,-0.44,92.79,66.00,0.50,2307056,0.00
2021-01-13,8.30,-4.90,1.01,81.25,56.00,0.00,2307056,0.50
2021-01-14,7.50,0.40,5.01,58.88,24.00,0.00,2307056,0.50
2021-01-15,9.90,-7.50,0.50,79.58,64.00,0.00,2307056,0.50
2021-01-16,-2.10,-12.00,-7.24,56.79,40.00,0.00,2307056,0.00
2021-01-17,-1.40,-6.40,-3.16,72.50,30.00,0.00,2307056,0.00
2021-01-18,1.10,-13.60,-6.47,53.21,30.00,0.00,2307056,0.00
2021-01-19,-0.90,-8.10,-5.58,51.08,20.00,0.00,2307056,0.00
2021-01-20,7.30,-0.80,4.05,48.67,21.00,0.00,2307056,0.00
2021-01-21,7.70,3.60,4.86,90.17,44.00,9.00,2307056,0.00
2021-01-22,6.50,2.00,4.65,94.12,80.00,0.00,2307056,9.00
2021-01-23,11.60,0.00,6.62,64.42,51.00,0.00,2307056,9.00
2021-01-24,12.60,3.20,6.71,77.75,46.00,0.00,2307056,9.00
2021-01-25,13.10,3.80,7.68,72.64,38.00,0.00,2307056,0.00
2021-01-26,6.70,-2.80,1.90,80.12,30.00,0.00,2307056,0.00
2021-01-27,6.10,-1.50,1.25,51.88,21.00,0.00,2307056,0.00
2021-01-28,1.30,-11.30,-6.17,48.29,33.00,2.50,2307056,0.00
2021-01-29,-2.50,-9.40,-5.83,52.75,31.00,0.00,2307056,2.50
2021-01-30,5.60,-3.30,-0.02,77.50,37.00,0.00,2307056,2.50
2021-01-31,9.90,3.10,7.77,71.38,32.00,0.00,2307056,2.50
2021-02-01,7.70,-8.40,0.03,62.96,32.00,0.00,2307056,0.00
2021-02-02,-2.50,-10.50,-6.18,55.04,31.00,0.00,2307056,0.00
2021-02-03,0.80,-9.00,-2.39,65.79,39.00,2.50,2307056,0.00
2021-02-04,0.60,-5.00,-2.08,60.12,30.00,0.00,2307056,2.50
2021-02-05,6.20,1.30,4.37,77.92,66.00,0.00,2307056,2.50
2021-02-06,8.20,1.90,5.91,89.96,81.00,0.00,2307056,2.50
2021-02-07,7.80,-5.80,-0.19,52.33,31.00,0.00,2307056,0.00
2021-02-08,1.10,-7.00,-3.50,48.62,30.00,0.00,2307056,0.00
2021-02-09,3.70,-1.20,1.02,64.50,35.00,0.00,2307056,0.00
2021-02-10,7.10,0.30,3.94,87.00,68.00,0.00,2307056,0.00
2021-02-11,10.50,-0.60,3.64,81.17,43.00,0.00,2307056,0.00
2021-02-12,12.70,-1.50,4.45,75.33,32.00,0.00,2307056,0.00
2021-02-13,12.20,4.10,6.66,68.04,34.00,0.00,2307056,0.00
2021-02-14,12.20,1.20,6.77,65.33,36.00,0.50,2307056,0.00
2021-02-15,2.70,-8.00,-3.25,58.25,42.00,0.00,2307056,0.50
2021-02-16,-0.90,-10.10,-6.12,52.46,35.00,0.50,2307056,0.50
2021-02-17,-4.30,-9.80,-7.69,46.21,34.00,0.00,2307056,1.00
2021-02-18,0.10,-8.10,-4.15,56.25,35.00,0.00,2307056,0.50
2021-02-19,8.00,0.50,5.78,80.29,56.00,0.00,2307056,0.50
2021-02-20,12.90,4.20,8.33,67.08,19.00,0.00,2307056,0.00
2021-02-21,15.70,6.30,10.84,73.96,48.00,0.00,2307056,0.00
