date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.40,-7.40,-2.87,54.17,37.00,0.00,2307063
2021-01-02,-1.50,-9.80,-5.14,48.04,27.00,0.00,2307063
2021-01-03,-1.90,-9.20,-5.61,49.71,28.00,0.00,2307063
2021-01-04,0.00,-5.50,-2.04,61.29,42.00,0.00,2307063
2021-01-05,-3.20,-12.10,-7.43,49.25,29.00,0.00,2307063
2021-01-06,-2.90,-15.60,-8.40,54.50,24.00,0.00,2307063
2021-01-07,-12.20,-17.70,-14.67,47.46,36.00,0.00,2307063
2021-01-08,-10.10,-15.80,-13.51,50.08,38.00,0.00,2307063
2021-01-09,-7.50,-14.30,-11.01,55.25,36.00,0.00,2307063
2021-01-10,-3.40,-11.20,-6.49,59.25,34.00,0.00,2307063
2021-01-11,-3.60,-9.80,-6.32,67.83,49.00,0.00,2307063
2021-01-12,1.40,-3.90,-1.14,93.29,67.00,0.50,2307063
2021-01-13,8.40,-5.10,2.14,73.67,49.00,0.00,2307063
2021-01-14,6.70,-0.10,3.87,55.67,27.00,0.00,2307063
2021-01-15,10.30,-6.30,1.51,79.42,68.00,0.00,2307063
2021-01-16,-2.10,-10.60,-6.32,55.42,44.00,0.00,2307063
2021-01-17,-1.50,-7.00,-2.92,73.25,33.00,0.00,2307063
2021-01-18,1.10,-11.40,-5.82,49.88,29.00,0.00,2307063
2021-01-19,-2.10,-8.50,-5.73,46.46,18.00,0.00,2307063
2021-01-20,7.00,-3.90,3.07,46.04,23.00,0.00,2307063
2021-01-21,7.30,3.10,4.48,89.58,45.00,7.50,2307063
2021-01-22,6.40,2.00,4.50,90.12,78.00,0.00,2307063
2021-01-23,12.10,0.00,6.40,71.96,57.00,0.00,2307063
2021-01-24,12.20,0.20,5.20,77.67,46.00,0.00,2307063
2021-01-25,13.60,3.90,7.45,76.25,50.00,0.00,2307063
2021-01-26,7.30,-2.50,3.08,73.42,35.00,0.00,2307063
2021-01-27,5.70,-0.90,1.80,48.50,20.00,0.00,2307063
2021-01-28,1.40,-10.50,-5.85,49.04,37.00,2.00,2307063
2021-01-29,-3.70,-8.80,-5.86,47.04,30.00,0.00,2307063
2021-01-30,4.30,-4.50,-0.55,76.42,46.00,0.00,2307063
2021-01-31,9.10,2.20,6.91,70.96,39.00,0.00,2307063
2021-02-01,8.50,-7.30,0.98,63.38,37.00,0.00,2307063
2021-02-02,-2.60,-8.50,-5.63,53.29,31.00,0.00,2307063
2021-02-03,0.70,-6.90,-1.82,69.12,42.00,2.00,2307063
2021-02-04,0.30,-5.00,-2.21,60.00,33.00,0.00,2307063
2021-02-05,7.00,1.20,4.33,79.88,71.00,0.00,2307063
2021-02-06,9.20,2.50,6.60,90.92,76.00,0.00,2307063
2021-02-07,6.80,-4.50,0.62,49.08,23.00,0.00,2307063
2021-02-08,-0.10,-6.20,-2.99,46.92,29.00,0.00,2307063
2021-02-09,3.90,-1.40,1.19,65.12,31.00,0.00,2307063
2021-02-10,7.30,0.80,4.21,88.96,72.00,0.00,2307063
2021-02-11,10.00,-1.40,3.77,80.38,55.00,0.00,2307063
2021-02-12,12.10,-1.30,4.58,73.46,34.00,0.00,2307063
2021-02-13,12.80,3.10,7.21,63.75,31.00,0.00,2307063
2021-02-14,13.10,2.00,7.99,70.71,38.00,0.50,2307063
2021-02-15,2.60,-5.90,-2.29,56.83,31.00,0.00,2307063
2021-02-16,-1.60,-9.50,-5.85,50.46,29.00,0.50,2307063
2021-02-17,-5.30,-9.30,-7.65,43.46,30.00,0.00,2307063
2021-02-18,-0.80,-6.50,-3.60,51.38,33.00,0.00,2307063
2021-02-19,8.40,-0.20,5.60,79.46,56.00,0.00,2307063
2021-02-20,13.60,3.00,7.70,65.21,25.00,0.00,2307063
