date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.70,-9.30,-3.38,56.00,30.00,0.00,2309073
2021-01-02,-1.80,-10.60,-5.70,49.92,32.00,0.00,2309073
2021-01-03,-0.70,-8.20,-4.85,37.00,28.00,0.00,2309073
2021-01-04,0.20,-5.60,-2.06,57.96,33.00,0.00,2309073
2021-01-05,-3.20,-13.10,-7.79,49.25,27.00,0.00,2309073
2021-01-06,-2.30,-16.00,-8.40,55.67,24.00,0.00,2309073
2021-01-07,-11.90,-17.30,-14.65,46.12,39.00,0.00,2309073
2021-01-08,-10.90,-18.60,-13.90,49.38,41.00,0.00,2309073
2021-01-09,-7.90,-15.30,-11.36,57.08,34.00,0.00,2309073
2021-01-10,-3.20,-11.90,-7.64,64.88,35.00,0.00,2309073
2021-01-11,-3.30,-10.80,-6.77,69.83,47.00,0.00,2309073
2021-01-12,-0.30,-5.10,-2.22,92.79,66.00,0.50,2309073
2021-01-13,7.60,-6.20,0.52,81.25,56.00,0.00,2309073
2021-01-14,6.50,-2.40,1.91,58.88,24.00,0.00,2309073
2021-01-15,9.80,-6.10,1.25,79.58,64.00,0.00,2309073
2021-01-16,-2.70,-12.20,-6.65,56.79,40.00,0.00,2309073
2021-01-17,-1.60,-5.70,-3.51,72.50,30.00,0.00,2309073
2021-01-18,0.70,-12.90,-6.02,53.21,30.00,0.50,2309073
2021-01-19,-1.00,-9.70,-6.44,51.08,20.00,0.00,2309073
2021-01-20,6.80,-2.40,1.59,48.67,21.00,0.00,2309073
2021-01-21,7.60,2.50,4.27,90.17,44.00,15.00,2309073
2021-01-22,6.10,2.10,4.46,94.12,80.00,0.00,2309073
2021-01-23,11.50,-0.60,6.85,64.42,51.00,0.00,2309073
2021-01-24,11.90,-0.20,4.70,77.75,46.00,0.00,2309073
2021-01-25,13.50,3.00,6.64,71.88,38.00,0.00,2309073
2021-01-26,6.60,-3.20,2.44,80.12,30.00,0.50,2309073
2021-01-27,5.50,-2.00,0.80,51.88,21.00,0.00,2309073
2021-01-28,1.10,-10.40,-5.96,48.29,33.00,1.50,2309073
2021-01-29,-1.80,-8.90,-6.16,52.75,31.00,0.00,2309073
2021-01-30,5.30,-5.50,-1.26,77.50,37.00,0.00,2309073
2021-01-31,9.70,2.70,6.29,71.38,32.00,1.00,2309073
2021-02-01,7.90,-7.20,0.66,62.96,32.00,0.00,2309073
2021-02-02,-3.30,-10.20,-6.03,55.04,31.00,0.00,2309073
2021-02-03,0.70,-7.30,-2.08,65.79,39.00,1.00,2309073
2021-02-04,0.10,-6.20,-3.57,60.12,30.00,0.00,2309073
2021-02-05,6.90,0.60,3.41,77.92,66.00,0.00,2309073
2021-02-06,8.50,1.50,6.01,89.96,81.00,0.00,2309073
2021-02-07,6.70,-4.70,0.54,52.33,31.00,0.00,2309073
2021-02-08,0.30,-6.90,-3.39,48.62,30.00,0.00,2309073
2021-02-09,3.50,-2.70,-0.30,64.50,35.00,0.00,2309073
2021-02-10,7.00,-0.10,3.08,87.00,68.00,0.00,2309073
2021-02-11,10.00,-2.00,2.82,81.17,43.00,0.00,2309073
2021-02-12,12.40,-2.50,3.64,75.33,32.00,0.00,2309073
2021-02-13,12.70,1.80,6.12,68.04,34.00,0.00,2309073
2021-02-14,12.60,1.40,7.38,65.33,36.00,1.00,2309073
2021-02-15,1.70,-7.40,-2.95,58.25,42.00,0.00,2309073
2021-02-16,-2.20,-9.70,-6.00,52.46,35.00,0.50,2309073
2021-02-17,-4.90,-9.50,-7.73,46.21,34.00,0.00,2309073
2021-02-18,-0.50,-8.50,-4.66,56.25,35.00,0.00,2309073
2021-02-19,8.10,0.40,4.38,80.29,56.00,0.00,2309073
2021-02-20,12.70,2.00,6.34,67.08,19.00,0.00,2309073
2021-02-21,16.00,3.10,9.58,73.96,48.00,0.00,2309073
2021-02-22,12.60,-2.60,4.15,42.54,23.00,0.00,2309073
2021-02-23,4.20,-3.50,0.30,33.71,22.00,0.00,2309073
2021-02-24,8.10,-2.40,1.34,51.29,16.00,0.00,2309073
2021-02-25,8.30,-2.30,2.56,49.96,26.00,0.00,2309073
2021-02-26,14.60,0.40,7.76,41.79,16.00,0.00,2309073
2021-02-27,15.30,-0.90,7.49,51.42,31.00,0.00,2309073
2021-02-28,10.50,4.80,7.55,62.04,35.00,17.50,2309073
2021-03-01,7.30,0.10,2.43,91.12,69.00,45.00,2309073
2021-03-02,6.00,-2.50,1.43,79.67,47.00,0.00,2309073
2021-03-03,8.90,-0.30,3.75,69.75,33.00,0.00,2309073
2021-03-04,12.00,0.00,5.79,75.83,50.00,0.00,2309073
2021-03-05,14.60,2.00,7.74,78.67,50.00,0.00,2309073
2021-03-06,11.10,2.40,6.04,61.04,51.00,0.00,2309073
2021-03-07,10.70,-1.40,4.27,76.00,52.00,0.00,2309073
2021-03-08,11.70,-1.20,4.75,70.92,44.00,0.00,2309073
2021-03-09,11.60,-0.30,5.00,72.88,34.00,0.00,2309073
2021-03-10,15.80,0.90,7.03,68.21,34.00,0.00,2309073
2021-03-11,15.50,6.80,9.76,52.25,27.00,0.00,2309073
2021-03-12,13.50,2.40,9.08,65.96,43.00,0.00,2309073
2021-03-13,14.30,2.30,7.16,76.17,44.00,0.00,2309073
2021-03-14,12.90,2.00,7.03,80.67,57.00,0.00,2309073
2021-03-15,14.90,5.90,10.66,64.96,38.00,2.00,2309073
2021-03-16,12.10,-0.90,5.75,52.00,29.00,0.00,2309073
2021-03-17,14.80,0.90,7.16,58.17,26.00,0.00,2309073
