date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.70,-10.50,-4.24,60.17,35.00,0.00,1123052
2021-01-02,-0.80,-12.00,-6.00,50.71,28.00,0.00,1123052
2021-01-03,-0.60,-11.10,-6.43,58.17,27.00,0.00,1123052
2021-01-04,0.60,-5.60,-2.00,58.08,35.00,0.00,1123052
2021-01-05,-2.90,-14.10,-8.23,51.29,25.00,0.00,1123052
2021-01-06,-2.30,-16.00,-8.00,51.29,19.00,4.50,1123052
2021-01-07,-11.00,-19.30,-14.90,44.62,35.00,0.00,1123052
2021-01-08,-10.50,-21.00,-15.25,53.54,34.00,0.00,1123052
2021-01-09,-7.60,-18.20,-13.10,61.17,33.00,0.00,1123052
2021-01-10,-3.10,-14.40,-9.00,66.54,34.00,0.00,1123052
2021-01-11,-3.30,-12.90,-7.92,72.58,46.00,0.00,1123052
2021-01-12,0.80,-8.40,-2.77,85.58,63.00,5.00,1123052
2021-01-13,8.20,-7.20,0.36,78.00,61.00,0.00,1123052
2021-01-14,7.70,-3.40,2.65,55.08,23.00,0.00,1123052
2021-01-15,10.80,-5.90,1.52,74.62,66.00,0.00,1123052
2021-01-16,-1.90,-12.10,-6.76,59.25,42.00,0.00,1123052
2021-01-17,-0.70,-7.40,-3.65,68.38,26.00,0.00,1123052
2021-01-18,1.90,-12.70,-5.70,52.08,33.00,0.00,1123052
2021-01-19,-0.70,-10.00,-6.54,59.33,21.00,0.00,1123052
2021-01-20,7.40,-3.30,1.50,49.29,19.00,0.00,1123052
2021-01-21,8.30,3.30,4.54,87.75,41.00,11.50,1123052
2021-01-22,6.80,0.70,4.43,90.71,69.00,0.00,1123052
2021-01-23,11.60,1.10,6.68,62.79,50.00,0.00,1123052
2021-01-24,12.70,-1.20,4.20,73.50,40.00,0.00,1123052
2021-01-25,14.30,1.30,5.89,70.12,34.00,0.00,1123052
2021-01-26,6.10,-5.50,1.41,84.50,62.00,0.50,1123052
2021-01-27,6.30,-2.80,0.50,55.46,19.00,0.00,1123052
2021-01-28,1.30,-10.30,-5.73,47.42,32.00,3.00,1123052
2021-01-29,-1.20,-9.10,-5.95,50.33,25.00,0.00,1123052
2021-01-30,6.50,-6.30,-1.27,77.25,37.00,0.00,1123052
2021-01-31,10.20,3.60,7.13,64.33,35.00,0.50,1123052
2021-02-01,8.00,-6.80,0.70,61.04,32.00,0.00,1123052
2021-02-02,-2.90,-10.70,-6.06,55.92,28.00,0.00,1123052
2021-02-03,1.10,-7.10,-1.80,61.58,40.00,4.50,1123052
2021-02-04,0.60,-7.90,-4.43,61.42,28.00,0.00,1123052
2021-02-05,6.70,1.20,4.03,68.88,60.00,0.00,1123052
2021-02-06,9.00,1.30,6.26,83.17,72.00,0.00,1123052
2021-02-07,7.00,-5.30,0.42,52.33,30.00,0.00,1123052
2021-02-08,0.30,-8.10,-3.53,49.42,27.00,0.00,1123052
2021-02-09,3.10,-5.10,-1.10,64.46,28.00,0.00,1123052
2021-02-10,7.40,-2.50,2.61,82.79,61.00,0.00,1123052
2021-02-11,10.60,-2.80,2.73,79.38,44.00,0.00,1123052
2021-02-12,12.60,-4.70,2.89,73.96,27.00,0.00,1123052
2021-02-13,12.40,0.00,5.19,74.38,35.00,0.00,1123052
2021-02-14,12.70,2.60,7.27,63.50,34.00,0.00,1123052
2021-02-15,2.60,-7.70,-2.71,56.46,35.00,0.00,1123052
2021-02-16,-1.60,-9.40,-5.72,50.46,31.00,1.00,1123052
2021-02-17,-4.80,-9.40,-7.56,43.04,33.00,0.00,1123052
2021-02-18,0.00,-9.00,-4.48,55.21,31.00,0.00,1123052
2021-02-19,8.70,0.50,5.22,73.04,50.00,0.00,1123052
2021-02-20,12.60,0.10,6.42,63.00,20.00,0.00,1123052
2021-02-21,17.20,1.60,9.64,67.08,42.00,0.00,1123052
2021-02-22,13.10,-4.00,4.00,41.67,25.00,0.00,1123052
2021-02-23,4.00,-4.60,-0.15,34.58,22.00,0.00,1123052
2021-02-24,8.10,-3.50,1.00,54.79,18.00,0.00,1123052
2021-02-25,8.00,-3.10,2.24,53.75,27.00,0.00,1123052
2021-02-26,14.40,-0.30,7.05,42.21,16.00,0.00,1123052
2021-02-27,14.80,-2.20,7.19,51.71,30.00,0.00,1123052
2021-02-28,10.60,5.00,7.29,61.12,36.00,16.50,1123052
2021-03-01,7.50,0.10,2.91,86.88,70.00,42.00,1123052
2021-03-02,6.40,-3.20,1.41,76.42,46.00,0.00,1123052
2021-03-03,8.70,-0.80,3.59,68.75,36.00,0.00,1123052
2021-03-04,12.20,-0.80,5.52,74.08,44.00,0.00,1123052
2021-03-05,14.90,3.70,8.05,76.12,45.00,0.00,1123052
2021-03-06,11.30,1.80,6.05,61.62,49.00,0.00,1123052
2021-03-07,10.40,-2.00,4.13,75.83,49.00,0.00,1123052
2021-03-08,11.10,-1.70,4.20,72.50,44.00,0.00,1123052
2021-03-09,11.10,-1.90,4.38,72.92,23.00,0.00,1123052
2021-03-10,15.40,-1.00,6.12,71.54,30.00,0.00,1123052
2021-03-11,15.70,5.80,9.38,54.54,25.00,0.00,1123052
2021-03-12,14.00,1.40,8.16,66.25,40.00,0.00,1123052
2021-03-13,13.50,1.40,7.17,72.21,42.00,0.00,1123052
2021-03-14,11.20,1.30,6.10,82.17,58.00,0.00,1123052
2021-03-15,15.90,5.40,10.83,61.08,37.00,1.50,1123052
2021-03-16,12.00,-1.90,4.99,55.67,25.00,0.00,1123052
2021-03-17,14.60,-0.10,6.28,61.50,25.00,0.00,1123052
2021-03-18,16.60,7.60,11.41,55.00,36.00,0.00,1123052
2021-03-19,19.00,8.80,13.53,51.12,34.00,0.00,1123052
2021-03-20,9.10,4.50,6.91,83.29,77.00,4.00,1123052
2021-03-21,8.60,-0.10,5.16,57.17,45.00,0.00,1123052
2021-03-22,9.50,0.00,5.70,70.08,42.00,0.00,1123052
2021-03-23,15.00,3.20,9.21,63.67,50.00,0.00,1123052
2021-03-24,15.60,5.10,10.14,66.35,40.00,0.00,1123052
2021-03-25,15.40,4.90,8.58,77.21,51.00,0.00,1123052
2021-03-26,19.20,5.80,11.35,59.92,27.00,0.00,1123052
2021-03-27,14.80,7.50,11.38,83.29,40.00,23.00,1123052
2021-03-28,9.50,7.60,8.60,90.21,82.00,1.00,1123052
2021-03-29,14.20,1.50,7.57,70.04,36.00,0.00,1123052
2021-03-30,17.80,1.40,8.91,54.79,22.00,0.00,1123052
2021-03-31,21.50,5.00,13.13,54.67,23.00,0.00,1123052
2021-04-01,22.60,13.40,17.97,24.50,18.00,0.00,1123052
2021-04-02,21.90,14.50,17.51,48.92,24.00,0.00,1123052
2021-04-03,14.50,10.60,12.68,86.96,61.00,45.50,1123052
2021-04-04,16.10,4.10,10.53,63.50,37.00,0.00,1123052
2021-04-05,16.80,5.20,10.83,56.67,22.00,0.00,1123052
2021-04-06,16.80,3.80,11.15,61.92,29.00,0.00,1123052
2021-04-07,18.30,2.50,11.21,59.17,29.00,0.00,1123052
2021-04-08,17.10,3.00,11.25,44.58,23.00,0.00,1123052
2021-04-09,18.70,6.30,12.58,44.46,26.00,0.00,1123052
2021-04-10,16.30,4.10,10.36,63.83,27.00,0.00,1123052
2021-04-11,21.10,10.80,15.15,48.58,20.00,0.00,1123052
2021-04-12,17.70,9.90,12.46,81.58,34.00,27.00,1123052
2021-04-13,12.20,1.40,7.65,62.33,35.00,0.00,1123052
2021-04-14,11.90,3.80,8.65,62.00,28.00,0.00,1123052
2021-04-15,15.70,6.10,11.27,58.62,29.00,0.00,1123052
2021-04-16,14.40,2.90,8.62,75.75,40.00,0.50,1123052
2021-04-17,12.80,5.10,9.55,56.12,34.00,0.00,1123052
2021-04-18,13.80,3.10,9.14,66.67,44.00,0.00,1123052
2021-04-19,16.70,4.90,10.99,71.58,44.00,0.00,1123052
2021-04-20,19.70,6.60,13.09,55.04,18.00,0.00,1123052
2021-04-21,28.20,14.50,19.50,37.88,18.00,0.00,1123052
2021-04-22,26.80,16.00,20.35,36.62,17.00,0.00,1123052
2021-04-23,22.50,13.60,18.77,35.04,24.00,0.00,1123052
2021-04-24,22.30,8.50,15.44,59.12,20.00,0.00,1123052
2021-04-25,23.30,10.50,16.94,47.83,29.00,0.00,1123052
2021-04-26,20.40,9.30,14.54,63.79,36.00,0.00,1123052
2021-04-27,20.50,11.00,14.47,70.46,37.00,5.00,1123052
2021-04-28,16.50,9.40,12.92,70.96,48.00,0.00,1123052
2021-04-29,19.90,7.70,13.27,65.92,29.00,27.50,1123052
2021-04-30,13.90,9.10,11.07,77.21,66.00,0.00,1123052
2021-05-01,13.50,7.20,10.28,73.92,45.00,4.00,1123052
2021-05-02,17.80,5.80,11.66,69.92,40.00,0.00,1123052
2021-05-03,18.70,9.20,13.63,57.58,34.00,3.00,1123052
2021-05-04,17.50,9.90,14.43,87.54,68.00,24.50,1123052
2021-05-05,17.30,5.40,11.91,64.33,32.00,0.00,1123052
2021-05-06,23.00,10.00,17.38,37.04,27.00,0.00,1123052
2021-05-07,15.60,9.10,12.18,68.46,47.00,3.00,1123052
2021-05-08,20.30,7.10,14.13,65.21,33.00,0.00,1123052
2021-05-09,20.80,7.70,14.02,58.62,26.00,8.00,1123052
2021-05-10,18.30,9.00,12.19,80.71,48.00,2.50,1123052
2021-05-11,24.40,17.10,20.41,31.04,28.00,0.00,1123052
2021-05-12,27.40,12.10,19.51,58.21,25.00,0.00,1123052
2021-05-13,27.60,13.80,20.35,65.54,36.00,0.00,1123052
2021-05-14,30.30,17.90,22.30,64.04,35.00,0.00,1123052
2021-05-15,24.20,17.90,20.51,94.29,61.00,28.50,1123052
2021-05-16,19.30,14.10,16.42,96.46,85.00,34.00,1123052
2021-05-17,17.90,11.80,14.71,92.45,73.00,2.50,1123052
2021-05-18,22.60,9.30,16.16,74.88,50.00,0.00,1123052
2021-05-19,25.00,14.60,19.39,60.21,27.00,0.00,1123052
2021-05-20,22.90,14.00,16.95,76.87,40.00,13.00,1123052
2021-05-21,19.10,12.70,15.50,83.33,64.00,0.50,1123052
2021-05-22,23.60,10.90,17.14,72.58,44.00,0.00,1123052
