date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.60,-4.00,-2.18,63.92,52.00,1.00,2332034
2021-01-02,-1.80,-4.40,-3.27,61.12,55.00,0.00,2332034
2021-01-03,-1.50,-4.30,-2.90,70.17,64.00,0.00,2332034
2021-01-04,0.10,-5.30,-2.44,81.38,57.00,0.50,2332034
2021-01-05,-4.40,-6.50,-5.56,61.25,49.00,0.00,2332034
2021-01-06,-1.40,-11.50,-7.30,70.83,39.00,3.00,2332034
2021-01-07,-10.50,-12.10,-11.15,79.33,60.00,0.00,2332034
2021-01-08,-7.90,-11.90,-9.77,83.46,73.00,0.00,2332034
2021-01-09,-4.20,-9.80,-6.58,79.88,68.00,0.00,2332034
2021-01-10,-3.70,-6.40,-4.70,79.04,64.00,0.00,2332034
2021-01-11,0.00,-4.30,-2.52,75.50,44.00,0.00,2332034
2021-01-12,4.60,0.20,2.54,53.75,41.00,0.50,2332034
2021-01-13,7.10,-0.50,2.53,53.50,32.00,0.00,2332034
2021-01-14,7.30,0.90,3.68,65.00,34.00,0.00,2332034
2021-01-15,6.80,-5.30,-1.47,75.88,64.00,0.00,2332034
2021-01-16,-3.50,-6.00,-4.98,59.04,50.00,0.00,2332034
2021-01-17,1.90,-3.30,-0.17,50.46,33.00,0.00,2332034
2021-01-18,0.40,-10.10,-5.76,57.21,43.00,0.00,2332034
2021-01-19,-1.00,-7.00,-3.48,55.92,36.00,0.00,2332034
2021-01-20,3.70,-0.50,2.48,76.00,63.00,0.00,2332034
2021-01-21,4.30,3.40,3.85,92.75,80.00,1.00,2332034
2021-01-22,4.20,2.20,3.19,90.79,85.00,0.00,2332034
2021-01-23,6.60,3.80,5.20,68.00,59.00,0.00,2332034
2021-01-24,7.30,4.30,6.08,65.21,57.00,0.00,2332034
2021-01-25,6.00,4.50,5.15,85.62,75.00,0.00,2332034
2021-01-26,4.20,0.80,2.98,53.71,25.00,0.00,2332034
2021-01-27,5.20,0.00,2.19,44.71,20.00,0.00,2332034
2021-01-28,0.00,-7.50,-5.57,56.12,47.00,0.00,2332034
2021-01-29,5.00,-5.90,-0.75,66.88,49.00,0.00,2332034
2021-01-30,4.60,-0.10,1.60,59.42,45.00,0.00,2332034
2021-01-31,7.30,2.80,5.45,89.58,72.00,0.00,2332034
2021-02-01,4.80,-7.20,-1.87,64.50,52.00,0.00,2332034
2021-02-02,-0.80,-7.10,-5.03,67.71,52.00,0.00,2332034
2021-02-03,4.60,-3.50,0.38,60.62,42.00,0.90,2332034
2021-02-04,5.40,-1.40,3.16,59.29,42.00,0.00,2332034
2021-02-05,8.90,5.40,6.33,80.29,62.00,0.00,2332034
2021-02-06,9.10,1.40,4.46,82.33,62.00,0.00,2332034
2021-02-07,1.40,-3.50,-1.31,49.04,40.00,0.00,2332034
2021-02-08,1.30,-2.60,-1.00,49.21,43.00,0.00,2332034
2021-02-09,7.00,2.90,4.58,61.38,43.00,0.00,2332034
2021-02-10,6.50,1.30,4.27,82.67,72.00,0.00,2332034
2021-02-11,4.10,1.20,2.42,93.29,84.00,0.00,2332034
2021-02-12,5.40,1.80,3.92,92.08,87.00,0.00,2332034
2021-02-13,7.70,1.70,3.96,92.62,76.00,0.00,2332034
2021-02-14,7.80,-2.00,3.45,88.33,68.00,0.50,2332034
2021-02-15,-2.70,-6.00,-3.73,60.54,48.00,0.00,2332034
2021-02-16,-3.40,-9.00,-6.02,61.96,47.00,0.00,2332034
2021-02-17,-4.00,-8.50,-6.61,61.79,51.00,0.00,2332034
2021-02-18,5.00,-3.50,-0.62,56.96,44.00,0.00,2332034
2021-02-19,9.20,5.20,6.88,71.38,43.00,0.00,2332034
