date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.10,-3.70,-1.93,63.71,53.00,0.00,2332033
2021-01-02,-1.50,-3.80,-2.80,59.83,54.00,0.00,2332033
2021-01-03,-2.30,-4.70,-2.97,68.58,57.00,0.00,2332033
2021-01-04,-0.50,-4.70,-2.39,76.96,56.00,4.00,2332033
2021-01-05,-4.30,-5.80,-5.00,59.58,41.00,0.10,2332033
2021-01-06,-1.00,-11.50,-7.14,71.96,39.00,3.30,2332033
2021-01-07,-9.90,-11.20,-10.51,77.04,60.00,1.20,2332033
2021-01-08,-6.90,-11.00,-9.23,80.75,64.00,6.20,2332033
2021-01-09,-3.90,-9.10,-6.11,79.46,67.00,1.80,2332033
2021-01-10,-3.00,-5.30,-4.29,76.88,67.00,8.10,2332033
2021-01-11,-0.10,-4.30,-2.64,81.46,51.00,4.70,2332033
2021-01-12,6.10,0.80,3.07,46.67,39.00,0.50,2332033
2021-01-13,7.70,-1.00,2.77,52.92,37.00,0.00,2332033
2021-01-14,8.10,0.60,3.66,58.46,27.00,0.10,2332033
2021-01-15,7.20,-4.60,-1.03,79.17,64.00,0.00,2332033
2021-01-16,-3.50,-5.30,-4.36,57.83,50.00,0.00,2332033
2021-01-17,1.90,-3.50,-0.31,59.17,34.00,1.60,2332033
2021-01-18,0.60,-10.30,-5.48,53.38,34.00,0.20,2332033
2021-01-19,-2.40,-7.00,-3.98,45.50,24.00,0.00,2332033
2021-01-20,3.60,-1.50,2.12,69.67,52.00,0.00,2332033
2021-01-21,4.60,3.60,3.94,92.67,67.00,0.70,2332033
2021-01-22,4.80,2.30,3.46,96.96,91.00,0.00,2332033
2021-01-23,7.50,3.80,5.66,80.46,70.00,0.00,2332033
2021-01-24,8.90,3.80,6.07,75.42,58.00,0.00,2332033
2021-01-25,8.20,4.40,5.93,85.58,66.00,0.10,2332033
2021-01-26,5.10,1.00,3.62,58.42,25.00,0.00,2332033
2021-01-27,6.00,0.60,2.70,42.12,18.00,1.60,2332033
2021-01-28,-0.10,-6.60,-4.93,50.38,41.00,0.00,2332033
2021-01-29,3.70,-5.40,-1.82,74.00,51.00,0.10,2332033
2021-01-30,4.20,-1.10,1.15,58.42,37.00,0.00,2332033
2021-01-31,8.70,1.00,5.80,92.04,73.00,0.00,2332033
2021-02-01,6.90,-6.40,-1.16,63.58,46.00,0.00,2332033
2021-02-02,-0.70,-6.80,-4.78,71.38,55.00,0.30,2332033
2021-02-03,4.80,-3.00,0.68,60.21,41.00,0.90,2332033
2021-02-04,5.90,-1.70,2.87,62.25,44.00,0.00,2332033
2021-02-05,8.10,4.60,6.44,83.29,64.00,0.00,2332033
2021-02-06,10.80,1.80,4.84,87.33,61.00,0.00,2332033
2021-02-07,2.30,-2.80,-0.55,46.79,41.00,0.00,2332033
2021-02-08,1.40,-2.30,-0.70,47.33,41.00,0.00,2332033
2021-02-09,6.10,3.20,4.60,65.12,43.00,0.00,2332033
2021-02-10,8.50,1.30,4.43,86.33,51.00,0.10,2332033
2021-02-11,4.80,1.80,2.87,97.83,90.00,0.00,2332033
2021-02-12,6.40,2.10,3.93,96.83,86.00,0.00,2332033
2021-02-13,7.10,0.90,4.03,97.12,86.00,0.00,2332033
2021-02-14,8.20,-1.40,4.22,93.17,73.00,0.90,2332033
2021-02-15,-1.40,-5.00,-2.93,59.92,48.00,0.70,2332033
2021-02-16,-2.20,-8.50,-5.03,57.58,45.00,1.10,2332033
2021-02-17,-3.00,-8.40,-5.66,58.67,46.00,0.00,2332033
2021-02-18,1.90,-2.50,-0.95,59.58,41.00,0.00,2332033
2021-02-19,8.50,3.70,6.82,78.71,61.00,0.00,2332033
2021-02-20,12.00,3.80,7.06,70.04,18.00,0.00,2332033
2021-02-21,10.60,3.60,6.11,89.71,67.00,0.00,2332033
2021-02-22,3.80,-1.90,0.97,43.62,33.00,0.00,2332033
2021-02-23,1.00,-2.00,-0.95,40.33,23.00,0.00,2332033
2021-02-24,3.70,0.00,1.75,42.29,23.00,0.00,2332033
2021-02-25,6.80,1.10,3.17,48.46,26.00,0.00,2332033
2021-02-26,10.50,3.10,5.76,44.17,21.00,0.00,2332033
2021-02-27,9.70,3.70,6.24,63.83,45.00,0.00,2332033
2021-02-28,6.90,3.00,5.04,77.12,53.00,25.00,2332033
2021-03-01,3.30,0.10,1.89,86.62,68.00,2.40,2332033
2021-03-02,5.20,-0.10,1.86,66.92,59.00,0.00,2332033
2021-03-03,7.20,3.70,5.17,80.17,62.00,0.00,2332033
2021-03-04,7.90,4.10,5.92,91.58,76.00,0.10,2332033
2021-03-05,8.00,0.30,3.62,86.08,68.00,0.00,2332033
2021-03-06,3.90,1.20,2.25,75.42,62.00,0.00,2332033
2021-03-07,6.20,0.80,3.13,70.96,40.00,0.00,2332033
2021-03-08,7.80,2.50,4.44,63.54,31.00,0.00,2332033
2021-03-09,9.80,2.50,5.83,79.08,46.00,0.00,2332033
2021-03-10,10.50,4.30,6.57,77.83,45.00,0.00,2332033
2021-03-11,9.30,4.30,6.60,83.50,62.00,0.00,2332033
2021-03-12,8.60,4.60,6.62,87.17,72.00,0.10,2332033
2021-03-13,10.30,3.30,6.07,86.50,58.00,0.00,2332033
2021-03-14,11.70,4.00,6.84,87.54,63.00,0.00,2332033
2021-03-15,8.80,4.20,6.28,81.50,34.00,0.00,2332033
2021-03-16,6.10,2.20,4.82,52.08,33.00,0.10,2332033
2021-03-17,7.50,3.50,6.00,53.75,37.00,0.00,2332033
2021-03-18,10.70,5.10,7.51,59.25,40.00,0.00,2332033
2021-03-19,13.40,4.70,8.33,66.29,39.00,2.00,2332033
2021-03-20,7.40,4.50,5.14,89.54,69.00,0.00,2332033
2021-03-21,6.60,3.80,5.07,61.96,48.00,0.00,2332033
2021-03-22,9.20,4.90,6.78,74.88,41.00,0.00,2332033
2021-03-23,12.90,6.50,9.03,76.21,45.00,0.00,2332033
2021-03-24,11.00,6.20,8.15,92.75,77.00,0.00,2332033
2021-03-25,9.50,3.00,5.37,94.42,80.00,0.00,2332033
2021-03-26,8.00,4.40,6.36,92.38,85.00,8.30,2332033
2021-03-27,9.50,6.40,7.99,98.96,98.00,29.30,2332033
2021-03-28,9.60,5.30,7.51,96.75,74.00,0.00,2332033
2021-03-29,11.90,5.60,8.39,45.04,28.00,0.00,2332033
2021-03-30,12.90,6.30,9.28,31.67,14.00,0.00,2332033
2021-03-31,16.90,9.50,12.62,25.75,13.00,0.00,2332033
2021-04-01,18.80,12.40,15.13,33.21,20.00,0.00,2332033
2021-04-02,15.90,7.80,11.74,63.75,31.00,29.60,2332033
2021-04-03,9.60,7.00,8.17,86.79,64.00,11.90,2332033
2021-04-04,11.80,5.50,7.67,66.50,31.00,0.00,2332033
2021-04-05,14.80,7.70,10.39,40.50,21.00,0.00,2332033
2021-04-06,15.80,7.30,10.82,62.71,32.00,0.00,2332033
2021-04-07,14.00,6.50,9.43,57.38,40.00,0.00,2332033
2021-04-08,11.40,6.50,8.65,56.17,31.00,0.00,2332033
2021-04-09,14.60,6.70,9.78,55.17,26.00,0.00,2332033
2021-04-10,12.60,7.30,9.46,85.83,54.00,0.00,2332033
2021-04-11,15.30,9.90,11.79,57.75,35.00,0.00,2332033
2021-04-12,13.50,6.10,8.99,88.12,50.00,16.40,2332033
2021-04-13,9.30,4.70,6.34,57.71,27.00,0.00,2332033
2021-04-14,11.90,6.40,8.74,74.50,39.00,0.00,2332033
2021-04-15,11.60,8.20,9.79,79.17,65.00,0.30,2332033
2021-04-16,13.50,8.00,10.99,46.38,30.00,0.00,2332033
2021-04-17,10.60,7.00,8.58,73.42,56.00,0.00,2332033
2021-04-18,13.60,8.40,10.13,62.62,42.00,0.00,2332033
2021-04-19,16.90,8.30,12.26,69.58,39.00,0.00,2332033
2021-04-20,14.00,8.10,10.80,88.88,72.00,0.10,2332033
2021-04-21,19.40,10.00,13.72,61.88,30.00,0.00,2332033
2021-04-22,18.50,12.80,16.00,48.92,34.00,1.00,2332033
2021-04-23,16.20,10.60,13.23,77.33,57.00,4.10,2332033
2021-04-24,19.50,9.10,13.08,73.17,50.00,0.10,2332033
2021-04-25,19.10,10.20,13.94,65.38,51.00,0.00,2332033
2021-04-26,14.40,10.50,12.20,86.79,67.00,0.30,2332033
2021-04-27,14.10,10.40,11.81,87.62,60.00,1.30,2332033
2021-04-28,16.70,9.50,12.49,64.79,43.00,0.00,2332033
2021-04-29,16.30,8.70,11.80,76.38,39.00,2.20,2332033
2021-04-30,10.30,6.60,8.52,87.88,72.00,0.00,2332033
2021-05-01,12.10,7.30,9.65,85.08,68.00,0.00,2332033
2021-05-02,13.70,7.70,10.83,70.04,51.00,0.00,2332033
2021-05-03,14.50,10.10,11.67,85.58,59.00,4.30,2332033
