date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.70,-6.60,-2.62,54.33,35.00,0.00,2332031
2021-01-02,-2.00,-6.00,-3.88,43.88,38.00,0.00,2332031
2021-01-03,-2.60,-7.10,-4.30,42.33,27.00,0.00,2332031
2021-01-04,-0.20,-5.00,-1.99,53.50,35.00,0.00,2332031
2021-01-05,-4.30,-12.40,-7.16,51.58,36.00,0.00,2332031
2021-01-06,-1.70,-14.70,-7.84,55.17,24.00,0.00,2332031
2021-01-07,-11.90,-16.20,-14.03,47.96,43.00,0.00,2332031
2021-01-08,-10.90,-14.40,-12.59,45.46,37.00,0.00,2332031
2021-01-09,-7.20,-13.50,-10.06,53.88,36.00,0.00,2332031
2021-01-10,-3.70,-8.90,-6.21,57.00,39.00,0.00,2332031
2021-01-11,-3.40,-8.00,-5.13,66.67,43.00,0.00,2332031
2021-01-12,1.90,-3.50,-0.30,80.17,54.00,0.00,2332031
2021-01-13,7.10,-3.50,1.69,64.88,37.00,0.00,2332031
2021-01-14,6.00,0.40,4.06,47.58,28.00,0.00,2332031
2021-01-15,8.20,-6.10,0.18,76.04,60.00,0.00,2332031
2021-01-16,-3.50,-8.30,-6.13,51.04,37.00,0.00,2332031
2021-01-17,2.60,-5.50,-1.60,61.33,27.00,0.00,2332031
2021-01-18,0.70,-12.90,-5.61,46.17,30.00,0.00,2332031
2021-01-19,-3.70,-8.20,-5.30,41.33,22.00,0.00,2332031
2021-01-20,5.40,-2.40,3.65,33.71,24.00,0.00,2332031
2021-01-21,6.10,3.00,4.12,88.92,39.00,10.00,2332031
2021-01-22,6.60,2.70,5.08,89.08,67.00,0.00,2332031
2021-01-23,9.40,4.10,6.23,62.75,56.00,0.00,2332031
2021-01-24,10.00,1.10,5.71,67.92,51.00,0.00,2332031
2021-01-25,10.70,2.80,5.45,74.46,52.00,0.00,2332031
2021-01-26,5.30,-0.40,2.27,74.38,30.00,0.00,2332031
2021-01-27,3.00,-1.90,1.21,55.54,20.00,1.50,2332031
2021-01-28,1.90,-10.00,-5.69,46.83,34.00,0.00,2332031
2021-01-29,-1.30,-8.40,-5.51,55.79,29.00,0.00,2332031
2021-01-30,3.00,-3.80,-0.35,70.75,49.00,0.00,2332031
2021-01-31,8.70,1.90,6.00,71.42,37.00,0.00,2332031
2021-02-01,6.80,-6.80,-0.25,62.62,33.00,0.00,2332031
2021-02-02,-3.30,-10.30,-6.16,58.17,33.00,0.00,2332031
2021-02-03,1.90,-5.50,-1.16,64.88,34.00,2.00,2332031
2021-02-04,1.70,-4.10,-1.24,60.50,29.00,0.00,2332031
2021-02-05,5.60,2.30,4.02,84.71,77.00,0.00,2332031
2021-02-06,6.50,0.30,4.15,95.25,90.00,0.00,2332031
2021-02-07,5.60,-4.50,-0.50,54.25,28.00,0.00,2332031
2021-02-08,-0.50,-6.90,-2.75,43.42,29.00,0.00,2332031
2021-02-09,2.30,-0.10,1.40,68.00,32.00,0.00,2332031
2021-02-10,6.40,1.60,3.68,89.54,77.00,0.00,2332031
2021-02-11,7.60,-2.60,2.19,86.29,62.00,0.00,2332031
2021-02-12,8.50,-2.20,2.17,85.33,60.00,0.00,2332031
2021-02-13,5.20,0.10,3.10,87.50,76.00,0.00,2332031
2021-02-14,10.00,0.20,5.15,77.12,50.00,0.50,2332031
2021-02-15,0.60,-7.50,-2.83,55.38,43.00,0.00,2332031
2021-02-16,-1.70,-9.10,-5.75,51.33,31.00,0.50,2332031
2021-02-17,-5.70,-8.90,-7.46,44.58,34.00,0.00,2332031
2021-02-18,-1.00,-7.70,-3.45,52.46,32.00,0.00,2332031
2021-02-19,6.80,-0.30,3.65,85.88,64.00,0.00,2332031
2021-02-20,7.80,2.20,5.38,87.38,66.00,0.00,2332031
2021-02-21,9.90,4.60,7.33,81.83,70.00,0.00,2332031
2021-02-22,8.30,-2.30,2.04,50.04,35.00,0.00,2332031
2021-02-23,2.20,-2.20,-0.48,35.71,26.00,0.00,2332031
2021-02-24,3.60,-2.60,0.66,59.96,32.00,0.00,2332031
2021-02-25,6.30,-0.80,2.36,43.96,27.00,0.00,2332031
2021-02-26,11.60,1.00,5.97,51.46,22.00,0.00,2332031
2021-02-27,14.30,2.40,7.70,51.50,33.00,0.00,2332031
2021-02-28,8.10,4.60,6.24,66.04,44.00,19.00,2332031
2021-03-01,6.70,0.20,2.22,85.88,65.00,27.00,2332031
2021-03-02,4.80,-1.10,1.84,77.33,52.00,0.00,2332031
2021-03-03,6.50,-0.10,3.70,69.88,51.00,0.00,2332031
2021-03-04,11.80,0.90,6.90,71.12,51.00,0.00,2332031
2021-03-05,11.50,3.90,6.44,81.54,55.00,0.00,2332031
2021-03-06,9.90,2.30,5.30,62.54,55.00,0.00,2332031
2021-03-07,7.40,-0.50,3.60,81.00,54.00,0.00,2332031
2021-03-08,7.30,-0.50,3.42,81.17,59.00,0.00,2332031
2021-03-09,7.00,-0.10,3.41,84.54,53.00,0.00,2332031
2021-03-10,8.90,-0.30,4.14,83.75,62.00,0.00,2332031
2021-03-11,10.50,6.10,7.87,67.96,53.00,0.00,2332031
2021-03-12,13.80,2.60,9.11,62.21,46.00,0.00,2332031
2021-03-13,10.60,2.30,5.98,82.92,57.00,0.00,2332031
2021-03-14,6.90,1.40,3.47,96.00,96.00,0.00,2332031
2021-03-15,12.90,5.40,8.49,69.62,41.00,0.00,2332031
2021-03-16,8.80,2.40,5.49,51.83,30.00,0.00,2332031
2021-03-17,8.20,1.30,5.19,66.79,38.00,0.00,2332031
2021-03-18,11.70,5.80,8.19,70.33,49.00,0.00,2332031
2021-03-19,15.20,7.20,10.46,62.54,47.00,0.00,2332031
2021-03-20,8.00,5.20,6.40,85.71,75.00,2.00,2332031
2021-03-21,7.20,4.50,5.54,58.12,48.00,0.00,2332031
2021-03-22,7.70,3.00,5.94,81.83,63.00,0.00,2332031
2021-03-23,11.00,6.60,8.40,77.54,59.00,0.00,2332031
2021-03-24,12.10,5.70,9.23,77.57,57.00,0.00,2332031
2021-03-25,9.80,3.30,5.35,95.12,87.00,0.00,2332031
2021-03-26,13.00,6.60,9.62,65.04,51.00,0.00,2332031
2021-03-27,12.00,6.80,9.75,90.58,58.00,29.50,2332031
2021-03-28,9.10,7.10,7.88,95.92,94.00,1.00,2332031
2021-03-29,9.40,2.00,5.97,89.92,62.00,0.00,2332031
2021-03-30,12.10,2.60,7.38,71.00,38.00,0.00,2332031
2021-03-31,15.80,8.40,12.46,49.17,37.00,0.00,2332031
2021-04-01,23.10,13.00,17.27,30.83,16.00,0.00,2332031
2021-04-02,18.90,11.70,16.25,46.67,26.00,6.00,2332031
2021-04-03,13.80,9.80,11.20,88.58,60.00,53.50,2332031
2021-04-04,15.10,5.90,10.38,64.25,48.00,0.00,2332031
2021-04-05,12.40,6.10,9.59,73.38,54.00,0.00,2332031
2021-04-06,12.70,4.80,9.65,75.83,60.00,0.00,2332031
2021-04-07,14.20,5.90,11.10,56.29,36.00,0.00,2332031
2021-04-08,14.10,4.80,10.60,54.29,41.00,0.00,2332031
2021-04-09,16.00,8.80,12.08,49.04,27.00,0.00,2332031
2021-04-10,14.50,5.70,9.43,79.08,51.00,0.00,2332031
2021-04-11,16.50,10.70,13.41,53.12,34.00,0.00,2332031
2021-04-12,16.40,9.50,11.61,86.88,48.00,22.50,2332031
2021-04-13,10.00,5.20,7.78,55.62,42.00,0.00,2332031
2021-04-14,10.20,5.60,8.38,75.83,43.00,0.00,2332031
2021-04-15,11.90,6.00,9.71,76.38,56.00,0.00,2332031
2021-04-16,12.70,5.30,9.16,78.25,30.00,0.00,2332031
2021-04-17,12.40,7.70,9.60,62.50,40.00,0.00,2332031
2021-04-18,12.70,5.40,9.57,74.50,57.00,0.00,2332031
2021-04-19,14.90,7.30,11.13,80.67,60.00,0.00,2332031
2021-04-20,15.80,7.60,11.43,77.46,46.00,0.00,2332031
2021-04-21,20.60,12.70,16.19,48.62,36.00,0.00,2332031
2021-04-22,22.80,14.90,18.40,46.12,32.00,0.00,2332031
2021-04-23,21.90,14.00,17.56,46.42,27.00,0.00,2332031
2021-04-24,17.90,9.70,14.01,71.88,42.00,0.00,2332031
2021-04-25,22.00,12.20,16.02,56.96,41.00,0.00,2332031
2021-04-26,16.90,9.20,12.85,78.79,64.00,0.00,2332031
2021-04-27,15.70,9.20,12.36,81.75,60.00,2.50,2332031
2021-04-28,13.80,9.10,11.30,84.71,51.00,0.00,2332031
2021-04-29,18.00,9.00,12.58,74.17,37.00,17.00,2332031
2021-04-30,13.90,8.60,10.85,81.79,63.00,0.50,2332031
2021-05-01,12.70,8.30,10.04,76.29,60.00,4.50,2332031
2021-05-02,13.30,7.60,11.26,80.96,64.00,0.00,2332031
2021-05-03,15.80,9.60,12.28,71.88,41.00,3.50,2332031
2021-05-04,15.20,10.90,12.84,93.58,82.00,40.50,2332031
2021-05-05,15.00,10.90,12.60,65.04,50.00,0.00,2332031
2021-05-06,17.90,13.90,15.60,53.96,36.00,0.50,2332031
2021-05-07,14.40,10.70,12.29,74.58,64.00,0.00,2332031
2021-05-08,15.90,10.40,13.70,71.96,54.00,0.00,2332031
2021-05-09,17.00,9.80,13.20,70.79,52.00,8.00,2332031
2021-05-10,17.00,11.60,13.05,76.96,55.00,2.00,2332031
2021-05-11,24.00,17.30,20.10,35.96,28.00,0.00,2332031
2021-05-12,23.90,13.60,18.79,56.71,27.00,0.00,2332031
2021-05-13,23.30,13.70,17.80,78.25,56.00,0.00,2332031
2021-05-14,25.30,15.80,18.76,78.25,58.00,0.00,2332031
2021-05-15,22.80,15.30,19.04,93.96,71.00,39.00,2332031
2021-05-16,17.00,13.00,15.06,96.00,96.00,22.50,2332031
2021-05-17,17.10,12.30,14.43,90.09,77.00,0.00,2332031
2021-05-18,19.60,10.60,14.80,79.33,58.00,0.00,2332031
2021-05-19,21.50,15.40,17.84,66.46,46.00,0.00,2332031
2021-05-20,21.60,13.80,16.61,80.48,45.00,12.00,2332031
2021-05-21,17.80,11.90,15.32,87.46,72.00,0.50,2332031
2021-05-22,19.00,11.80,15.50,84.04,64.00,0.00,2332031
2021-05-23,20.70,14.50,16.80,80.62,61.00,0.00,2332031
2021-05-24,18.90,12.20,15.44,86.25,71.00,5.50,2332031
2021-05-25,16.60,11.60,14.66,84.83,73.00,0.00,2332031
2021-05-26,20.00,13.60,16.82,71.29,52.00,7.00,2332031
2021-05-27,17.80,12.70,14.64,91.25,81.00,14.00,2332031
2021-05-28,19.20,13.70,15.93,82.12,71.00,0.00,2332031
2021-05-29,17.40,12.60,15.13,78.88,63.00,0.00,2332031
2021-05-30,23.80,16.10,18.70,74.04,45.00,16.00,2332031
2021-05-31,22.60,15.00,18.84,72.45,61.00,4.50,2332031
2021-06-01,22.30,16.10,19.15,76.50,59.00,0.00,2332031
2021-06-02,28.60,17.20,21.52,68.21,37.00,0.00,2332031
2021-06-03,19.80,13.50,15.91,91.35,78.00,14.50,2332031
2021-06-04,19.90,16.20,17.38,83.29,72.00,0.00,2332031
2021-06-05,21.90,16.70,18.66,87.79,72.00,0.00,2332031
2021-06-06,24.10,17.40,20.05,83.67,67.00,0.00,2332031
2021-06-07,22.90,17.90,19.82,77.83,55.00,0.50,2332031
2021-06-08,22.70,17.50,19.84,87.12,72.00,0.00,2332031
2021-06-09,27.30,19.10,22.97,69.88,56.00,0.00,2332031
2021-06-10,25.20,17.20,20.41,85.29,66.00,23.50,2332031
2021-06-11,21.70,17.30,18.65,94.38,83.00,0.00,2332031
2021-06-12,21.40,17.10,18.87,95.46,91.00,0.00,2332031
2021-06-13,21.10,15.20,17.13,94.29,80.00,0.00,2332031
2021-06-14,20.70,17.40,18.84,95.25,90.00,0.00,2332031
2021-06-15,25.30,20.60,22.51,77.08,60.00,1.50,2332031
2021-06-16,29.50,19.90,24.29,61.46,42.00,0.00,2332031
2021-06-17,23.10,18.10,19.97,86.04,63.00,8.50,2332031
2021-06-18,20.00,17.80,18.60,96.00,96.00,0.00,2332031
2021-06-19,21.70,16.80,19.06,91.87,79.00,0.00,2332031
2021-06-20,22.30,17.90,19.64,90.54,75.00,0.00,2332031
2021-06-21,24.60,18.50,20.01,89.33,67.00,0.00,2332031
2021-06-22,25.20,18.00,20.83,81.58,58.00,0.00,2332031
2021-06-23,25.00,18.20,21.37,82.29,57.00,0.00,2332031
2021-06-24,25.00,17.60,20.54,87.62,64.00,0.00,2332031
2021-06-25,24.80,19.90,21.90,84.58,64.00,1.00,2332031
2021-06-26,24.90,20.70,22.29,84.79,69.00,0.00,2332031
2021-06-27,27.80,20.80,23.53,80.12,59.00,0.50,2332031
2021-06-28,27.40,21.10,23.49,81.08,60.00,0.00,2332031
2021-06-29,25.70,19.30,22.05,90.62,71.00,0.00,2332031
2021-06-30,26.00,19.80,22.76,84.71,63.00,0.00,2332031
2021-07-01,26.70,22.20,24.72,77.38,68.00,0.00,2332031
2021-07-02,29.80,23.60,26.23,67.35,56.00,0.00,2332031
2021-07-03,26.30,20.70,22.33,87.33,58.00,65.00,2332031
2021-07-04,23.10,20.10,20.87,95.21,85.00,1.00,2332031
2021-07-05,24.50,19.90,22.25,87.58,74.00,0.00,2332031
2021-07-06,25.70,21.50,23.45,87.42,73.00,0.50,2332031
2021-07-07,27.00,21.10,23.32,94.08,78.00,0.50,2332031
2021-07-08,24.70,21.40,22.72,96.00,96.00,0.50,2332031
2021-07-09,25.50,21.70,23.15,92.62,81.00,0.50,2332031
2021-07-10,25.10,22.50,23.30,96.00,96.00,0.00,2332031
2021-07-11,25.90,22.80,23.87,96.00,96.00,0.00,2332031
2021-07-12,30.50,24.40,26.37,89.26,73.00,0.00,2332031
2021-07-13,29.30,24.30,26.91,81.71,70.00,0.00,2332031
2021-07-14,30.60,24.20,27.52,79.25,66.00,0.00,2332031
2021-07-15,31.20,24.30,26.92,83.29,66.00,0.00,2332031
2021-07-16,30.10,23.20,26.10,82.58,63.00,0.50,2332031
2021-07-17,30.70,23.90,26.98,76.00,61.00,0.00,2332031
2021-07-18,30.10,23.60,26.63,75.88,53.00,0.00,2332031
2021-07-19,30.10,24.40,26.77,78.04,64.00,0.00,2332031
2021-07-20,30.90,24.50,27.82,77.67,62.00,0.00,2332031
2021-07-21,31.20,25.00,28.55,76.00,55.00,0.00,2332031
2021-07-22,31.00,24.10,27.32,75.79,57.00,0.00,2332031
2021-07-23,32.30,24.30,27.80,73.67,51.00,0.00,2332031
2021-07-24,32.20,24.80,28.23,73.75,52.00,0.00,2332031
2021-07-25,33.40,25.40,28.62,66.21,47.00,0.00,2332031
2021-07-26,33.30,24.30,28.62,63.54,41.00,0.00,2332031
2021-07-27,32.00,24.80,27.91,76.50,55.00,0.00,2332031
2021-07-28,31.30,24.40,27.24,84.33,61.00,0.00,2332031
2021-07-29,31.40,23.80,26.55,83.46,56.00,0.00,2332031
2021-07-30,31.90,25.10,28.00,78.08,56.00,0.00,2332031
2021-07-31,30.90,25.50,27.25,84.04,58.00,0.50,2332031
2021-08-01,27.60,24.20,25.75,94.83,88.00,6.00,2332031
2021-08-02,28.10,23.00,25.27,88.50,75.00,0.00,2332031
2021-08-03,30.30,25.60,27.38,84.92,70.00,0.00,2332031
2021-08-04,30.20,24.40,26.88,85.50,68.00,0.00,2332031
2021-08-05,31.30,24.50,27.52,79.38,54.00,0.00,2332031
2021-08-06,28.80,21.30,24.87,79.62,68.00,0.00,2332031
2021-08-07,29.20,24.30,26.56,80.75,66.00,0.00,2332031
2021-08-08,31.60,25.10,27.62,67.38,58.00,0.00,2332031
2021-08-09,33.10,26.00,28.47,64.43,45.00,0.00,2332031
2021-08-10,28.50,21.20,25.02,83.17,66.00,11.00,2332031
2021-08-11,28.70,23.20,25.87,84.00,71.00,0.00,2332031
2021-08-12,29.00,23.20,26.58,77.75,64.00,0.00,2332031
2021-08-13,29.10,24.30,26.43,72.46,64.00,0.00,2332031
2021-08-14,30.60,20.20,25.30,65.79,52.00,0.00,2332031
2021-08-15,28.70,22.80,25.86,70.96,55.00,0.00,2332031
2021-08-16,29.60,22.90,25.90,68.71,54.00,0.00,2332031
2021-08-17,30.50,21.00,24.67,70.50,46.00,12.50,2332031
2021-08-18,29.20,21.00,24.30,68.46,54.00,7.50,2332031
2021-08-19,27.80,23.10,25.30,70.92,52.00,0.00,2332031
2021-08-20,30.10,23.00,26.09,73.62,60.00,10.00,2332031
2021-08-21,25.20,22.10,24.18,87.67,76.00,84.00,2332031
2021-08-22,25.90,21.70,24.11,87.83,77.00,0.00,2332031
2021-08-23,25.50,21.40,22.81,90.25,77.00,14.00,2332031
2021-08-24,27.70,24.30,25.13,92.46,85.00,0.50,2332031
2021-08-25,27.20,21.90,24.90,90.46,74.00,0.00,2332031
2021-08-26,27.80,23.70,25.49,84.92,61.00,0.00,2332031
2021-08-27,24.80,19.80,22.22,87.71,68.00,0.50,2332031
2021-08-28,26.30,20.20,24.03,86.88,74.00,2.00,2332031
2021-08-29,25.50,21.10,23.62,86.92,73.00,0.00,2332031
2021-08-30,26.10,21.60,23.75,86.71,71.00,0.50,2332031
2021-08-31,23.30,18.60,19.64,93.88,85.00,77.00,2332031
2021-09-01,24.50,20.80,22.53,75.04,69.00,0.00,2332031
2021-09-02,25.80,22.10,23.50,75.75,62.00,0.00,2332031
2021-09-03,28.30,20.60,24.00,61.25,53.00,0.00,2332031
2021-09-04,27.40,20.80,23.37,60.71,43.00,0.00,2332031
2021-09-05,27.00,21.40,23.67,62.08,52.00,0.00,2332031
2021-09-06,25.10,17.80,20.94,84.38,54.00,24.50,2332031
2021-09-07,24.20,20.10,21.23,93.54,75.00,4.00,2332031
2021-09-08,24.40,18.20,22.07,85.09,66.00,0.00,2332031
2021-09-09,26.10,19.10,22.09,90.75,74.00,0.00,2332031
2021-09-10,27.10,19.20,22.82,86.08,64.00,0.00,2332031
2021-09-11,26.90,19.20,23.17,79.42,62.00,0.00,2332031
2021-09-12,27.30,21.20,23.75,76.04,55.00,0.00,2332031
2021-09-13,29.60,21.80,24.69,71.04,56.00,0.00,2332031
2021-09-14,29.00,20.40,24.08,67.21,53.00,0.00,2332031
2021-09-15,29.10,19.70,23.71,57.96,45.00,0.00,2332031
2021-09-16,26.80,20.30,23.22,63.25,45.00,0.00,2332031
2021-09-17,28.70,19.80,23.79,63.83,50.00,0.00,2332031
2021-09-18,25.50,20.80,22.92,80.08,60.00,0.00,2332031
2021-09-19,26.50,19.60,23.11,73.42,64.00,0.00,2332031
2021-09-20,27.30,20.90,24.16,73.83,51.00,26.00,2332031
2021-09-21,25.70,18.10,22.19,81.71,65.00,36.00,2332031
2021-09-22,23.90,19.80,21.77,68.88,60.00,0.00,2332031
2021-09-23,25.30,15.50,20.92,70.54,55.00,0.00,2332031
2021-09-24,25.50,19.70,22.09,71.50,60.00,0.00,2332031
2021-09-25,23.30,20.60,21.89,73.13,66.00,0.00,2332031
2021-09-26,26.20,20.10,21.92,71.46,54.00,0.00,2332031
2021-09-27,24.00,19.90,21.62,73.46,56.00,0.00,2332031
2021-09-28,23.70,19.60,21.60,87.96,60.00,12.00,2332031
2021-09-29,21.40,16.10,19.07,92.29,81.00,0.50,2332031
2021-09-30,23.70,18.50,20.63,88.50,63.00,0.00,2332031
2021-10-01,25.30,17.00,21.26,79.29,60.00,16.00,2332031
2021-10-02,24.20,17.80,21.03,88.29,66.00,0.00,2332031
2021-10-03,25.30,19.90,23.29,79.33,69.00,0.00,2332031
2021-10-04,24.60,23.50,24.03,94.83,87.00,2.00,2332031
2021-10-05,25.70,18.60,21.62,91.58,79.00,0.00,2332031
2021-10-06,21.00,18.60,19.61,94.17,87.00,4.50,2332031
2021-10-07,20.90,16.70,19.08,86.17,74.00,0.00,2332031
2021-10-08,20.50,18.50,19.82,92.33,83.00,2.00,2332031
2021-10-09,24.20,19.40,22.46,87.17,73.00,0.00,2332031
2021-10-10,22.00,13.00,16.58,82.08,55.00,12.00,2332031
2021-10-11,18.40,14.90,16.90,66.62,56.00,0.00,2332031
2021-10-12,21.60,15.90,18.68,62.96,54.00,0.00,2332031
2021-10-13,24.90,15.90,19.67,76.67,52.00,0.00,2332031
2021-10-14,21.10,17.10,19.30,72.96,63.00,0.00,2332031
2021-10-15,21.60,11.70,17.99,59.21,38.00,0.00,2332031
2021-10-16,11.00,3.10,6.73,38.71,31.00,0.00,2332031
2021-10-17,10.30,4.50,7.77,40.04,26.00,0.00,2332031
2021-10-18,15.60,10.40,12.11,82.17,47.00,4.00,2332031
2021-10-19,13.90,4.60,9.92,57.96,43.00,0.00,2332031
2021-10-20,12.50,4.10,8.25,66.48,44.00,0.00,2332031
2021-10-21,13.60,7.30,10.92,53.88,37.00,0.00,2332031
2021-10-22,16.50,4.90,11.57,56.00,32.00,0.00,2332031
2021-10-23,16.20,7.00,11.79,68.92,40.00,0.00,2332031
2021-10-24,16.10,6.90,11.41,75.58,49.00,0.00,2332031
2021-10-25,16.10,8.40,11.86,81.50,51.00,0.00,2332031
2021-10-26,17.90,13.20,16.08,70.46,62.00,0.00,2332031
2021-10-27,17.30,6.20,12.72,58.21,35.00,0.00,2332031
2021-10-28,18.90,9.70,13.57,57.12,32.00,0.00,2332031
2021-10-29,19.50,11.20,14.93,62.43,44.00,0.00,2332031
2021-10-30,18.70,8.80,13.17,84.38,56.00,0.00,2332031
2021-10-31,18.60,12.00,14.94,82.62,64.00,0.00,2332031
2021-11-01,15.20,7.50,11.97,76.79,59.00,0.00,2332031
2021-11-02,14.60,6.10,10.48,80.92,58.00,0.00,2332031
2021-11-03,16.00,10.20,12.88,83.54,49.00,0.50,2332031
2021-11-04,16.20,9.30,12.15,92.67,79.00,1.00,2332031
2021-11-05,18.30,10.80,14.34,74.12,62.00,0.00,2332031
2021-11-06,19.60,9.50,14.80,66.62,45.00,0.00,2332031
2021-11-07,20.10,8.60,16.55,61.54,48.00,14.50,2332031
2021-11-08,8.50,5.20,6.73,74.96,65.00,8.00,2332031
2021-11-09,7.90,1.00,5.39,76.42,68.00,2.00,2332031
2021-11-10,9.10,3.80,6.53,63.50,47.00,0.00,2332031
2021-11-11,9.80,4.00,6.38,56.88,48.00,0.00,2332031
2021-11-12,8.50,1.10,5.25,60.71,43.00,0.00,2332031
2021-11-13,14.60,9.00,12.47,68.67,56.00,0.00,2332031
2021-11-14,15.30,5.70,11.65,75.88,56.00,0.00,2332031
2021-11-15,14.50,5.40,9.82,68.83,43.00,0.00,2332031
2021-11-16,12.00,2.00,8.27,61.96,38.00,0.00,2332031
2021-11-17,14.50,6.40,10.78,69.25,46.00,0.00,2332031
2021-11-18,16.40,14.50,15.08,82.04,76.00,0.00,2332031
2021-11-19,15.00,5.70,10.44,87.54,63.00,0.00,2332031
2021-11-20,13.60,5.90,9.55,89.67,72.00,0.00,2332031
2021-11-21,13.30,4.10,9.73,71.22,51.00,5.00,2332031
2021-11-22,4.70,-1.60,1.53,61.50,55.00,0.00,2332031
2021-11-23,5.90,-0.10,1.90,66.96,54.00,0.00,2332031
2021-11-24,11.90,5.90,9.22,58.96,43.00,0.00,2332031
2021-11-25,9.00,-0.70,4.99,48.74,34.00,0.00,2332031
2021-11-26,7.20,0.30,4.31,52.38,35.00,0.00,2332031
2021-11-27,6.20,-0.70,2.22,63.71,44.00,0.00,2332031
2021-11-28,10.00,2.10,5.61,66.08,37.00,0.00,2332031
2021-11-29,11.60,8.30,9.76,75.79,52.00,19.50,2332031
2021-11-30,9.60,-0.60,3.65,67.71,45.00,4.00,2332031
2021-12-01,1.40,-4.10,-0.36,55.62,43.00,0.00,2332031
2021-12-02,9.20,2.50,6.67,54.92,34.00,0.50,2332031
2021-12-03,3.60,-3.20,1.14,52.12,28.00,0.00,2332031
2021-12-04,6.60,-2.40,2.43,48.08,31.00,0.00,2332031
2021-12-05,7.80,0.00,3.06,60.38,34.00,0.00,2332031
2021-12-06,10.10,3.20,6.33,69.00,48.00,0.00,2332031
2021-12-07,10.50,1.60,6.32,76.96,55.00,0.00,2332031
2021-12-08,11.20,3.50,6.58,72.12,57.00,0.00,2332031
2021-12-09,10.50,7.40,8.55,68.96,61.00,1.50,2332031
2021-12-10,9.10,3.10,6.07,93.33,83.00,0.00,2332031
2021-12-11,7.70,2.70,5.22,82.38,67.00,0.00,2332031
2021-12-12,3.60,-3.50,-0.79,45.67,34.00,0.00,2332031
2021-12-13,2.80,-2.70,0.65,58.38,34.00,0.00,2332031
2021-12-14,10.40,4.40,7.91,78.12,57.00,2.00,2332031
2021-12-15,10.40,2.40,6.75,83.42,70.00,0.00,2332031
2021-12-16,9.40,-4.30,3.65,63.75,50.00,0.00,2332031
2021-12-17,-4.20,-7.40,-6.50,47.04,40.00,0.00,2332031
2021-12-18,4.60,-3.80,-0.00,60.67,44.00,2.50,2332031
2021-12-19,8.70,-0.30,5.81,63.54,46.00,0.00,2332031
2021-12-20,11.20,4.40,8.19,84.33,60.00,0.00,2332031
2021-12-21,7.70,-0.80,3.29,50.83,28.00,0.00,2332031
2021-12-22,4.90,-2.60,0.92,62.96,37.00,0.00,2332031
2021-12-23,7.20,0.70,3.59,57.17,34.00,0.00,2332031
2021-12-24,1.60,-11.80,-5.37,57.33,43.00,0.00,2332031
2021-12-25,-8.90,-12.70,-11.34,51.50,42.00,0.00,2332031
2021-12-26,-6.20,-11.80,-8.87,49.25,36.00,0.00,2332031
2021-12-27,-2.80,-7.80,-4.96,86.42,55.00,0.00,2332031
2021-12-28,2.20,-2.20,0.34,78.12,54.00,0.50,2332031
2021-12-29,5.90,-4.10,0.39,59.12,38.00,0.00,2332031
2021-12-30,-0.90,-7.10,-3.52,43.92,34.00,0.00,2332031
2021-12-31,-3.60,-9.00,-5.92,43.42,30.00,0.00,2332031
