date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.60,-7.00,-3.13,54.17,37.00,0.00,2308081
2021-01-02,-0.80,-9.90,-5.14,48.04,27.00,0.00,2308081
2021-01-03,-1.30,-9.10,-5.52,49.71,28.00,0.00,2308081
2021-01-04,0.10,-6.00,-2.36,61.29,42.00,0.00,2308081
2021-01-05,-2.60,-12.20,-7.42,49.25,29.00,0.00,2308081
2021-01-06,-2.40,-15.50,-8.21,54.50,24.00,0.00,2308081
2021-01-07,-11.20,-17.40,-14.50,47.46,36.00,0.00,2308081
2021-01-08,-10.40,-16.30,-13.76,50.08,38.00,0.00,2308081
2021-01-09,-6.80,-13.80,-10.67,55.25,36.00,0.00,2308081
2021-01-10,-3.40,-10.10,-6.40,59.25,34.00,0.00,2308081
2021-01-11,-3.30,-10.10,-6.33,67.83,49.00,0.00,2308081
2021-01-12,1.50,-5.60,-2.64,93.29,67.00,2.50,2308081
2021-01-13,8.10,-5.50,1.56,73.67,49.00,0.00,2308081
2021-01-14,7.00,-1.40,2.09,55.67,27.00,0.00,2308081
2021-01-15,10.20,-6.30,1.28,79.42,68.00,0.00,2308081
2021-01-16,-2.00,-11.10,-6.52,55.42,44.00,0.00,2308081
2021-01-17,-1.80,-6.90,-3.76,73.25,33.00,0.00,2308081
2021-01-18,1.70,-10.80,-5.64,49.88,29.00,0.00,2308081
2021-01-19,-2.30,-8.80,-5.91,46.46,18.00,0.00,2308081
2021-01-20,7.50,-4.00,1.81,46.04,23.00,0.00,2308081
2021-01-21,6.90,2.90,3.75,89.58,45.00,8.50,2308081
2021-01-22,6.60,3.50,5.05,90.12,78.00,0.00,2308081
2021-01-23,10.60,0.30,5.61,71.96,57.00,0.00,2308081
2021-01-24,12.30,0.00,4.96,77.67,46.00,0.00,2308081
2021-01-25,12.60,3.20,6.09,76.25,50.00,0.00,2308081
2021-01-26,7.00,-1.50,3.00,73.42,35.00,0.00,2308081
2021-01-27,6.20,-1.60,1.44,48.50,20.00,0.00,2308081
2021-01-28,1.90,-10.70,-5.77,49.04,37.00,2.50,2308081
2021-01-29,-3.00,-8.40,-5.73,47.04,30.00,0.00,2308081
2021-01-30,4.80,-5.40,-1.05,76.42,46.00,0.00,2308081
2021-01-31,10.30,-0.30,7.05,70.96,39.00,0.00,2308081
2021-02-01,8.60,-7.50,0.57,63.38,37.00,0.00,2308081
2021-02-02,-2.20,-9.10,-5.77,53.29,31.00,0.00,2308081
2021-02-03,1.40,-6.80,-1.82,69.12,42.00,2.50,2308081
2021-02-04,-0.10,-5.40,-3.36,60.00,33.00,0.00,2308081
2021-02-05,6.40,1.70,4.47,79.88,71.00,0.00,2308081
2021-02-06,8.90,1.70,6.19,90.92,76.00,0.00,2308081
2021-02-07,7.50,-4.50,0.63,49.08,23.00,0.00,2308081
2021-02-08,0.70,-6.60,-2.85,46.92,29.00,0.00,2308081
2021-02-09,3.70,-2.20,0.42,65.12,31.00,0.00,2308081
2021-02-10,6.80,-0.40,3.35,88.96,72.00,0.00,2308081
2021-02-11,9.60,-1.80,3.30,80.38,55.00,0.00,2308081
2021-02-12,12.30,-1.30,4.20,73.46,34.00,0.00,2308081
2021-02-13,13.40,3.30,6.92,63.75,31.00,0.00,2308081
2021-02-14,13.00,1.90,7.12,70.71,38.00,0.50,2308081
2021-02-15,2.80,-6.40,-2.29,56.83,31.00,0.00,2308081
2021-02-16,-0.40,-9.40,-5.56,50.46,29.00,0.50,2308081
2021-02-17,-4.80,-9.20,-7.32,43.46,30.00,0.00,2308081
2021-02-18,0.00,-7.20,-3.72,51.38,33.00,0.00,2308081
2021-02-19,8.20,-0.10,5.82,79.46,56.00,0.00,2308081
2021-02-20,12.30,1.30,6.13,65.21,25.00,0.00,2308081
2021-02-21,15.50,3.60,9.77,75.21,56.00,0.00,2308081
2021-02-22,13.10,-2.30,4.23,43.04,25.00,0.00,2308081
2021-02-23,4.50,-2.20,0.20,35.50,20.00,0.00,2308081
2021-02-24,7.80,-0.90,2.23,48.17,13.00,0.00,2308081
2021-02-25,6.90,0.10,3.03,44.04,31.00,0.00,2308081
2021-02-26,15.40,0.90,7.58,46.92,15.00,0.00,2308081
2021-02-27,15.40,0.50,8.45,52.38,33.00,0.00,2308081
2021-02-28,10.40,4.70,7.70,62.29,40.00,21.50,2308081
2021-03-01,6.30,0.00,2.04,90.92,69.00,37.50,2308081
2021-03-02,6.10,-1.50,2.11,78.67,47.00,0.00,2308081
2021-03-03,9.10,0.60,4.37,67.50,32.00,0.00,2308081
2021-03-04,12.70,1.80,7.02,75.21,50.00,0.00,2308081
2021-03-05,14.70,4.30,8.62,76.17,52.00,0.00,2308081
2021-03-06,11.30,1.30,5.39,65.92,50.00,0.00,2308081
2021-03-07,10.90,0.90,5.13,75.17,47.00,0.00,2308081
2021-03-08,11.70,0.10,5.42,67.67,43.00,0.00,2308081
2021-03-09,11.70,-0.10,5.46,74.75,37.00,0.00,2308081
2021-03-10,15.70,1.40,7.33,70.25,27.00,0.00,2308081
2021-03-11,15.60,8.40,10.69,54.17,31.00,0.00,2308081
2021-03-12,14.40,4.90,9.21,66.58,44.00,0.00,2308081
2021-03-13,13.90,3.10,7.75,77.42,45.00,0.00,2308081
2021-03-14,12.00,3.40,7.27,82.25,65.00,0.00,2308081
2021-03-15,14.60,6.10,10.56,65.75,43.00,1.00,2308081
2021-03-16,12.70,1.30,6.57,47.92,26.00,0.00,2308081
2021-03-17,15.00,2.80,7.73,59.71,26.00,0.00,2308081
2021-03-18,16.70,9.10,12.30,57.04,37.00,0.00,2308081
2021-03-19,19.50,9.80,14.10,54.71,37.00,0.00,2308081
2021-03-20,9.80,4.90,7.44,88.38,75.00,5.00,2308081
2021-03-21,9.50,1.30,5.46,59.08,42.00,0.00,2308081
2021-03-22,9.80,2.30,6.50,72.08,38.00,0.00,2308081
2021-03-23,13.80,5.20,9.55,70.33,51.00,0.00,2308081
2021-03-24,14.80,7.40,10.67,72.04,50.00,0.00,2308081
2021-03-25,15.50,4.40,8.44,85.88,59.00,0.00,2308081
2021-03-26,19.30,8.40,12.58,54.96,29.00,0.00,2308081
2021-03-27,13.10,7.90,11.03,93.25,67.00,36.50,2308081
2021-03-28,11.70,8.00,9.10,94.04,71.00,1.50,2308081
2021-03-29,13.90,2.40,8.15,70.92,44.00,0.00,2308081
2021-03-30,18.00,4.20,10.48,56.25,18.00,0.00,2308081
2021-03-31,21.60,8.50,14.33,49.17,14.00,0.00,2308081
2021-04-01,24.00,12.80,18.37,30.08,16.00,0.00,2308081
2021-04-02,21.90,14.30,17.73,48.71,25.00,0.00,2308081
2021-04-03,14.30,9.70,11.44,93.33,66.00,55.00,2308081
2021-04-04,16.40,5.40,11.50,61.33,43.00,0.00,2308081
2021-04-05,17.60,7.50,12.11,53.46,27.00,0.00,2308081
2021-04-06,18.70,6.70,13.01,59.83,35.00,0.00,2308081
2021-04-07,19.40,7.30,13.21,47.12,31.00,0.00,2308081
2021-04-08,18.50,7.10,12.85,36.21,22.00,0.00,2308081
2021-04-09,18.30,8.30,13.67,43.33,24.00,0.00,2308081
2021-04-10,17.60,6.60,11.85,63.71,25.00,0.00,2308081
2021-04-11,20.80,12.40,15.97,48.33,28.00,0.00,2308081
2021-04-12,18.00,10.80,12.88,85.75,42.00,35.00,2308081
2021-04-13,13.30,4.70,8.95,59.12,45.00,0.00,2308081
2021-04-14,12.40,6.20,9.13,70.88,35.00,0.00,2308081
2021-04-15,15.80,7.80,11.89,62.96,37.00,0.00,2308081
2021-04-16,15.70,5.50,9.93,73.46,49.00,1.00,2308081
2021-04-17,13.90,6.80,10.21,54.42,28.00,0.00,2308081
2021-04-18,14.60,6.00,10.42,69.17,45.00,0.00,2308081
2021-04-19,17.60,7.10,12.29,74.96,53.00,0.00,2308081
2021-04-20,20.10,8.80,14.18,62.62,29.00,0.00,2308081
2021-04-21,27.10,15.20,19.73,42.62,26.00,0.00,2308081
2021-04-22,26.30,16.00,20.60,43.33,24.00,0.00,2308081
2021-04-23,22.30,14.60,18.35,48.38,28.00,0.00,2308081
