date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.20,-10.20,-4.23,57.62,37.00,0.00,2331031
2021-01-02,-1.80,-10.60,-6.09,52.25,36.00,0.00,2331031
2021-01-03,-2.30,-10.30,-6.83,51.50,28.00,0.00,2331031
2021-01-04,-0.70,-6.30,-2.90,54.71,35.00,0.00,2331031
2021-01-05,-3.30,-13.60,-8.87,55.17,29.00,0.00,2331031
2021-01-06,-3.00,-16.00,-8.66,57.17,27.00,1.00,2331031
2021-01-07,-12.10,-17.50,-14.92,47.54,40.00,0.00,2331031
2021-01-08,-11.30,-17.70,-14.07,47.79,38.00,0.00,2331031
2021-01-09,-7.60,-14.50,-11.52,58.46,35.00,0.00,2331031
2021-01-10,-3.80,-10.80,-7.56,62.04,39.00,0.00,2331031
2021-01-11,-3.50,-10.60,-6.90,67.67,47.00,0.00,2331031
2021-01-12,1.20,-6.10,-2.85,89.12,63.00,0.70,2331031
2021-01-13,8.30,-6.90,0.95,67.62,43.00,0.00,2331031
2021-01-14,7.50,-1.30,2.86,45.71,26.00,0.00,2331031
2021-01-15,9.80,-8.60,-0.02,80.33,67.00,0.10,2331031
2021-01-16,-2.50,-12.90,-7.85,58.88,43.00,0.00,2331031
2021-01-17,-2.00,-6.90,-4.60,73.62,36.00,0.00,2331031
2021-01-18,1.60,-13.50,-6.64,48.83,24.00,0.10,2331031
2021-01-19,-2.50,-10.20,-7.38,47.08,25.00,0.00,2331031
2021-01-20,6.30,-3.20,2.37,37.96,21.00,0.00,2331031
2021-01-21,5.90,2.80,3.71,88.79,43.00,8.10,2331031
2021-01-22,6.40,2.40,5.10,87.25,70.00,0.00,2331031
2021-01-23,9.30,3.50,5.86,66.08,57.00,0.00,2331031
2021-01-24,11.70,0.60,4.89,76.42,50.00,0.00,2331031
2021-01-25,12.10,2.80,6.10,73.33,47.00,0.00,2331031
2021-01-26,6.00,-1.00,2.55,68.83,22.00,0.40,2331031
2021-01-27,6.00,-3.30,0.70,45.75,18.00,2.10,2331031
2021-01-28,1.50,-11.10,-6.47,48.29,36.00,1.60,2331031
2021-01-29,-3.00,-9.80,-6.67,52.12,32.00,0.00,2331031
2021-01-30,4.40,-6.20,-1.76,69.12,45.00,0.00,2331031
2021-01-31,9.50,0.00,6.80,72.58,42.00,0.80,2331031
2021-02-01,6.40,-8.10,-0.62,62.75,36.00,0.00,2331031
2021-02-02,-3.10,-11.40,-7.03,59.25,33.00,0.00,2331031
2021-02-03,1.30,-7.30,-2.15,68.62,41.00,8.40,2331031
2021-02-04,-1.20,-7.20,-4.19,67.75,31.00,0.00,2331031
2021-02-05,5.50,0.50,3.73,85.54,74.00,0.00,2331031
2021-02-06,8.30,0.00,4.63,94.71,81.00,0.00,2331031
2021-02-07,6.20,-5.10,-0.16,47.96,28.00,0.00,2331031
2021-02-08,0.00,-7.60,-4.00,53.38,29.00,0.00,2331031
2021-02-09,2.60,-3.10,-0.14,72.38,26.00,0.00,2331031
2021-02-10,6.50,1.10,3.53,89.67,74.00,0.00,2331031
2021-02-11,8.50,-2.40,2.20,84.08,58.00,0.00,2331031
2021-02-12,11.10,-2.70,2.89,70.46,48.00,0.00,2331031
2021-02-13,11.30,2.40,5.33,69.75,50.00,0.00,2331031
2021-02-14,11.90,-0.10,6.11,70.21,35.00,1.10,2331031
2021-02-15,1.70,-8.30,-3.31,58.38,40.00,0.00,2331031
2021-02-16,-1.70,-9.90,-6.26,51.71,28.00,1.50,2331031
2021-02-17,-5.20,-9.50,-7.82,43.58,32.00,0.00,2331031
2021-02-18,-0.40,-8.10,-4.52,53.58,31.00,0.00,2331031
2021-02-19,8.10,-0.50,5.21,82.96,61.00,0.00,2331031
2021-02-20,11.90,1.80,6.35,71.67,33.00,0.00,2331031
2021-02-21,14.20,5.20,9.53,77.38,57.00,0.00,2331031
2021-02-22,12.00,-3.60,3.27,40.83,22.00,0.00,2331031
2021-02-23,3.40,-3.90,-0.54,33.17,21.00,0.00,2331031
2021-02-24,7.00,-2.80,0.62,46.96,24.00,0.00,2331031
2021-02-25,6.70,-1.20,2.12,39.46,19.00,0.00,2331031
2021-02-26,14.40,1.50,7.69,41.42,15.00,0.00,2331031
2021-02-27,14.60,1.30,7.58,51.83,33.00,0.00,2331031
2021-02-28,9.90,4.70,6.88,65.29,41.00,24.50,2331031
2021-03-01,5.60,-1.30,1.60,87.88,65.00,31.10,2331031
2021-03-02,6.10,-2.00,1.57,79.67,51.00,0.00,2331031
2021-03-03,7.30,0.00,3.24,72.92,52.00,0.00,2331031
2021-03-04,11.90,0.60,5.55,78.83,53.00,0.00,2331031
2021-03-05,13.50,3.20,7.58,79.29,50.00,0.00,2331031
2021-03-06,8.90,1.00,4.14,65.38,55.00,0.00,2331031
2021-03-07,9.80,-1.70,3.99,74.96,50.00,0.00,2331031
2021-03-08,10.00,-1.30,3.80,65.17,43.00,0.00,2331031
2021-03-09,10.40,-2.00,4.29,75.42,40.00,0.00,2331031
2021-03-10,12.70,0.00,5.65,70.83,40.00,0.00,2331031
2021-03-11,13.60,6.70,9.42,56.46,39.00,0.00,2331031
2021-03-12,15.20,3.10,9.07,64.29,39.00,0.00,2331031
2021-03-13,12.40,0.40,6.53,80.54,49.00,0.00,2331031
2021-03-14,9.60,0.80,5.28,89.88,74.00,0.00,2331031
2021-03-15,13.90,5.10,9.54,66.04,42.00,1.00,2331031
2021-03-16,11.90,0.00,5.70,44.25,27.00,0.00,2331031
2021-03-17,12.30,0.80,6.33,57.04,34.00,0.00,2331031
2021-03-18,15.10,7.50,10.60,58.92,38.00,0.00,2331031
2021-03-19,16.70,8.50,12.00,63.88,44.00,0.70,2331031
2021-03-20,9.40,3.40,6.54,91.67,81.00,3.80,2331031
2021-03-21,8.90,0.20,4.98,60.50,45.00,0.00,2331031
2021-03-22,9.70,0.30,5.55,74.75,33.00,0.00,2331031
2021-03-23,11.90,4.00,8.33,74.58,64.00,0.00,2331031
2021-03-24,13.20,6.10,9.57,78.39,57.00,0.00,2331031
2021-03-25,12.80,2.50,6.28,93.21,73.00,0.00,2331031
2021-03-26,17.60,7.20,10.88,55.12,34.00,0.00,2331031
2021-03-27,12.30,7.20,9.99,95.58,62.00,39.80,2331031
2021-03-28,12.10,7.60,8.71,96.04,75.00,1.50,2331031
2021-03-29,12.50,0.80,6.53,75.75,41.00,0.00,2331031
2021-03-30,16.40,2.80,8.92,57.46,25.00,0.00,2331031
2021-03-31,20.00,8.60,13.55,47.83,29.00,0.00,2331031
2021-04-01,22.90,12.00,16.97,35.12,18.00,0.00,2331031
2021-04-02,20.60,12.60,16.31,51.62,27.00,1.60,2331031
2021-04-03,13.20,9.00,10.77,91.29,62.00,48.10,2331031
2021-04-04,15.50,3.90,10.15,64.75,46.00,0.00,2331031
2021-04-05,15.80,5.90,10.87,56.54,31.00,0.00,2331031
2021-04-06,16.50,5.20,11.48,61.92,39.00,0.00,2331031
2021-04-07,16.00,5.90,12.05,47.04,29.00,0.00,2331031
2021-04-08,17.30,4.80,11.32,39.33,21.00,0.00,2331031
2021-04-09,17.30,6.30,11.59,49.46,26.00,0.00,2331031
2021-04-10,15.70,4.50,9.58,77.00,49.00,0.00,2331031
2021-04-11,18.60,11.10,14.28,49.92,30.00,0.00,2331031
2021-04-12,17.40,10.20,12.07,87.62,45.00,30.90,2331031
2021-04-13,12.10,2.60,7.63,62.83,39.00,0.00,2331031
2021-04-14,10.90,5.50,8.47,77.83,40.00,0.00,2331031
2021-04-15,13.60,5.50,10.41,67.46,48.00,0.00,2331031
2021-04-16,14.50,3.90,8.94,79.62,46.00,2.50,2331031
2021-04-17,14.10,6.30,9.56,58.42,26.00,0.00,2331031
2021-04-18,13.90,3.60,9.69,70.58,49.00,0.00,2331031
2021-04-19,14.60,5.30,10.39,81.58,56.00,0.00,2331031
2021-04-20,17.50,6.90,12.12,62.50,33.00,0.00,2331031
2021-04-21,24.80,13.90,18.27,46.42,31.00,0.00,2331031
2021-04-22,24.90,15.20,19.10,45.04,25.00,0.00,2331031
2021-04-23,21.80,14.20,17.45,47.54,30.00,0.00,2331031
2021-04-24,20.40,10.40,15.50,64.50,38.00,0.00,2331031
2021-04-25,21.70,10.60,16.42,56.17,35.00,0.00,2331031
2021-04-26,18.10,8.70,13.28,74.17,50.00,0.00,2331031
2021-04-27,17.90,10.00,13.23,81.79,45.00,9.50,2331031
2021-04-28,15.90,8.60,11.89,74.38,52.00,0.00,2331031
2021-04-29,17.60,8.10,12.65,72.71,40.00,15.10,2331031
2021-04-30,13.30,8.00,10.65,88.62,66.00,0.70,2331031
2021-05-01,14.20,7.90,10.10,78.00,59.00,3.40,2331031
2021-05-02,16.90,6.70,11.97,78.21,49.00,0.00,2331031
2021-05-03,16.80,9.20,12.53,63.92,33.00,2.30,2331031
2021-05-04,14.70,9.80,12.65,95.92,86.00,44.60,2331031
2021-05-05,16.70,6.90,12.17,67.25,44.00,0.00,2331031
2021-05-06,19.90,13.60,16.92,44.33,27.00,1.80,2331031
2021-05-07,16.50,8.10,12.50,76.29,51.00,0.20,2331031
2021-05-08,17.80,10.30,13.97,65.38,44.00,0.00,2331031
2021-05-09,20.70,9.60,15.37,53.12,31.00,0.00,2331031
2021-05-10,17.30,9.30,12.61,79.58,55.00,0.00,2331031
2021-05-11,25.90,15.70,20.22,37.25,24.00,0.00,2331031
2021-05-12,25.20,13.30,19.40,62.33,30.00,0.00,2331031
2021-05-13,25.70,15.10,19.99,75.38,49.00,0.00,2331031
2021-05-14,27.80,16.80,21.11,76.38,51.00,0.00,2331031
