date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,1.50,-6.20,-2.69,61.17,40.00,0.00,2304066
2021-01-02,-1.40,-8.40,-4.47,48.50,40.00,0.00,2304066
2021-01-03,-1.30,-8.20,-4.77,49.54,35.00,0.00,2304066
2021-01-04,0.40,-5.10,-1.65,63.25,42.00,0.00,2304066
2021-01-05,-2.90,-11.30,-6.96,53.04,36.00,0.00,2304066
2021-01-06,-2.50,-14.70,-7.74,62.58,21.00,4.00,2304066
2021-01-07,-11.30,-16.70,-13.98,54.42,48.00,0.00,2304066
2021-01-08,-9.90,-15.50,-13.13,50.54,42.00,0.00,2304066
2021-01-09,-7.30,-13.40,-10.49,58.25,40.00,0.00,2304066
2021-01-10,-2.90,-9.80,-6.38,59.96,42.00,0.00,2304066
2021-01-11,-3.10,-8.30,-5.30,68.29,49.00,0.00,2304066
2021-01-12,0.40,-3.20,-1.35,94.04,74.00,3.00,2304066
2021-01-13,6.10,-11.40,0.99,76.79,57.00,0.00,2304066
2021-01-14,7.70,0.50,3.71,53.17,29.00,0.00,2304066
2021-01-15,10.40,-5.10,1.78,82.00,73.00,0.00,2304066
2021-01-16,-2.10,-9.60,-5.62,59.33,52.00,0.00,2304066
2021-01-17,-0.90,-5.10,-2.36,72.08,33.00,0.00,2304066
2021-01-18,1.80,-10.60,-4.81,52.04,38.00,0.00,2304066
2021-01-19,-1.60,-7.30,-4.90,51.96,34.00,0.00,2304066
2021-01-20,7.30,-0.30,3.69,43.33,25.00,0.00,2304066
2021-01-21,8.20,3.60,5.30,91.46,47.00,13.00,2304066
2021-01-22,6.90,2.90,5.70,92.54,73.00,0.00,2304066
2021-01-23,11.90,1.70,7.78,65.21,52.00,0.00,2304066
2021-01-24,12.10,2.40,6.33,76.29,55.00,0.00,2304066
2021-01-25,14.10,3.80,6.94,78.25,51.00,0.00,2304066
2021-01-26,5.70,-1.40,2.52,80.88,35.00,0.00,2304066
2021-01-27,5.30,-0.90,1.40,56.21,26.00,0.00,2304066
2021-01-28,1.60,-9.80,-5.48,54.75,41.00,2.00,2304066
2021-01-29,-1.80,-7.90,-5.59,54.96,33.00,0.00,2304066
2021-01-30,5.40,-3.80,-0.04,82.21,65.00,0.00,2304066
2021-01-31,9.70,2.80,7.15,72.33,40.00,0.50,2304066
2021-02-01,7.50,-6.60,0.62,68.88,39.00,0.00,2304066
2021-02-02,-2.80,-8.80,-5.59,59.50,32.00,0.00,2304066
2021-02-03,1.20,-5.90,-1.65,69.08,40.00,4.00,2304066
2021-02-04,0.00,-4.10,-2.50,59.21,36.00,0.00,2304066
2021-02-05,6.20,0.20,3.40,81.25,75.00,0.00,2304066
2021-02-06,8.20,1.40,5.76,95.08,89.00,0.00,2304066
2021-02-07,6.70,-4.30,0.14,61.79,42.00,0.00,2304066
2021-02-08,0.60,-5.50,-2.77,49.12,33.00,0.00,2304066
2021-02-09,3.30,-2.00,0.38,68.00,46.00,0.00,2304066
2021-02-10,7.10,0.20,3.43,91.96,78.00,0.00,2304066
2021-02-11,9.00,-0.70,3.71,87.50,64.00,0.00,2304066
2021-02-12,11.20,-1.90,3.98,87.88,57.00,0.00,2304066
2021-02-13,10.60,0.00,5.57,90.88,63.00,0.00,2304066
2021-02-14,11.50,2.30,6.83,80.17,50.00,0.00,2304066
2021-02-15,1.90,-6.30,-2.26,57.12,44.00,0.00,2304066
2021-02-16,-1.50,-9.00,-5.59,57.33,35.00,1.00,2304066
