date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.50,-9.60,-4.13,54.17,37.00,0.00,2308088
2021-01-02,-1.10,-10.20,-5.95,48.04,27.00,0.00,2308088
2021-01-03,-1.50,-9.10,-5.62,49.71,28.00,0.00,2308088
2021-01-04,0.00,-6.80,-2.34,61.29,42.00,0.00,2308088
2021-01-05,-2.30,-13.10,-8.43,49.25,29.00,0.00,2308088
2021-01-06,-1.90,-16.10,-8.33,54.50,24.00,0.50,2308088
2021-01-07,-10.90,-18.80,-14.90,47.46,36.00,0.00,2308088
2021-01-08,-10.10,-17.50,-14.33,50.08,38.00,0.00,2308088
2021-01-09,-6.80,-14.00,-11.04,55.25,36.00,0.00,2308088
2021-01-10,-3.50,-11.60,-7.34,59.25,34.00,0.00,2308088
2021-01-11,-3.40,-8.40,-5.92,67.83,49.00,0.00,2308088
2021-01-12,1.30,-2.60,-0.44,93.29,67.00,0.50,2308088
2021-01-13,8.30,-4.90,1.01,73.67,49.00,0.00,2308088
2021-01-14,7.50,0.40,5.01,55.67,27.00,0.00,2308088
2021-01-15,9.90,-7.50,0.50,79.42,68.00,0.00,2308088
2021-01-16,-2.10,-12.00,-7.24,55.42,44.00,0.00,2308088
2021-01-17,-1.40,-6.40,-3.16,73.25,33.00,0.00,2308088
2021-01-18,1.10,-13.60,-6.47,49.88,29.00,0.00,2308088
2021-01-19,-0.90,-8.10,-5.58,46.46,18.00,0.00,2308088
2021-01-20,7.30,-0.80,4.05,46.04,23.00,0.00,2308088
2021-01-21,7.70,3.60,4.86,89.58,45.00,9.00,2308088
2021-01-22,6.50,2.00,4.65,90.12,78.00,0.00,2308088
2021-01-23,11.60,0.00,6.62,71.96,57.00,0.00,2308088
2021-01-24,12.60,3.20,6.71,77.67,46.00,0.00,2308088
2021-01-25,13.10,3.80,7.55,76.25,50.00,0.00,2308088
2021-01-26,6.70,-2.80,1.90,73.42,35.00,0.00,2308088
2021-01-27,6.10,-1.50,1.25,48.50,20.00,0.00,2308088
2021-01-28,1.30,-11.30,-6.17,49.04,37.00,2.50,2308088
2021-01-29,-2.50,-9.40,-5.83,47.04,30.00,0.00,2308088
2021-01-30,5.60,-3.30,-0.02,76.42,46.00,0.00,2308088
2021-01-31,9.90,3.10,7.77,70.96,39.00,0.00,2308088
2021-02-01,7.70,-8.40,0.03,63.38,37.00,0.00,2308088
2021-02-02,-2.50,-10.50,-6.18,53.29,31.00,0.00,2308088
2021-02-03,0.80,-9.00,-2.39,69.12,42.00,2.50,2308088
2021-02-04,0.60,-5.00,-2.08,60.00,33.00,0.00,2308088
2021-02-05,6.20,1.30,4.37,79.88,71.00,0.00,2308088
2021-02-06,8.20,1.90,5.91,90.92,76.00,0.00,2308088
2021-02-07,7.80,-5.80,-0.19,49.08,23.00,0.00,2308088
2021-02-08,1.10,-7.00,-3.50,46.92,29.00,0.00,2308088
2021-02-09,3.70,-1.20,1.02,65.12,31.00,0.00,2308088
2021-02-10,7.10,0.30,3.94,88.96,72.00,0.00,2308088
2021-02-11,10.50,-0.60,3.64,80.38,55.00,0.00,2308088
2021-02-12,12.70,-1.50,4.45,73.46,34.00,0.00,2308088
2021-02-13,12.20,4.10,6.66,63.75,31.00,0.00,2308088
2021-02-14,12.20,1.20,6.77,70.71,38.00,0.50,2308088
2021-02-15,2.70,-8.00,-3.25,56.83,31.00,0.00,2308088
2021-02-16,-0.90,-10.10,-6.12,50.46,29.00,0.50,2308088
2021-02-17,-4.30,-9.80,-7.69,43.46,30.00,0.00,2308088
2021-02-18,0.10,-8.10,-4.15,51.38,33.00,0.00,2308088
2021-02-19,8.00,0.50,5.78,79.46,56.00,0.00,2308088
2021-02-20,12.90,4.20,8.33,65.21,25.00,0.00,2308088
2021-02-21,15.70,6.30,10.84,75.21,56.00,0.00,2308088
2021-02-22,12.60,-4.40,3.64,43.04,25.00,0.00,2308088
2021-02-23,5.20,-4.00,-0.23,35.50,20.00,0.00,2308088
2021-02-24,8.20,-1.10,1.80,48.17,13.00,0.00,2308088
2021-02-25,7.70,-1.50,2.87,44.04,31.00,0.00,2308088
2021-02-26,15.70,0.40,7.61,46.92,15.00,0.00,2308088
2021-02-27,15.30,3.10,9.07,52.38,33.00,0.00,2308088
2021-02-28,10.30,4.50,7.44,62.29,40.00,20.00,2308088
2021-03-01,6.40,-0.90,1.79,90.92,69.00,38.00,2308088
2021-03-02,6.60,-1.60,2.04,78.67,47.00,0.00,2308088
2021-03-03,8.60,1.40,5.26,67.50,32.00,0.00,2308088
2021-03-04,12.50,1.70,6.80,75.21,50.00,0.00,2308088
2021-03-05,14.00,2.90,7.58,76.17,52.00,0.00,2308088
2021-03-06,12.00,0.80,5.47,65.92,50.00,0.00,2308088
2021-03-07,11.30,-0.50,4.55,75.17,47.00,0.00,2308088
2021-03-08,11.20,-0.20,4.75,67.67,43.00,0.00,2308088
2021-03-09,11.20,0.80,5.13,74.75,37.00,0.00,2308088
2021-03-10,15.70,1.40,6.88,70.25,27.00,0.00,2308088
2021-03-11,14.90,7.00,9.42,54.17,31.00,0.00,2308088
2021-03-12,14.10,2.60,8.28,66.58,44.00,0.00,2308088
2021-03-13,14.00,2.80,7.23,77.42,45.00,0.00,2308088
2021-03-14,11.80,3.00,7.24,82.25,65.00,0.00,2308088
2021-03-15,14.60,4.00,10.03,65.75,43.00,1.00,2308088
2021-03-16,11.60,-0.20,5.53,47.92,26.00,0.00,2308088
2021-03-17,15.00,2.30,7.30,59.71,26.00,0.00,2308088
2021-03-18,16.00,8.10,11.13,57.04,37.00,0.00,2308088
2021-03-19,18.30,8.90,13.29,54.71,37.00,0.00,2308088
2021-03-20,9.10,3.30,6.57,88.38,75.00,4.50,2308088
2021-03-21,9.60,-0.20,4.38,59.08,42.00,0.00,2308088
2021-03-22,11.20,2.30,6.27,72.08,38.00,0.00,2308088
2021-03-23,13.60,7.00,9.60,70.33,51.00,0.00,2308088
2021-03-24,14.70,6.50,10.54,72.04,50.00,0.00,2308088
2021-03-25,15.60,5.10,8.65,85.88,59.00,0.00,2308088
2021-03-26,19.10,9.10,13.21,54.96,29.00,0.00,2308088
2021-03-27,15.20,7.30,10.91,93.25,67.00,31.00,2308088
2021-03-28,9.80,7.50,8.53,94.04,71.00,1.00,2308088
2021-03-29,13.50,2.30,7.75,70.92,44.00,0.00,2308088
2021-03-30,17.60,4.00,9.73,56.25,18.00,0.00,2308088
2021-03-31,21.20,9.20,14.22,49.17,14.00,0.00,2308088
2021-04-01,22.90,13.50,17.88,30.08,16.00,0.00,2308088
2021-04-02,21.30,14.50,17.87,48.71,25.00,0.50,2308088
2021-04-03,14.10,9.00,11.39,93.33,66.00,53.00,2308088
2021-04-04,17.10,4.90,10.56,61.33,43.00,0.00,2308088
2021-04-05,16.80,6.80,11.14,53.46,27.00,0.00,2308088
2021-04-06,17.50,5.50,11.77,59.83,35.00,0.00,2308088
2021-04-07,18.80,4.60,11.65,47.12,31.00,0.00,2308088
2021-04-08,17.60,4.70,11.49,36.21,22.00,0.00,2308088
2021-04-09,19.30,7.60,12.78,43.33,24.00,0.00,2308088
2021-04-10,16.80,5.90,10.86,63.71,25.00,0.00,2308088
2021-04-11,19.80,11.80,15.35,48.33,28.00,0.00,2308088
2021-04-12,18.10,10.40,12.23,85.75,42.00,27.50,2308088
2021-04-13,11.90,1.50,7.12,59.12,45.00,0.00,2308088
2021-04-14,12.20,5.40,8.77,70.88,35.00,0.00,2308088
2021-04-15,15.30,6.50,11.25,62.96,37.00,0.00,2308088
2021-04-16,15.00,4.80,9.19,73.46,49.00,0.50,2308088
2021-04-17,13.30,4.00,8.93,54.42,28.00,0.00,2308088
2021-04-18,14.70,5.40,9.84,69.17,45.00,0.00,2308088
2021-04-19,16.20,7.70,11.62,74.96,53.00,0.00,2308088
2021-04-20,19.80,8.00,13.19,62.62,29.00,0.00,2308088
2021-04-21,26.60,14.20,19.23,42.62,26.00,0.00,2308088
2021-04-22,26.40,15.80,19.68,43.33,24.00,0.00,2308088
2021-04-23,21.80,14.60,18.26,48.38,28.00,0.00,2308088
2021-04-24,20.70,10.00,15.49,64.67,34.00,0.00,2308088
2021-04-25,22.70,12.70,17.10,48.21,32.00,0.00,2308088
2021-04-26,19.60,9.80,14.10,66.50,45.00,0.00,2308088
2021-04-27,18.20,10.30,13.92,77.25,47.00,4.50,2308088
2021-04-28,16.50,9.00,12.48,73.21,45.00,0.00,2308088
2021-04-29,18.70,8.40,13.07,70.92,38.00,28.00,2308088
2021-04-30,13.10,8.60,10.73,82.79,65.00,0.00,2308088
2021-05-01,14.60,5.70,9.89,79.54,54.00,2.50,2308088
2021-05-02,17.40,7.50,11.98,72.67,42.00,0.00,2308088
2021-05-03,18.80,9.90,13.63,58.62,31.00,1.50,2308088
2021-05-04,16.60,8.50,13.24,95.12,78.00,30.00,2308088
2021-05-05,17.50,9.70,13.55,64.42,34.00,0.00,2308088
2021-05-06,21.10,15.30,17.48,41.12,31.00,0.00,2308088
2021-05-07,16.10,9.40,12.64,74.88,56.00,7.00,2308088
2021-05-08,19.50,8.20,13.39,66.04,37.00,0.00,2308088
2021-05-09,20.80,9.20,14.71,57.25,30.00,0.00,2308088
2021-05-10,18.30,8.00,12.41,78.58,59.00,0.00,2308088
2021-05-11,25.50,16.90,20.96,32.42,25.00,0.00,2308088
2021-05-12,27.10,14.70,20.11,58.04,26.00,0.00,2308088
