date,humidity,wind_speed,temperature,precipitation,region_id
2021-01-01,60.17,1.42,-2.69,0.00,2304053
2021-01-02,50.71,2.15,-4.47,0.00,2304053
2021-01-03,58.17,1.22,-4.77,0.00,2304053
2021-01-04,58.08,1.74,-1.65,0.00,2304053
2021-01-05,51.29,1.91,-6.96,0.00,2304053
2021-01-06,51.29,4.00,-7.74,4.00,2304053
2021-01-07,44.62,3.00,-14.00,0.00,2304053
2021-01-08,53.54,2.17,-13.13,0.00,2304053
2021-01-09,61.17,1.38,-10.49,0.00,2304053
2021-01-10,66.54,1.06,-6.38,0.00,2304053
2021-01-11,72.58,0.85,-5.30,0.00,2304053
2021-01-12,85.58,1.26,-1.35,3.00,2304053
2021-01-13,78.00,1.10,-0.09,0.00,2304053
2021-01-14,55.08,1.41,3.68,0.00,2304053
2021-01-15,74.62,2.65,1.78,0.00,2304053
2021-01-16,59.25,2.34,-5.66,0.00,2304053
2021-01-17,68.38,1.49,-2.36,0.00,2304053
2021-01-18,52.08,3.05,-4.81,0.00,2304053
2021-01-19,59.33,0.80,-4.90,0.00,2304053
2021-01-20,49.29,1.18,3.69,0.00,2304053
2021-01-21,87.75,1.00,5.30,13.00,2304053
2021-01-22,90.71,1.08,5.70,0.00,2304053
2021-01-23,62.79,1.93,7.78,0.00,2304053
2021-01-24,73.50,1.16,6.33,0.00,2304053
2021-01-25,70.12,1.25,6.94,0.00,2304053
2021-01-26,84.50,1.38,2.52,0.00,2304053
2021-01-27,55.46,1.72,1.40,0.00,2304053
2021-01-28,47.42,5.38,-5.48,2.00,2304053
2021-01-29,50.33,2.31,-5.59,0.00,2304053
2021-01-30,77.25,1.29,-0.04,0.00,2304053
2021-01-31,64.33,1.65,7.15,0.50,2304053
2021-02-01,61.04,3.03,0.62,0.00,2304053
2021-02-02,55.92,2.23,-5.59,0.00,2304053
2021-02-03,61.58,2.49,-1.65,4.00,2304053
2021-02-04,61.42,1.49,-2.50,0.00,2304053
2021-02-05,68.88,1.65,3.40,0.00,2304053
2021-02-06,83.17,1.50,5.76,0.00,2304053
2021-02-07,52.33,3.27,0.14,0.00,2304053
2021-02-08,49.42,2.52,-2.77,0.00,2304053
2021-02-09,64.46,1.46,0.38,0.00,2304053
2021-02-10,82.79,1.12,3.43,0.00,2304053
2021-02-11,79.38,1.03,3.71,0.00,2304053
2021-02-12,73.96,1.20,3.98,0.00,2304053
2021-02-13,74.38,1.01,5.57,0.00,2304053
2021-02-14,63.50,1.62,6.83,0.00,2304053
2021-02-15,56.46,4.06,-2.22,0.00,2304053
2021-02-16,50.46,4.16,-5.59,1.00,2304053
2021-02-17,43.04,5.04,-7.52,0.00,2304053
2021-02-18,55.21,2.04,-3.69,0.00,2304053
2021-02-19,73.04,1.97,4.90,0.00,2304053
2021-02-20,63.00,1.48,7.68,0.00,2304053
2021-02-21,67.08,1.82,10.18,0.00,2304053
2021-02-22,41.67,3.14,3.72,0.00,2304053
2021-02-23,34.58,1.96,0.20,0.00,2304053
2021-02-24,54.79,1.27,2.09,0.00,2304053
2021-02-25,53.75,1.01,3.37,0.00,2304053
2021-02-26,42.21,1.46,8.00,0.00,2304053
2021-02-27,51.71,2.29,8.69,0.00,2304053
2021-02-28,61.12,1.20,7.30,18.50,2304053
2021-03-01,86.88,1.81,2.72,41.50,2304053
2021-03-02,76.42,1.80,2.26,0.00,2304053
2021-03-03,68.75,1.27,4.54,0.00,2304053
2021-03-04,74.08,1.13,7.02,0.00,2304053
2021-03-05,76.12,1.60,7.40,0.00,2304053
2021-03-06,61.62,1.80,6.36,0.00,2304053
2021-03-07,75.83,1.13,4.45,0.00,2304053
2021-03-08,72.50,1.35,4.85,0.00,2304053
2021-03-09,72.92,1.43,5.35,0.00,2304053
2021-03-10,71.54,1.32,7.12,0.00,2304053
2021-03-11,54.54,1.32,9.36,0.00,2304053
2021-03-12,66.25,1.24,9.03,0.00,2304053
2021-03-13,72.21,1.22,7.33,0.00,2304053
2021-03-14,82.17,1.03,5.95,0.00,2304053
2021-03-15,61.08,2.05,10.28,0.50,2304053
2021-03-16,55.67,2.03,6.12,0.00,2304053
2021-03-17,61.50,1.34,6.79,0.00,2304053
2021-03-18,55.00,1.40,10.64,0.00,2304053
2021-03-19,51.12,1.82,12.98,0.00,2304053
2021-03-20,83.29,2.32,6.81,3.50,2304053
2021-03-21,57.17,3.39,5.47,0.00,2304053
2021-03-22,70.08,2.16,6.09,0.00,2304053
2021-03-23,63.67,2.22,9.22,0.00,2304053
2021-03-24,66.35,1.46,10.50,0.00,2304053
2021-03-25,77.21,1.47,7.88,0.00,2304053
2021-03-26,59.92,1.11,11.91,0.00,2304053
2021-03-27,83.29,2.34,10.72,31.00,2304053
2021-03-28,90.21,2.12,8.50,1.00,2304053
2021-03-29,70.04,1.19,7.85,0.00,2304053
2021-03-30,54.79,1.50,9.63,0.00,2304053
2021-03-31,54.67,1.44,13.57,0.00,2304053
2021-04-01,24.50,2.78,18.11,0.00,2304053
2021-04-02,48.92,1.34,17.54,0.50,2304053
