date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,1.20,-5.70,-2.42,61.21,46.00,0.00,2332032
2021-01-02,-1.10,-5.20,-3.80,50.33,35.00,0.00,2332032
2021-01-03,-2.20,-6.80,-4.27,55.00,41.00,0.00,2332032
2021-01-04,-0.20,-6.10,-2.50,64.17,45.00,0.00,2332032
2021-01-05,-3.10,-8.40,-6.55,56.33,36.00,0.00,2332032
2021-01-06,-1.60,-14.30,-8.12,64.92,37.00,0.50,2332032
2021-01-07,-11.40,-15.50,-13.47,65.38,56.00,0.00,2332032
2021-01-08,-10.70,-13.00,-11.88,60.50,47.00,0.00,2332032
2021-01-09,-5.70,-11.90,-8.82,62.38,46.00,0.00,2332032
2021-01-10,-3.90,-8.60,-5.92,64.08,52.00,0.00,2332032
2021-01-11,1.40,-8.10,-3.96,72.96,53.00,0.00,2332032
2021-01-12,3.50,-2.50,1.44,69.79,48.00,0.00,2332032
2021-01-13,6.60,-5.80,1.23,66.33,47.00,0.00,2332032
2021-01-14,4.70,-1.30,1.94,67.08,39.00,0.00,2332032
2021-01-15,6.80,-7.00,-0.83,79.58,71.00,0.00,2332032
2021-01-16,-2.40,-7.40,-5.90,57.67,49.00,0.00,2332032
2021-01-17,1.50,-5.50,-2.05,72.04,44.00,0.00,2332032
2021-01-18,0.90,-12.50,-6.17,55.75,42.00,0.00,2332032
2021-01-19,-4.00,-8.60,-5.65,51.75,32.00,0.00,2332032
2021-01-20,3.00,-2.90,1.08,58.38,41.00,0.00,2332032
2021-01-21,3.90,1.50,2.65,93.00,64.00,7.00,2332032
2021-01-22,6.50,2.80,4.05,90.83,75.00,0.00,2332032
2021-01-23,8.40,2.50,5.31,70.46,62.00,0.00,2332032
2021-01-24,9.70,2.20,5.26,72.88,55.00,0.00,2332032
2021-01-25,9.10,1.90,4.68,81.83,61.00,0.00,2332032
2021-01-26,5.50,-2.40,2.65,65.96,33.00,0.00,2332032
2021-01-27,4.30,-2.00,1.31,57.71,19.00,0.50,2332032
2021-01-28,1.40,-10.00,-5.90,52.88,45.00,0.00,2332032
2021-01-29,0.60,-8.30,-3.50,69.50,44.00,0.00,2332032
2021-01-30,4.50,-4.60,-0.73,77.00,61.00,0.00,2332032
2021-01-31,6.10,1.80,4.28,87.75,71.00,0.00,2332032
2021-02-01,6.50,-7.50,-0.90,61.29,40.00,0.00,2332032
2021-02-02,-2.10,-9.80,-6.17,65.54,40.00,0.00,2332032
2021-02-03,3.40,-5.60,-0.66,67.00,48.00,2.50,2332032
2021-02-04,2.90,-3.70,-0.80,72.88,33.00,0.00,2332032
2021-02-05,6.90,2.80,4.00,93.46,79.00,0.00,2332032
2021-02-06,6.10,-1.00,3.05,98.42,93.00,0.00,2332032
2021-02-07,5.40,-4.70,-0.29,48.17,31.00,0.00,2332032
2021-02-08,0.30,-6.70,-2.46,48.88,32.00,0.00,2332032
2021-02-09,4.60,0.40,1.99,79.96,41.00,0.00,2332032
2021-02-10,6.80,0.20,3.35,92.62,75.00,0.00,2332032
2021-02-11,6.40,-2.50,1.05,92.88,75.00,0.00,2332032
2021-02-12,6.90,-2.10,1.28,90.75,67.00,0.00,2332032
2021-02-13,5.80,0.00,2.83,88.92,75.00,0.00,2332032
2021-02-14,7.20,-0.20,4.63,82.00,64.00,0.00,2332032
2021-02-15,0.50,-6.30,-2.82,57.46,47.00,0.00,2332032
2021-02-16,-1.70,-9.40,-5.86,57.00,38.00,1.00,2332032
2021-02-17,-4.90,-8.10,-7.07,51.92,44.00,0.00,2332032
2021-02-18,0.90,-7.40,-3.17,61.88,36.00,0.00,2332032
2021-02-19,6.50,0.40,3.65,91.75,77.00,0.00,2332032
2021-02-20,7.50,-0.50,2.87,94.00,76.00,0.00,2332032
2021-02-21,8.60,2.80,5.47,92.58,78.00,0.00,2332032
2021-02-22,9.80,-3.00,2.14,44.12,26.00,0.00,2332032
2021-02-23,2.80,-2.40,-0.41,41.50,31.00,0.00,2332032
2021-02-24,3.60,-1.50,1.41,46.92,19.00,0.00,2332032
2021-02-25,5.50,-0.20,3.16,40.71,18.00,0.00,2332032
2021-02-26,12.40,2.20,6.65,48.42,25.00,0.00,2332032
2021-02-27,12.00,-1.00,5.17,70.08,42.00,0.00,2332032
2021-02-28,7.20,3.80,5.41,71.83,56.00,23.00,2332032
2021-03-01,4.60,1.00,2.53,86.83,72.00,15.50,2332032
2021-03-02,5.20,-3.20,1.27,70.42,46.00,0.00,2332032
2021-03-03,6.20,-1.40,3.00,87.25,63.00,0.00,2332032
2021-03-04,7.70,-0.50,3.73,84.33,69.00,0.00,2332032
2021-03-05,9.50,1.90,5.29,83.38,66.00,0.00,2332032
2021-03-06,9.40,1.10,4.48,73.71,64.00,0.00,2332032
2021-03-07,6.70,-2.20,3.02,81.83,59.00,0.00,2332032
2021-03-08,7.60,-1.00,3.41,73.83,58.00,0.00,2332032
2021-03-09,8.50,0.00,4.33,80.00,35.00,0.00,2332032
2021-03-10,10.30,0.80,5.08,76.58,58.00,0.00,2332032
2021-03-11,11.40,6.20,8.13,67.67,47.00,0.00,2332032
2021-03-12,14.50,5.80,8.96,67.33,47.00,0.00,2332032
2021-03-13,10.10,3.50,6.33,83.25,58.00,0.00,2332032
2021-03-14,10.10,3.10,5.12,94.12,69.00,0.00,2332032
2021-03-15,8.80,4.10,7.05,73.79,38.00,0.00,2332032
2021-03-16,11.20,0.20,5.41,47.96,32.00,0.00,2332032
2021-03-17,8.30,1.80,5.85,59.17,45.00,0.00,2332032
2021-03-18,10.80,4.80,8.45,66.12,43.00,0.00,2332032
2021-03-19,11.70,6.60,8.74,67.08,48.00,1.00,2332032
2021-03-20,9.20,5.00,5.93,86.54,79.00,1.50,2332032
2021-03-21,7.60,3.90,5.40,62.04,48.00,0.00,2332032
2021-03-22,8.30,2.40,6.42,83.92,65.00,0.00,2332032
2021-03-23,10.30,7.00,8.05,87.38,77.00,0.00,2332032
2021-03-24,10.10,6.70,8.19,89.17,77.00,0.00,2332032
2021-03-25,8.80,3.10,5.04,96.88,86.00,0.00,2332032
2021-03-26,9.40,4.30,6.88,86.38,74.00,0.50,2332032
2021-03-27,9.20,7.10,8.39,97.71,86.00,34.00,2332032
2021-03-28,10.20,6.90,7.96,95.58,84.00,0.50,2332032
2021-03-29,11.60,2.60,6.98,78.12,52.00,0.00,2332032
2021-03-30,12.60,2.40,8.80,56.75,34.00,0.00,2332032
2021-03-31,15.60,9.90,12.75,44.58,27.00,0.00,2332032
2021-04-01,20.60,10.60,14.20,54.25,27.00,0.00,2332032
2021-04-02,17.40,10.70,14.52,58.29,38.00,8.00,2332032
2021-04-03,11.60,9.70,10.55,91.17,80.00,32.00,2332032
2021-04-04,14.80,4.90,10.22,56.50,38.00,0.00,2332032
2021-04-05,13.10,7.70,10.09,58.71,42.00,0.00,2332032
2021-04-06,16.00,8.10,11.28,64.21,46.00,0.00,2332032
2021-04-07,16.40,7.70,11.62,48.96,34.00,0.00,2332032
2021-04-08,16.20,7.80,11.18,45.79,26.00,0.00,2332032
2021-04-09,15.80,8.30,11.50,59.21,33.00,0.00,2332032
2021-04-10,12.30,5.40,8.90,87.38,68.00,0.00,2332032
2021-04-11,14.70,10.60,12.22,54.08,36.00,0.00,2332032
2021-04-12,13.00,8.50,10.71,88.92,68.00,21.50,2332032
2021-04-13,10.10,5.50,7.46,57.54,42.00,0.00,2332032
2021-04-14,10.90,5.30,9.11,77.88,42.00,0.00,2332032
2021-04-15,11.50,5.80,9.67,84.42,74.00,0.00,2332032
2021-04-16,13.60,6.40,10.27,67.62,46.00,0.00,2332032
2021-04-17,12.40,7.10,9.41,62.67,38.00,0.00,2332032
2021-04-18,13.40,5.50,9.83,74.33,50.00,0.00,2332032
2021-04-19,12.90,6.40,10.57,87.79,72.00,0.00,2332032
2021-04-20,13.40,7.50,10.76,87.21,73.00,0.00,2332032
2021-04-21,20.10,12.40,15.43,50.46,27.00,0.00,2332032
2021-04-22,18.90,14.00,16.46,56.83,43.00,0.00,2332032
2021-04-23,18.60,13.70,15.83,64.46,48.00,0.00,2332032
2021-04-24,19.20,7.90,13.92,73.17,51.00,0.50,2332032
2021-04-25,20.60,11.60,15.59,68.42,47.00,0.00,2332032
2021-04-26,14.20,9.40,12.17,86.04,79.00,0.00,2332032
2021-04-27,13.80,9.60,11.64,91.25,75.00,1.00,2332032
2021-04-28,13.50,10.30,11.85,86.46,68.00,0.00,2332032
2021-04-29,17.60,9.00,12.35,79.71,51.00,7.50,2332032
2021-04-30,11.90,8.80,10.24,77.38,67.00,0.00,2332032
2021-05-01,13.80,8.00,10.37,76.21,59.00,5.50,2332032
2021-05-02,15.30,8.00,11.83,76.42,57.00,0.00,2332032
2021-05-03,12.90,10.60,11.71,83.29,69.00,3.00,2332032
2021-05-04,13.40,10.00,11.85,94.33,71.00,40.50,2332032
2021-05-05,15.30,11.50,13.29,68.17,53.00,0.00,2332032
2021-05-06,14.90,13.00,13.79,75.17,64.00,0.00,2332032
2021-05-07,15.30,11.00,13.05,72.79,55.00,0.00,2332032
2021-05-08,15.80,10.60,13.34,73.96,49.00,0.00,2332032
2021-05-09,18.20,10.00,13.88,64.00,42.00,16.00,2332032
2021-05-10,15.30,11.50,12.60,86.46,77.00,2.00,2332032
2021-05-11,20.10,13.40,16.90,64.88,49.00,0.50,2332032
2021-05-12,22.30,13.60,18.48,55.75,29.00,0.00,2332032
2021-05-13,24.10,15.50,18.89,78.12,55.00,0.00,2332032
2021-05-14,21.80,16.00,18.00,82.00,68.00,0.00,2332032
