date,humidity,wind_speed,temperature,precipitation,region_id
2021-01-01,60.71,1.38,-2.78,0.00,2301063
2021-01-02,48.88,1.75,-4.22,0.00,2301063
2021-01-03,48.04,1.48,-4.21,0.00,2301063
2021-01-04,61.38,2.07,-2.02,0.00,2301063
2021-01-05,55.29,1.90,-7.00,0.00,2301063
2021-01-06,59.88,3.63,-7.76,1.00,2301063
2021-01-07,52.54,3.60,-13.65,0.00,2301063
2021-01-08,49.96,2.58,-12.65,0.00,2301063
2021-01-09,57.04,1.46,-9.81,0.00,2301063
2021-01-10,59.42,1.19,-6.15,0.00,2301063
2021-01-11,70.88,0.96,-4.58,0.00,2301063
2021-01-12,86.79,1.41,-0.29,1.00,2301063
2021-01-13,65.83,2.11,2.29,0.00,2301063
2021-01-14,46.08,2.20,4.01,0.00,2301063
2021-01-15,78.04,2.98,0.80,0.00,2301063
2021-01-16,56.17,2.23,-5.81,0.00,2301063
2021-01-17,64.38,1.48,-1.90,0.00,2301063
2021-01-18,48.67,3.09,-5.30,0.00,2301063
2021-01-19,47.96,1.10,-5.00,0.00,2301063
2021-01-20,39.12,0.98,3.07,0.00,2301063
2021-01-21,89.25,0.65,4.40,13.50,2301063
2021-01-22,88.08,1.78,4.94,0.00,2301063
2021-01-23,68.96,2.15,5.84,0.00,2301063
2021-01-24,66.92,0.75,6.32,0.00,2301063
2021-01-25,69.75,1.02,6.31,0.00,2301063
2021-01-26,68.54,1.64,2.91,0.00,2301063
2021-01-27,50.12,1.77,1.34,0.00,2301063
2021-01-28,51.25,3.90,-5.47,0.50,2301063
2021-01-29,60.12,2.82,-5.48,0.00,2301063
2021-01-30,72.17,1.20,0.33,0.00,2301063
2021-01-31,71.54,2.21,6.72,0.00,2301063
2021-02-01,63.83,2.98,0.06,0.00,2301063
2021-02-02,60.79,1.75,-5.84,0.00,2301063
2021-02-03,66.79,3.33,-1.30,2.50,2301063
2021-02-04,63.50,1.73,-1.93,0.00,2301063
2021-02-05,81.62,3.52,4.07,0.00,2301063
2021-02-06,91.25,2.05,5.17,0.00,2301063
2021-02-07,55.88,2.77,-0.23,0.00,2301063
2021-02-08,47.00,2.22,-2.62,0.00,2301063
2021-02-09,69.42,1.64,1.02,0.00,2301063
2021-02-10,87.00,1.70,3.78,0.00,2301063
2021-02-11,81.17,0.63,3.38,0.00,2301063
2021-02-12,77.62,0.83,2.57,0.00,2301063
2021-02-13,68.67,0.70,5.01,0.00,2301063
2021-02-14,75.12,1.56,5.54,0.50,2301063
2021-02-15,58.58,2.11,-2.48,0.00,2301063
2021-02-16,56.17,3.53,-5.65,1.50,2301063
2021-02-17,47.96,4.21,-7.43,0.00,2301063
2021-02-18,56.46,2.33,-3.51,0.00,2301063
2021-02-19,80.83,4.15,5.09,0.00,2301063
2021-02-20,75.71,1.40,6.25,0.00,2301063
2021-02-21,71.42,3.75,9.90,0.00,2301063
2021-02-22,50.83,2.96,2.35,0.00,2301063
2021-02-23,41.67,2.20,-0.83,0.00,2301063
2021-02-24,43.12,1.18,1.34,0.00,2301063
2021-02-25,35.12,1.38,3.63,0.00,2301063
2021-02-26,45.83,1.83,6.92,0.00,2301063
2021-02-27,48.92,2.64,8.05,0.00,2301063
2021-02-28,64.42,1.58,6.00,20.50,2301063
2021-03-01,88.08,3.03,1.85,34.50,2301063
2021-03-02,76.08,2.02,1.97,0.00,2301063
2021-03-03,69.83,1.36,3.63,0.00,2301063
2021-03-04,71.58,1.08,6.48,0.00,2301063
2021-03-05,79.38,2.00,6.59,0.00,2301063
2021-03-06,68.71,2.83,5.06,0.00,2301063
2021-03-07,76.79,1.19,4.03,0.00,2301063
2021-03-08,72.12,1.14,3.85,0.00,2301063
