date,humidity,wind_speed,temperature,precipitation,region_id
2021-01-01,56.00,1.38,-3.38,0.00,2309071
2021-01-02,49.92,1.59,-5.70,0.00,2309071
2021-01-03,37.00,1.00,-4.85,0.00,2309071
2021-01-04,57.96,1.90,-2.06,0.00,2309071
2021-01-05,49.25,1.71,-7.79,0.00,2309071
2021-01-06,55.67,2.66,-8.40,0.00,2309071
2021-01-07,46.12,2.84,-14.65,0.00,2309071
2021-01-08,49.38,2.23,-13.90,0.00,2309071
2021-01-09,57.08,1.62,-11.36,0.00,2309071
2021-01-10,64.88,0.71,-7.64,0.00,2309071
2021-01-11,69.83,0.59,-6.77,0.00,2309071
2021-01-12,92.79,1.53,-2.22,0.50,2309071
2021-01-13,81.25,1.17,0.52,0.00,2309071
2021-01-14,58.88,0.92,1.91,0.00,2309071
2021-01-15,79.58,2.05,1.25,0.00,2309071
2021-01-16,56.79,1.75,-6.65,0.00,2309071
2021-01-17,72.50,1.40,-3.51,0.00,2309071
2021-01-18,53.21,2.42,-6.02,0.50,2309071
2021-01-19,51.08,0.63,-6.44,0.00,2309071
2021-01-20,48.67,0.65,1.59,0.00,2309071
2021-01-21,90.17,0.52,4.27,15.00,2309071
2021-01-22,94.12,1.25,4.46,0.00,2309071
2021-01-23,64.42,1.97,6.85,0.00,2309071
2021-01-24,77.75,0.76,4.70,0.00,2309071
2021-01-25,71.88,0.86,6.64,0.00,2309071
2021-01-26,80.12,1.46,2.44,0.50,2309071
2021-01-27,51.88,1.42,0.80,0.00,2309071
2021-01-28,48.29,4.07,-5.96,1.50,2309071
2021-01-29,52.75,1.62,-6.16,0.00,2309071
2021-01-30,77.50,0.78,-1.26,0.00,2309071
2021-01-31,71.38,1.39,6.29,1.00,2309071
2021-02-01,62.96,2.53,0.66,0.00,2309071
2021-02-02,55.04,1.89,-6.03,0.00,2309071
2021-02-03,65.79,2.50,-2.08,1.00,2309071
2021-02-04,60.12,1.32,-3.57,0.00,2309071
2021-02-05,77.92,2.05,3.41,0.00,2309071
2021-02-06,89.96,1.80,6.01,0.00,2309071
2021-02-07,52.33,2.52,0.54,0.00,2309071
2021-02-08,48.62,2.09,-3.39,0.00,2309071
2021-02-09,64.50,1.41,-0.30,0.00,2309071
2021-02-10,87.00,1.31,3.08,0.00,2309071
2021-02-11,81.17,0.63,2.82,0.00,2309071
2021-02-12,75.33,0.83,3.64,0.00,2309071
2021-02-13,68.04,0.63,6.12,0.00,2309071
2021-02-14,65.33,1.30,7.38,1.00,2309071
2021-02-15,58.25,2.74,-2.95,0.00,2309071
2021-02-16,52.46,2.93,-6.00,0.50,2309071
2021-02-17,46.21,3.27,-7.73,0.00,2309071
2021-02-18,56.25,1.48,-4.66,0.00,2309071
2021-02-19,80.29,2.24,4.38,0.00,2309071
2021-02-20,67.08,1.39,6.34,0.00,2309071
2021-02-21,73.96,2.12,9.58,0.00,2309071
2021-02-22,42.54,2.79,4.15,0.00,2309071
2021-02-23,33.71,2.19,0.30,0.00,2309071
2021-02-24,51.29,0.81,1.34,0.00,2309071
2021-02-25,49.96,0.80,2.56,0.00,2309071
2021-02-26,41.79,1.47,7.76,0.00,2309071
2021-02-27,51.42,1.62,7.49,0.00,2309071
2021-02-28,62.04,1.20,7.55,17.50,2309071
2021-03-01,91.12,2.97,2.43,45.00,2309071
2021-03-02,79.67,1.40,1.43,0.00,2309071
2021-03-03,69.75,1.03,3.75,0.00,2309071
2021-03-04,75.83,1.05,5.79,0.00,2309071
2021-03-05,78.67,1.62,7.74,0.00,2309071
2021-03-06,61.04,2.14,6.04,0.00,2309071
2021-03-07,76.00,0.99,4.27,0.00,2309071
2021-03-08,70.92,1.14,4.75,0.00,2309071
2021-03-09,72.88,1.24,5.00,0.00,2309071
2021-03-10,68.21,1.10,7.03,0.00,2309071
2021-03-11,52.25,1.03,9.76,0.00,2309071
2021-03-12,65.96,1.92,9.08,0.00,2309071
2021-03-13,76.17,1.34,7.16,0.00,2309071
2021-03-14,80.67,1.05,7.03,0.00,2309071
2021-03-15,64.96,2.41,10.66,2.00,2309071
2021-03-16,52.00,1.75,5.75,0.00,2309071
2021-03-17,58.17,1.15,7.16,0.00,2309071
2021-03-18,57.46,1.19,11.72,0.00,2309071
2021-03-19,51.92,1.41,13.80,0.00,2309071
2021-03-20,90.21,1.44,6.85,5.00,2309071
2021-03-21,61.25,2.65,5.07,0.50,2309071
2021-03-22,73.33,2.23,5.60,0.00,2309071
2021-03-23,70.38,2.03,8.45,0.00,2309071
2021-03-24,71.08,1.45,10.17,0.00,2309071
2021-03-25,79.25,1.50,9.17,0.00,2309071
2021-03-26,55.71,0.71,12.10,0.00,2309071
2021-03-27,89.71,2.09,11.12,31.00,2309071
2021-03-28,94.54,1.97,8.65,1.00,2309071
2021-03-29,65.21,1.48,8.03,0.00,2309071
2021-03-30,54.29,1.05,9.40,0.00,2309071
2021-03-31,51.12,0.95,13.60,0.00,2309071
2021-04-01,26.79,2.36,18.08,0.00,2309071
2021-04-02,49.88,0.86,17.75,0.00,2309071
2021-04-03,93.96,2.17,12.25,55.00,2309071
2021-04-04,65.25,1.45,10.57,0.00,2309071
2021-04-05,56.42,1.26,11.07,0.00,2309071
2021-04-06,62.71,1.43,11.95,0.00,2309071
2021-04-07,51.29,1.32,11.95,0.00,2309071
2021-04-08,42.21,1.85,11.50,0.00,2309071
2021-04-09,49.08,1.38,12.12,0.00,2309071
2021-04-10,66.54,1.18,10.68,0.00,2309071
2021-04-11,47.58,1.05,15.50,0.00,2309071
2021-04-12,86.54,1.96,12.42,28.00,2309071
2021-04-13,63.33,2.00,8.05,0.00,2309071
2021-04-14,68.96,1.83,8.34,0.00,2309071
2021-04-15,64.79,1.28,11.11,0.00,2309071
2021-04-16,79.08,1.50,8.67,1.00,2309071
2021-04-17,60.29,2.25,9.47,0.00,2309071
2021-04-18,70.96,1.76,9.54,0.00,2309071
2021-04-19,74.42,1.27,11.36,0.00,2309071
2021-04-20,57.62,0.88,13.40,0.00,2309071
2021-04-21,40.83,1.17,19.52,0.00,2309071
2021-04-22,41.62,1.47,20.29,0.00,2309071
2021-04-23,37.75,1.64,18.95,0.00,2309071
2021-04-24,61.71,1.62,15.54,0.00,2309071
2021-04-25,53.83,1.43,15.94,0.00,2309071
2021-04-26,67.50,0.99,14.45,0.00,2309071
2021-04-27,74.75,1.59,14.28,5.50,2309071
2021-04-28,71.38,1.12,12.84,0.00,2309071
2021-04-29,69.58,1.40,13.10,29.00,2309071
2021-04-30,83.62,1.12,11.10,0.00,2309071
2021-05-01,81.46,1.68,10.10,8.50,2309071
2021-05-02,74.17,1.15,11.82,0.00,2309071
2021-05-03,64.21,0.86,13.40,3.00,2309071
2021-05-04,94.17,1.06,13.93,27.00,2309071
2021-05-05,65.46,1.64,12.30,0.00,2309071
2021-05-06,46.96,1.82,16.38,0.00,2309071
2021-05-07,76.58,1.97,12.12,5.50,2309071
2021-05-08,68.42,2.18,14.10,0.00,2309071
2021-05-09,61.83,1.72,14.25,1.50,2309071
2021-05-10,85.62,1.02,11.62,1.50,2309071
2021-05-11,31.21,1.88,20.85,0.00,2309071
2021-05-12,58.33,0.96,19.99,0.00,2309071
2021-05-13,67.25,0.85,20.98,0.00,2309071
2021-05-14,65.58,0.81,22.92,0.00,2309071
2021-05-15,94.71,0.80,20.52,34.50,2309071
2021-05-16,97.58,1.28,16.20,30.50,2309071
2021-05-17,94.78,0.62,14.58,2.50,2309071
2021-05-18,73.96,0.92,16.47,0.00,2309071
