date,temp_max,temp_min,temp_avg,hum_avg,hum_min,aqua_sum,region_id
2021-01-01,0.50,-9.60,-4.13,48.12,29.00,0.00,2308078
2021-01-02,-1.10,-9.80,-5.79,42.21,31.00,0.00,2308078
2021-01-03,-1.50,-9.10,-5.62,36.38,25.00,0.00,2308078
2021-01-04,0.00,-6.80,-2.34,55.50,33.00,0.00,2308078
2021-01-05,-2.30,-13.10,-8.43,44.29,29.00,0.00,2308078
2021-01-06,-1.90,-16.10,-8.33,53.29,16.00,0.50,2308078
2021-01-07,-10.90,-18.80,-14.90,44.58,33.00,0.00,2308078
2021-01-08,-10.10,-17.50,-14.33,42.42,33.00,0.00,2308078
2021-01-09,-6.80,-14.00,-11.04,46.17,34.00,0.00,2308078
2021-01-10,-3.50,-11.60,-7.34,52.50,33.00,0.00,2308078
2021-01-11,-3.40,-8.40,-5.92,58.96,43.00,0.00,2308078
2021-01-12,1.30,-2.60,-0.44,85.12,58.00,0.50,2308078
2021-01-13,8.30,-4.90,1.01,62.12,42.00,0.00,2308078
2021-01-14,7.50,0.40,5.01,39.25,17.00,0.00,2308078
2021-01-15,9.90,-7.50,0.50,77.08,59.00,0.00,2308078
2021-01-16,-2.10,-12.00,-7.24,50.54,41.00,0.00,2308078
2021-01-17,-1.40,-6.40,-3.16,64.00,26.00,0.00,2308078
2021-01-18,1.10,-13.60,-6.47,45.62,33.00,0.00,2308078
2021-01-19,-0.90,-8.10,-5.58,33.71,11.00,0.00,2308078
2021-01-20,7.30,-0.80,4.05,29.33,15.00,0.00,2308078
2021-01-21,7.70,3.60,4.86,85.54,40.00,9.00,2308078
2021-01-22,6.50,2.00,4.65,87.62,75.00,0.00,2308078
2021-01-23,11.60,0.00,6.62,57.75,47.00,0.00,2308078
2021-01-24,12.60,3.20,6.71,61.25,44.00,0.00,2308078
2021-01-25,13.10,3.80,7.55,63.83,43.00,0.00,2308078
2021-01-26,6.70,-2.80,1.90,71.50,29.00,0.00,2308078
2021-01-27,6.10,-1.50,1.25,41.62,16.00,0.00,2308078
2021-01-28,1.30,-11.30,-6.17,46.75,31.00,2.50,2308078
2021-01-29,-2.50,-9.40,-5.83,46.00,27.00,0.00,2308078
2021-01-30,5.60,-3.30,-0.02,62.42,42.00,0.00,2308078
2021-01-31,9.90,3.10,7.77,62.21,27.00,0.00,2308078
