date,humidity,wind_speed,temperature,precipitation,region_id
2021-01-01,48.12,3.17,-2.95,0.00,2302052
2021-01-02,42.21,3.39,-4.83,0.00,2302052
2021-01-03,36.38,2.27,-4.60,0.00,2302052
2021-01-04,55.50,3.01,-2.20,0.00,2302052
2021-01-05,44.29,3.85,-7.46,0.00,2302052
2021-01-06,53.29,6.02,-8.28,2.10,2302052
2021-01-07,44.58,5.43,-14.80,0.00,2302052
2021-01-08,42.42,4.12,-13.63,0.00,2302052
2021-01-09,46.17,2.65,-10.20,0.00,2302052
2021-01-10,52.50,1.86,-6.05,0.00,2302052
2021-01-11,58.96,1.50,-5.12,0.00,2302052
2021-01-12,85.12,3.20,-0.69,1.10,2302052
2021-01-13,62.12,3.60,2.12,0.00,2302052
2021-01-14,39.25,3.27,4.92,0.00,2302052
2021-01-15,77.08,4.55,0.71,0.00,2302052
2021-01-16,50.54,4.03,-6.36,0.00,2302052
2021-01-17,64.00,2.75,-2.76,0.50,2302052
2021-01-18,45.62,5.28,-5.85,0.00,2302052
2021-01-19,33.71,1.99,-4.67,0.00,2302052
2021-01-20,29.33,1.90,4.16,0.00,2302052
2021-01-21,85.54,1.94,4.79,14.40,2302052
2021-01-22,87.62,2.81,5.00,0.00,2302052
2021-01-23,57.75,4.33,7.37,0.00,2302052
2021-01-24,61.25,2.48,7.26,0.00,2302052
2021-01-25,63.83,1.50,7.52,0.00,2302052
2021-01-26,71.50,3.54,2.75,0.20,2302052
2021-01-27,41.62,2.99,1.38,0.00,2302052
2021-01-28,46.75,8.58,-6.22,2.50,2302052
2021-01-29,46.00,3.40,-6.07,0.00,2302052
2021-01-30,62.42,2.16,0.77,0.00,2302052
2021-01-31,62.21,3.68,7.83,0.00,2302052
2021-02-01,61.12,4.98,-0.07,0.00,2302052
2021-02-02,50.08,3.56,-5.99,0.00,2302052
2021-02-03,61.96,4.78,-1.79,3.40,2302052
2021-02-04,50.92,3.05,-2.30,0.00,2302052
2021-02-05,73.88,3.88,3.94,0.00,2302052
2021-02-06,88.96,3.10,5.39,0.00,2302052
2021-02-07,52.42,5.17,-0.41,0.00,2302052
2021-02-08,40.33,4.09,-2.82,0.00,2302052
2021-02-09,58.67,2.55,0.96,0.00,2302052
2021-02-10,80.62,2.30,4.10,0.00,2302052
2021-02-11,74.67,1.68,4.38,0.00,2302052
2021-02-12,72.54,1.68,4.73,0.00,2302052
2021-02-13,64.42,1.60,6.38,0.00,2302052
2021-02-14,66.08,2.32,6.62,0.80,2302052
2021-02-15,49.92,5.94,-2.95,0.00,2302052
2021-02-16,49.50,6.62,-6.06,2.40,2302052
2021-02-17,43.04,7.34,-8.07,0.00,2302052
2021-02-18,45.29,3.70,-3.73,0.00,2302052
2021-02-19,74.21,4.08,5.50,0.00,2302052
2021-02-20,64.21,2.78,7.77,0.00,2302052
2021-02-21,65.92,3.73,10.30,0.00,2302052
2021-02-22,44.25,5.33,3.13,0.00,2302052
2021-02-23,31.88,3.87,-0.55,0.00,2302052
2021-02-24,46.96,2.39,1.87,0.00,2302052
2021-02-25,36.50,2.67,3.45,0.00,2302052
2021-02-26,34.12,2.88,8.48,0.00,2302052
2021-02-27,38.92,3.35,9.28,0.00,2302052
2021-02-28,57.21,2.73,7.24,18.70,2302052
2021-03-01,87.62,5.03,1.95,40.00,2302052
2021-03-02,71.25,2.80,2.41,0.00,2302052
2021-03-03,57.67,2.22,4.92,0.00,2302052
2021-03-04,62.29,2.33,8.02,0.00,2302052
2021-03-05,73.25,2.57,7.79,0.00,2302052
2021-03-06,55.08,4.21,6.14,0.00,2302052
2021-03-07,69.58,1.94,5.28,0.00,2302052
2021-03-08,65.79,1.93,5.31,0.00,2302052
2021-03-09,72.33,1.97,5.62,0.00,2302052
2021-03-10,64.21,1.77,7.29,0.00,2302052
2021-03-11,51.12,2.15,9.33,0.00,2302052
2021-03-12,60.50,3.28,8.97,0.00,2302052
2021-03-13,73.12,2.21,7.40,0.00,2302052
2021-03-14,82.17,1.73,5.90,0.00,2302052
2021-03-15,63.75,4.05,9.65,0.80,2302052
2021-03-16,41.33,3.82,6.21,0.00,2302052
2021-03-17,51.50,1.90,7.73,0.00,2302052
2021-03-18,53.25,1.93,10.55,0.00,2302052
2021-03-19,49.08,2.22,12.89,0.20,2302052
2021-03-20,85.33,3.13,6.56,3.20,2302052
2021-03-21,56.00,5.50,4.98,0.00,2302052
2021-03-22,68.62,3.80,6.58,0.00,2302052
2021-03-23,65.88,3.95,8.84,0.00,2302052
2021-03-24,68.08,2.52,10.36,0.00,2302052
2021-03-25,82.58,2.09,7.51,0.00,2302052
2021-03-26,43.21,1.78,12.70,0.00,2302052
2021-03-27,85.58,4.30,10.65,28.90,2302052
2021-03-28,91.54,3.38,7.83,1.60,2302052
2021-03-29,68.92,2.24,7.70,0.00,2302052
2021-03-30,45.62,1.94,10.02,0.00,2302052
2021-03-31,36.67,2.57,14.71,0.00,2302052
2021-04-01,19.79,4.42,18.05,0.00,2302052
2021-04-02,37.96,2.38,17.96,0.60,2302052
2021-04-03,90.29,4.28,11.50,54.60,2302052
2021-04-04,54.21,3.07,11.15,0.00,2302052
2021-04-05,51.71,2.27,11.39,0.00,2302052
2021-04-06,59.29,2.82,11.62,0.00,2302052
2021-04-07,42.71,3.45,12.18,0.00,2302052
2021-04-08,35.08,4.01,11.95,0.00,2302052
2021-04-09,38.21,3.30,12.81,0.00,2302052
2021-04-10,59.21,2.35,11.61,0.00,2302052
2021-04-11,37.83,2.45,15.24,0.00,2302052
2021-04-12,80.96,4.33,12.05,24.10,2302052
2021-04-13,54.71,4.91,7.77,0.00,2302052
2021-04-14,63.54,3.18,8.59,0.00,2302052
2021-04-15,57.58,3.08,10.97,0.00,2302052
2021-04-16,66.46,2.85,9.63,0.40,2302052
2021-04-17,55.38,5.02,9.26,0.00,2302052
2021-04-18,62.04,3.31,9.73,0.00,2302052
2021-04-19,66.00,3.01,11.68,0.00,2302052
2021-04-20,61.75,1.84,13.54,0.00,2302052
2021-04-21,39.08,2.39,18.51,0.00,2302052
2021-04-22,38.42,3.01,19.48,0.00,2302052
2021-04-23,33.71,3.87,18.95,0.00,2302052
2021-04-24,57.83,2.95,16.10,0.00,2302052
2021-04-25,43.12,3.57,17.50,0.00,2302052
2021-04-26,63.58,2.12,14.41,0.00,2302052
2021-04-27,76.46,3.01,13.19,5.20,2302052
2021-04-28,69.79,1.81,12.51,0.00,2302052
2021-04-29,68.42,2.96,12.89,32.00,2302052
2021-04-30,78.83,2.71,10.71,0.10,2302052
2021-05-01,74.88,4.40,10.07,1.70,2302052
2021-05-02,68.42,2.76,12.17,0.00,2302052
2021-05-03,53.25,2.40,13.48,3.50,2302052
2021-05-04,90.33,3.25,13.61,28.80,2302052
2021-05-05,52.92,3.86,12.81,0.00,2302052
2021-05-06,37.46,4.78,16.92,0.00,2302052
2021-05-07,69.21,4.23,12.24,1.90,2302052
2021-05-08,61.21,4.26,14.10,0.00,2302052
