hour,precipitation,humidity,wind_speed,temperature,date,region_id
0.00,0.00,54.00,2.20,-3.20,2021-01-01,2306065
100.00,0.00,52.00,1.80,-1.70,2021-01-01,2306065
200.00,0.00,56.00,1.10,0.00,2021-01-01,2306065
300.00,0.00,56.00,1.60,0.50,2021-01-01,2306065
400.00,0.00,58.00,1.60,-0.10,2021-01-01,2306065
500.00,0.00,58.00,1.60,0.10,2021-01-01,2306065
600.00,0.00,64.00,1.60,-0.30,2021-01-01,2306065
700.00,0.00,70.00,0.90,-0.80,2021-01-01,2306065
800.00,0.00,80.00,0.00,-1.50,2021-01-01,2306065
900.00,0.00,82.00,0.40,-2.50,2021-01-01,2306065
1000.00,0.00,83.00,0.50,-3.30,2021-01-01,2306065
1100.00,0.00,55.00,0.50,-2.30,2021-01-01,2306065
1200.00,0.00,55.00,0.30,-3.70,2021-01-01,2306065
1300.00,0.00,68.00,0.10,-4.60,2021-01-01,2306065
1400.00,0.00,49.00,0.30,-5.00,2021-01-01,2306065
1500.00,0.00,40.00,0.40,-5.50,2021-01-01,2306065
1600.00,0.00,30.00,0.50,-6.20,2021-01-01,2306065
1700.00,0.00,34.00,0.30,-6.60,2021-01-01,2306065
1800.00,0.00,37.00,0.20,-7.90,2021-01-01,2306065
1900.00,0.00,40.00,0.60,-9.00,2021-01-01,2306065
2000.00,0.00,55.00,0.40,-9.60,2021-01-01,2306065
2100.00,0.00,59.00,0.10,-9.20,2021-01-01,2306065
2200.00,0.00,65.00,0.60,-9.60,2021-01-01,2306065
2300.00,0.00,44.00,0.30,-7.10,2021-01-01,2306065
0.00,0.00,33.00,1.50,-4.70,2021-01-02,2306065
100.00,0.00,32.00,2.20,-3.50,2021-01-02,2306065
200.00,0.00,33.00,2.60,-2.60,2021-01-02,2306065
300.00,0.00,37.00,3.30,-1.70,2021-01-02,2306065
400.00,0.00,40.00,3.70,-1.30,2021-01-02,2306065
500.00,0.00,39.00,2.50,-1.10,2021-01-02,2306065
600.00,0.00,40.00,2.80,-1.60,2021-01-02,2306065
700.00,0.00,45.00,2.50,-2.60,2021-01-02,2306065
800.00,0.00,51.00,1.50,-3.80,2021-01-02,2306065
900.00,0.00,49.00,0.60,-5.20,2021-01-02,2306065
1000.00,0.00,50.00,0.40,-5.70,2021-01-02,2306065
1100.00,0.00,52.00,0.90,-5.20,2021-01-02,2306065
1200.00,0.00,48.00,0.60,-7.20,2021-01-02,2306065
1300.00,0.00,49.00,0.70,-7.40,2021-01-02,2306065
1400.00,0.00,45.00,0.70,-8.10,2021-01-02,2306065
1500.00,0.00,46.00,0.40,-8.50,2021-01-02,2306065
1600.00,0.00,51.00,0.70,-9.30,2021-01-02,2306065
1700.00,0.00,62.00,0.90,-9.70,2021-01-02,2306065
1800.00,0.00,71.00,0.90,-9.80,2021-01-02,2306065
1900.00,0.00,66.00,0.90,-9.00,2021-01-02,2306065
2000.00,0.00,65.00,0.90,-9.60,2021-01-02,2306065
2100.00,0.00,66.00,1.10,-10.10,2021-01-02,2306065
2200.00,0.00,67.00,0.80,-8.60,2021-01-02,2306065
2300.00,0.00,61.00,0.60,-6.40,2021-01-02,2306065
0.00,0.00,42.00,0.80,-4.00,2021-01-03,2306065
100.00,0.00,28.00,1.90,-2.90,2021-01-03,2306065
200.00,0.00,28.00,2.30,-1.90,2021-01-03,2306065
300.00,0.00,32.00,1.70,-1.80,2021-01-03,2306065
400.00,0.00,33.00,1.70,-1.50,2021-01-03,2306065
500.00,0.00,36.00,1.00,-1.70,2021-01-03,2306065
600.00,0.00,34.00,1.90,-1.90,2021-01-03,2306065
700.00,0.00,38.00,0.10,-3.20,2021-01-03,2306065
300.00,0.00,43.00,1.70,-0.70,2021-01-04,2306065
400.00,0.00,40.00,1.20,-0.20,2021-01-04,2306065
500.00,0.00,42.00,0.50,0.00,2021-01-04,2306065
600.00,0.00,46.00,1.40,-0.20,2021-01-04,2306065
700.00,0.00,55.00,1.00,-0.60,2021-01-04,2306065
800.00,0.00,65.00,1.00,-0.50,2021-01-04,2306065
900.00,0.00,67.00,0.70,-0.60,2021-01-04,2306065
1000.00,0.00,69.00,0.30,-0.60,2021-01-04,2306065
1100.00,0.00,69.00,0.50,-0.50,2021-01-04,2306065
1200.00,0.00,60.00,0.50,-1.50,2021-01-04,2306065
1300.00,0.00,61.00,0.90,-2.30,2021-01-04,2306065
1400.00,0.00,68.00,1.10,-2.90,2021-01-04,2306065
1500.00,0.00,72.00,0.80,-2.70,2021-01-04,2306065
1600.00,0.00,74.00,0.30,-2.90,2021-01-04,2306065
1700.00,0.00,75.00,0.70,-3.10,2021-01-04,2306065
1800.00,0.00,75.00,1.10,-3.70,2021-01-04,2306065
1900.00,0.00,77.00,0.60,-4.20,2021-01-04,2306065
2000.00,0.00,68.00,1.30,-4.70,2021-01-04,2306065
2100.00,0.00,60.00,1.40,-5.90,2021-01-04,2306065
2200.00,0.00,58.00,0.80,-6.80,2021-01-04,2306065
2300.00,0.00,45.00,1.50,-5.30,2021-01-04,2306065
0.00,0.00,33.00,2.40,-4.60,2021-01-05,2306065
100.00,0.00,27.00,2.30,-3.20,2021-01-05,2306065
200.00,0.00,30.00,2.80,-3.10,2021-01-05,2306065
300.00,0.00,33.00,3.40,-2.30,2021-01-05,2306065
400.00,0.00,41.00,2.50,-3.80,2021-01-05,2306065
500.00,0.00,43.00,2.90,-2.60,2021-01-05,2306065
600.00,0.00,40.00,2.40,-2.80,2021-01-05,2306065
700.00,0.00,33.00,1.30,-4.60,2021-01-05,2306065
800.00,0.00,36.00,0.40,-6.70,2021-01-05,2306065
900.00,0.00,40.00,0.40,-7.20,2021-01-05,2306065
1000.00,0.00,42.00,0.40,-8.60,2021-01-05,2306065
1100.00,0.00,42.00,0.80,-9.80,2021-01-05,2306065
1200.00,0.00,43.00,0.40,-10.00,2021-01-05,2306065
1300.00,0.00,48.00,0.30,-10.80,2021-01-05,2306065
1400.00,0.00,59.00,0.30,-11.50,2021-01-05,2306065
1500.00,0.00,62.00,0.30,-12.30,2021-01-05,2306065
1600.00,0.00,60.00,0.40,-12.30,2021-01-05,2306065
1700.00,0.00,64.00,0.60,-13.10,2021-01-05,2306065
1800.00,0.00,66.00,0.70,-12.80,2021-01-05,2306065
1900.00,0.00,74.00,0.80,-13.10,2021-01-05,2306065
2000.00,0.00,73.00,0.60,-12.90,2021-01-05,2306065
2100.00,0.00,73.00,0.50,-12.40,2021-01-05,2306065
2200.00,0.00,69.00,0.70,-12.10,2021-01-05,2306065
2300.00,0.00,51.00,0.60,-9.80,2021-01-05,2306065
0.00,0.00,50.00,1.40,-7.70,2021-01-06,2306065
100.00,0.00,44.00,1.40,-5.80,2021-01-06,2306065
200.00,0.00,36.00,1.70,-4.40,2021-01-06,2306065
300.00,0.00,30.00,1.90,-3.80,2021-01-06,2306065
400.00,0.00,26.00,1.00,-2.40,2021-01-06,2306065
500.00,0.00,24.00,1.50,-2.70,2021-01-06,2306065
600.00,0.00,24.00,1.80,-1.90,2021-01-06,2306065
700.00,0.00,25.00,2.80,-3.60,2021-01-06,2306065
800.00,0.00,42.00,3.10,-3.80,2021-01-06,2306065
900.00,0.00,93.00,3.80,-5.20,2021-01-06,2306065
1000.00,0.00,91.00,3.20,-3.60,2021-01-06,2306065
1100.00,0.00,87.00,2.90,-3.70,2021-01-06,2306065
1200.00,0.50,92.00,2.30,-5.80,2021-01-06,2306065
1300.00,0.00,81.00,4.00,-7.90,2021-01-06,2306065
1400.00,0.00,65.00,3.10,-10.10,2021-01-06,2306065
1500.00,0.00,55.00,2.70,-10.60,2021-01-06,2306065
1600.00,0.00,53.00,2.80,-12.20,2021-01-06,2306065
1700.00,0.00,57.00,2.50,-13.40,2021-01-06,2306065
1800.00,0.00,65.00,2.10,-14.40,2021-01-06,2306065
1900.00,0.00,60.00,2.10,-14.60,2021-01-06,2306065
2000.00,0.00,57.00,2.30,-15.40,2021-01-06,2306065
2100.00,0.00,59.00,1.50,-16.10,2021-01-06,2306065
2200.00,0.00,63.00,1.50,-15.90,2021-01-06,2306065
2300.00,0.00,57.00,2.40,-15.00,2021-01-06,2306065
0.00,0.00,50.00,3.30,-13.90,2021-01-07,2306065
100.00,0.00,46.00,2.30,-12.80,2021-01-07,2306065
200.00,0.00,46.00,3.20,-12.30,2021-01-07,2306065
300.00,0.00,40.00,3.00,-11.70,2021-01-07,2306065
400.00,0.00,41.00,2.90,-11.40,2021-01-07,2306065
500.00,0.00,40.00,2.80,-11.60,2021-01-07,2306065
600.00,0.00,39.00,2.20,-10.90,2021-01-07,2306065
700.00,0.00,39.00,0.60,-12.30,2021-01-07,2306065
800.00,0.00,40.00,1.20,-13.60,2021-01-07,2306065
900.00,0.00,43.00,0.80,-14.20,2021-01-07,2306065
1000.00,0.00,46.00,0.90,-14.30,2021-01-07,2306065
1100.00,0.00,51.00,0.60,-15.60,2021-01-07,2306065
1200.00,0.00,55.00,0.70,-15.20,2021-01-07,2306065
1300.00,0.00,53.00,1.20,-15.40,2021-01-07,2306065
1400.00,0.00,52.00,1.00,-15.90,2021-01-07,2306065
1500.00,0.00,50.00,1.00,-16.20,2021-01-07,2306065
1600.00,0.00,49.00,1.30,-16.40,2021-01-07,2306065
1700.00,0.00,46.00,1.60,-16.70,2021-01-07,2306065
1800.00,0.00,48.00,1.70,-17.10,2021-01-07,2306065
1900.00,0.00,48.00,0.70,-18.00,2021-01-07,2306065
2000.00,0.00,46.00,0.40,-18.50,2021-01-07,2306065
2100.00,0.00,48.00,0.70,-18.80,2021-01-07,2306065
2200.00,0.00,45.00,0.40,-18.10,2021-01-07,2306065
2300.00,0.00,46.00,1.40,-16.60,2021-01-07,2306065
0.00,0.00,42.00,1.90,-15.10,2021-01-08,2306065
100.00,0.00,43.00,2.00,-13.80,2021-01-08,2306065
200.00,0.00,41.00,2.10,-11.20,2021-01-08,2306065
300.00,0.00,41.00,1.80,-10.90,2021-01-08,2306065
400.00,0.00,44.00,3.20,-10.10,2021-01-08,2306065
500.00,0.00,42.00,3.00,-10.20,2021-01-08,2306065
600.00,0.00,42.00,2.30,-10.60,2021-01-08,2306065
700.00,0.00,46.00,1.60,-11.40,2021-01-08,2306065
800.00,0.00,44.00,1.50,-12.80,2021-01-08,2306065
900.00,0.00,50.00,0.60,-14.20,2021-01-08,2306065
1000.00,0.00,50.00,0.60,-14.30,2021-01-08,2306065
1100.00,0.00,56.00,0.60,-14.70,2021-01-08,2306065
1200.00,0.00,53.00,1.20,-14.70,2021-01-08,2306065
1300.00,0.00,49.00,1.00,-15.10,2021-01-08,2306065
1400.00,0.00,49.00,0.70,-15.20,2021-01-08,2306065
1500.00,0.00,47.00,0.20,-16.50,2021-01-08,2306065
1600.00,0.00,44.00,0.90,-17.10,2021-01-08,2306065
1700.00,0.00,63.00,0.90,-17.50,2021-01-08,2306065
1800.00,0.00,67.00,0.80,-17.40,2021-01-08,2306065
1900.00,0.00,74.00,0.50,-17.40,2021-01-08,2306065
2000.00,0.00,47.00,0.60,-17.10,2021-01-08,2306065
2100.00,0.00,43.00,0.30,-16.40,2021-01-08,2306065
2200.00,0.00,61.00,0.80,-16.40,2021-01-08,2306065
2300.00,0.00,47.00,0.80,-13.90,2021-01-08,2306065
0.00,0.00,37.00,0.70,-11.10,2021-01-09,2306065
100.00,0.00,34.00,1.60,-9.80,2021-01-09,2306065
200.00,0.00,39.00,1.70,-8.70,2021-01-09,2306065
300.00,0.00,36.00,2.70,-7.70,2021-01-09,2306065
400.00,0.00,41.00,3.40,-7.30,2021-01-09,2306065
500.00,0.00,41.00,3.30,-6.80,2021-01-09,2306065
600.00,0.00,44.00,2.90,-7.00,2021-01-09,2306065
700.00,0.00,47.00,2.70,-8.40,2021-01-09,2306065
800.00,0.00,48.00,0.50,-10.20,2021-01-09,2306065
900.00,0.00,49.00,0.80,-10.50,2021-01-09,2306065
1000.00,0.00,50.00,0.30,-11.60,2021-01-09,2306065
1100.00,0.00,54.00,0.50,-11.80,2021-01-09,2306065
1200.00,0.00,54.00,0.40,-11.90,2021-01-09,2306065
1300.00,0.00,55.00,0.60,-12.50,2021-01-09,2306065
1400.00,0.00,66.00,0.10,-12.70,2021-01-09,2306065
1500.00,0.00,72.00,0.20,-13.70,2021-01-09,2306065
1600.00,0.00,74.00,1.00,-13.90,2021-01-09,2306065
1700.00,0.00,72.00,0.80,-13.50,2021-01-09,2306065
1800.00,0.00,74.00,0.90,-14.00,2021-01-09,2306065
1900.00,0.00,76.00,1.00,-13.40,2021-01-09,2306065
2000.00,0.00,79.00,0.90,-13.30,2021-01-09,2306065
2100.00,0.00,80.00,0.70,-13.30,2021-01-09,2306065
2200.00,0.00,80.00,0.70,-12.60,2021-01-09,2306065
2300.00,0.00,68.00,1.10,-9.30,2021-01-09,2306065
0.00,0.00,47.00,2.00,-7.60,2021-01-10,2306065
100.00,0.00,42.00,1.30,-5.90,2021-01-10,2306065
200.00,0.00,40.00,0.90,-4.10,2021-01-10,2306065
300.00,0.00,38.00,1.30,-3.80,2021-01-10,2306065
400.00,0.00,35.00,0.80,-3.50,2021-01-10,2306065
500.00,0.00,36.00,0.90,-3.70,2021-01-10,2306065
600.00,0.00,44.00,1.10,-4.20,2021-01-10,2306065
700.00,0.00,49.00,0.70,-4.10,2021-01-10,2306065
800.00,0.00,50.00,0.00,-4.50,2021-01-10,2306065
900.00,0.00,52.00,0.50,-4.80,2021-01-10,2306065
1000.00,0.00,64.00,0.30,-5.70,2021-01-10,2306065
1100.00,0.00,70.00,0.40,-7.30,2021-01-10,2306065
1200.00,0.00,79.00,1.00,-8.40,2021-01-10,2306065
1300.00,0.00,80.00,0.60,-8.70,2021-01-10,2306065
1400.00,0.00,86.00,1.00,-9.20,2021-01-10,2306065
1500.00,0.00,83.00,0.10,-9.60,2021-01-10,2306065
1600.00,0.00,86.00,0.60,-10.30,2021-01-10,2306065
1700.00,0.00,81.00,0.30,-10.40,2021-01-10,2306065
1800.00,0.00,83.00,0.50,-10.30,2021-01-10,2306065
1900.00,0.00,84.00,0.40,-11.60,2021-01-10,2306065
2000.00,0.00,86.00,0.50,-10.40,2021-01-10,2306065
2100.00,0.00,82.00,0.80,-10.10,2021-01-10,2306065
2200.00,0.00,84.00,0.60,-10.20,2021-01-10,2306065
2300.00,0.00,76.00,0.30,-7.80,2021-01-10,2306065
0.00,0.00,64.00,0.60,-6.30,2021-01-11,2306065
100.00,0.00,58.00,0.80,-5.70,2021-01-11,2306065
200.00,0.00,48.00,1.40,-4.70,2021-01-11,2306065
300.00,0.00,47.00,1.10,-3.90,2021-01-11,2306065
400.00,0.00,47.00,1.50,-3.70,2021-01-11,2306065
500.00,0.00,49.00,0.60,-3.60,2021-01-11,2306065
600.00,0.00,50.00,0.70,-3.40,2021-01-11,2306065
700.00,0.00,53.00,0.40,-4.10,2021-01-11,2306065
800.00,0.00,64.00,0.20,-5.00,2021-01-11,2306065
900.00,0.00,69.00,0.10,-6.00,2021-01-11,2306065
1000.00,0.00,73.00,0.40,-6.60,2021-01-11,2306065
1100.00,0.00,77.00,0.10,-6.60,2021-01-11,2306065
1200.00,0.00,78.00,0.70,-7.40,2021-01-11,2306065
1300.00,0.00,70.00,0.40,-5.10,2021-01-11,2306065
1400.00,0.00,65.00,0.00,-5.80,2021-01-11,2306065
1500.00,0.00,74.00,0.70,-7.80,2021-01-11,2306065
1600.00,0.00,81.00,1.20,-8.30,2021-01-11,2306065
1700.00,0.00,86.00,0.70,-8.40,2021-01-11,2306065
1800.00,0.00,87.00,0.90,-8.00,2021-01-11,2306065
1900.00,0.00,88.00,1.20,-7.20,2021-01-11,2306065
2000.00,0.00,90.00,1.10,-7.40,2021-01-11,2306065
2100.00,0.00,91.00,2.30,-6.20,2021-01-11,2306065
2200.00,0.00,85.00,1.70,-6.00,2021-01-11,2306065
2300.00,0.00,82.00,2.50,-5.00,2021-01-11,2306065
0.00,0.00,75.00,2.50,-2.60,2021-01-12,2306065
100.00,0.00,68.00,3.00,-1.00,2021-01-12,2306065
200.00,0.00,66.00,2.20,0.20,2021-01-12,2306065
300.00,0.00,79.00,2.40,0.10,2021-01-12,2306065
400.00,0.00,85.00,1.90,-0.30,2021-01-12,2306065
500.00,0.00,95.00,2.00,-0.50,2021-01-12,2306065
600.00,0.50,97.00,1.10,-0.10,2021-01-12,2306065
700.00,0.00,97.00,0.70,-0.10,2021-01-12,2306065
800.00,0.00,98.00,1.50,-0.50,2021-01-12,2306065
900.00,0.00,98.00,1.70,-0.30,2021-01-12,2306065
1000.00,0.00,98.00,1.00,-1.60,2021-01-12,2306065
1100.00,0.00,98.00,1.80,-1.40,2021-01-12,2306065
1200.00,0.00,98.00,2.30,-1.00,2021-01-12,2306065
1300.00,0.00,98.00,2.30,-0.50,2021-01-12,2306065
1400.00,0.00,99.00,2.40,-0.20,2021-01-12,2306065
1500.00,0.00,98.00,2.80,0.00,2021-01-12,2306065
1600.00,0.00,98.00,0.70,-0.90,2021-01-12,2306065
1700.00,0.00,98.00,1.50,-0.90,2021-01-12,2306065
1800.00,0.00,98.00,1.90,-0.50,2021-01-12,2306065
1900.00,0.00,97.00,2.90,0.00,2021-01-12,2306065
2000.00,0.00,97.00,3.20,-0.10,2021-01-12,2306065
2100.00,0.00,97.00,3.10,-0.10,2021-01-12,2306065
2200.00,0.00,98.00,2.90,0.50,2021-01-12,2306065
2300.00,0.00,97.00,2.10,1.30,2021-01-12,2306065
0.00,0.00,87.00,2.50,2.90,2021-01-13,2306065
100.00,0.00,81.00,2.70,4.20,2021-01-13,2306065
200.00,0.00,77.00,3.30,5.90,2021-01-13,2306065
300.00,0.00,71.00,3.30,7.10,2021-01-13,2306065
400.00,0.00,68.00,3.10,7.70,2021-01-13,2306065
500.00,0.00,70.00,3.20,8.30,2021-01-13,2306065
600.00,0.00,74.00,3.60,7.50,2021-01-13,2306065
700.00,0.00,80.00,2.60,6.80,2021-01-13,2306065
800.00,0.00,86.00,1.30,4.80,2021-01-13,2306065
900.00,0.00,91.00,0.40,3.00,2021-01-13,2306065
1000.00,0.00,92.00,0.70,1.70,2021-01-13,2306065
1100.00,0.00,92.00,0.90,0.80,2021-01-13,2306065
1200.00,0.00,97.00,0.00,-0.50,2021-01-13,2306065
1300.00,0.00,95.00,0.20,-1.30,2021-01-13,2306065
1400.00,0.00,92.00,0.50,-2.30,2021-01-13,2306065
1500.00,0.00,78.00,0.60,-2.50,2021-01-13,2306065
1600.00,0.00,56.00,0.50,-3.40,2021-01-13,2306065
1700.00,0.00,62.00,0.10,-3.10,2021-01-13,2306065
1800.00,0.00,77.00,0.30,-4.90,2021-01-13,2306065
1900.00,0.00,84.00,0.20,-4.30,2021-01-13,2306065
2000.00,0.00,87.00,1.10,-4.70,2021-01-13,2306065
2100.00,0.00,89.00,0.70,-4.70,2021-01-13,2306065
2200.00,0.00,85.00,0.40,-4.00,2021-01-13,2306065
2300.00,0.00,79.00,0.80,-0.80,2021-01-13,2306065
0.00,0.00,56.00,0.90,0.40,2021-01-14,2306065
100.00,0.00,40.00,1.30,3.10,2021-01-14,2306065
200.00,0.00,24.00,1.70,3.70,2021-01-14,2306065
300.00,0.00,31.00,3.00,5.30,2021-01-14,2306065
400.00,0.00,31.00,2.50,6.10,2021-01-14,2306065
500.00,0.00,28.00,2.30,6.50,2021-01-14,2306065
600.00,0.00,31.00,1.60,6.60,2021-01-14,2306065
700.00,0.00,39.00,1.50,5.00,2021-01-14,2306065
800.00,0.00,57.00,0.90,3.80,2021-01-14,2306065
900.00,0.00,65.00,0.60,2.90,2021-01-14,2306065
1000.00,0.00,68.00,2.20,4.50,2021-01-14,2306065
1100.00,0.00,70.00,2.10,4.10,2021-01-14,2306065
1200.00,0.00,77.00,2.30,4.60,2021-01-14,2306065
1300.00,0.00,75.00,2.20,4.00,2021-01-14,2306065
1400.00,0.00,76.00,0.90,3.30,2021-01-14,2306065
1500.00,0.00,78.00,1.90,4.40,2021-01-14,2306065
1600.00,0.00,77.00,2.90,5.00,2021-01-14,2306065
1700.00,0.00,77.00,3.30,5.10,2021-01-14,2306065
1800.00,0.00,73.00,3.60,6.70,2021-01-14,2306065
1900.00,0.00,55.00,4.00,6.70,2021-01-14,2306065
2000.00,0.00,64.00,4.30,7.00,2021-01-14,2306065
2100.00,0.00,75.00,3.20,7.00,2021-01-14,2306065
2200.00,0.00,73.00,3.80,7.00,2021-01-14,2306065
2300.00,0.00,73.00,3.60,7.50,2021-01-14,2306065
0.00,0.00,73.00,4.10,8.90,2021-01-15,2306065
100.00,0.00,75.00,4.10,9.90,2021-01-15,2306065
200.00,0.00,81.00,2.80,9.60,2021-01-15,2306065
300.00,0.00,83.00,3.90,9.40,2021-01-15,2306065
400.00,0.00,84.00,3.90,8.20,2021-01-15,2306065
500.00,0.00,82.00,2.90,6.80,2021-01-15,2306065
600.00,0.00,81.00,3.00,5.90,2021-01-15,2306065
700.00,0.00,83.00,2.60,3.10,2021-01-15,2306065
800.00,0.00,81.00,1.50,2.20,2021-01-15,2306065
900.00,0.00,77.00,2.10,1.60,2021-01-15,2306065
1000.00,0.00,74.00,2.10,0.70,2021-01-15,2306065
1100.00,0.00,81.00,1.80,0.00,2021-01-15,2306065
1200.00,0.00,82.00,2.10,-0.40,2021-01-15,2306065
1300.00,0.00,84.00,0.40,-1.60,2021-01-15,2306065
1400.00,0.00,84.00,0.20,-2.50,2021-01-15,2306065
1500.00,0.00,85.00,0.70,-3.40,2021-01-15,2306065
1600.00,0.00,82.00,1.60,-3.40,2021-01-15,2306065
1700.00,0.00,82.00,0.50,-5.00,2021-01-15,2306065
1800.00,0.00,83.00,1.00,-5.30,2021-01-15,2306065
1900.00,0.00,82.00,0.90,-5.80,2021-01-15,2306065
2000.00,0.00,77.00,0.30,-6.50,2021-01-15,2306065
2100.00,0.00,75.00,0.40,-7.30,2021-01-15,2306065
2200.00,0.00,75.00,0.60,-7.50,2021-01-15,2306065
2300.00,0.00,64.00,1.80,-5.70,2021-01-15,2306065
0.00,0.00,60.00,2.20,-4.60,2021-01-16,2306065
100.00,0.00,57.00,1.70,-3.60,2021-01-16,2306065
200.00,0.00,55.00,1.80,-2.90,2021-01-16,2306065
300.00,0.00,51.00,3.10,-2.80,2021-01-16,2306065
400.00,0.00,51.00,3.50,-2.70,2021-01-16,2306065
500.00,0.00,52.00,3.30,-2.10,2021-01-16,2306065
600.00,0.00,53.00,2.90,-2.30,2021-01-16,2306065
700.00,0.00,56.00,3.00,-3.40,2021-01-16,2306065
800.00,0.00,59.00,2.30,-4.50,2021-01-16,2306065
900.00,0.00,55.00,1.30,-5.80,2021-01-16,2306065
1000.00,0.00,55.00,1.60,-6.20,2021-01-16,2306065
1100.00,0.00,50.00,1.30,-6.90,2021-01-16,2306065
1200.00,0.00,40.00,1.40,-7.70,2021-01-16,2306065
1300.00,0.00,48.00,1.30,-8.90,2021-01-16,2306065
1400.00,0.00,49.00,0.30,-9.70,2021-01-16,2306065
1500.00,0.00,59.00,0.70,-10.70,2021-01-16,2306065
1600.00,0.00,54.00,0.10,-11.10,2021-01-16,2306065
1700.00,0.00,54.00,0.90,-11.10,2021-01-16,2306065
1800.00,0.00,60.00,0.80,-11.60,2021-01-16,2306065
